ActivityId	掉落主体类型	掉落主体参数	最小等级	掉落ID
1001	2	丘丘人	1	30001000
1001	2	远程丘丘人	1	30001010
1001	2	丘丘暴徒	1	30001020
1001	2	丘丘萨满	1	30001030
1001	2	深渊法师	1	30001040
1001	2	元素之核	1	30001050
1001	2	无相之雷	1	30001060
1001	2	无相之风	2	30001070
1001	2	无相之岩	3	30001080
1001	2	债务处理人	1	30001090
1001	2	召唤师	1	30001100
1001	2	走兽	1	30001110
1001	4	2028	1	30001120
1001	4	2004	1	30001130
1001	4	2005	1	30001140
1001	4	2023	1	30001150
1001	4	2001	1	30001160
1001	4	2013	1	30001170
1001	4	2008	1	30001180
1001	4	2002	1	30001190
1001	4	3007	1	30001200
1001	4	2003	1	30001210
1001	4	2019	1	30001220
1001	4	2027	1	30001230
1001	4	2014	1	30001240
1001	4	3009	1	30001250
1001	4	3008	1	30001260
1001	4	3005	1	30001270
1001	4	2009	1	30001280
1001	4	2026	1	30001290
1001	4	2025	1	30001300
1001	4	2015	1	30001310
1001	4	2012	1	30001320
1001	4	2010	1	30001330
1001	4	3010	1	30001340
1001	4	3006	1	30001350
1001	5	101	1	30001360
1001	5	103	1	30001370
1001	5	104	1	30001380
1001	5	102	1	30001390
