等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值
1	22	2	1	32	2	1	21	2	1	31	2	1
2	22	2	1.073	32	2	1.073	21	2	1.075	31	2	1.075
3	22	2	1.147	32	2	1.147	21	2	1.15	31	2	1.15
4	22	2	1.22	32	2	1.22	21	2	1.225	31	2	1.225
5	22	2	1.294	32	2	1.294	21	2	1.3	31	2	1.3
6	22	2	1.367	32	2	1.367	21	2	1.375	31	2	1.375
7	22	2	1.441	32	2	1.441	21	2	1.45	31	2	1.45
8	22	2	1.514	32	2	1.514	21	2	1.525	31	2	1.525
9	22	2	1.588	32	2	1.588	21	2	1.6	31	2	1.6
10	22	2	1.661	32	2	1.661	21	2	1.675	31	2	1.675
11	22	2	1.735	32	2	1.735	21	2	1.75	31	2	1.75
12	22	2	1.808	32	2	1.808	21	2	1.825	31	2	1.825
13	22	2	1.882	32	2	1.882	21	2	1.9	31	2	1.9
14	22	2	1.955	32	2	1.955	21	2	1.975	31	2	1.975
15	22	2	2.029	32	2	2.029	21	2	2.05	31	2	2.05
16	22	2	2.102	32	2	2.102	21	2	2.125	31	2	2.125
17	22	2	2.176	32	2	2.176	21	2	2.2	31	2	2.2
18	22	2	2.249	32	2	2.249	21	2	2.275	31	2	2.275
19	22	2	2.323	32	2	2.323	21	2	2.35	31	2	2.35
20	22	2	2.396	32	2	2.396	21	2	2.425	31	2	2.425
21	22	2	2.478	32	2	2.478	21	2	2.51	31	2	2.51
22	22	2	2.56	32	2	2.56	21	2	2.596	31	2	2.596
23	22	2	2.641	32	2	2.641	21	2	2.681	31	2	2.681
24	22	2	2.723	32	2	2.723	21	2	2.767	31	2	2.767
25	22	2	2.805	32	2	2.805	21	2	2.852	31	2	2.852
26	22	2	2.887	32	2	2.887	21	2	2.937	31	2	2.937
27	22	2	2.968	32	2	2.968	21	2	3.023	31	2	3.023
28	22	2	3.05	32	2	3.05	21	2	3.108	31	2	3.108
29	22	2	3.132	32	2	3.132	21	2	3.194	31	2	3.194
30	22	2	3.214	32	2	3.214	21	2	3.279	31	2	3.279
31	22	2	3.295	32	2	3.295	21	2	3.364	31	2	3.364
32	22	2	3.377	32	2	3.377	21	2	3.45	31	2	3.45
33	22	2	3.459	32	2	3.459	21	2	3.535	31	2	3.535
34	22	2	3.541	32	2	3.541	21	2	3.621	31	2	3.621
35	22	2	3.622	32	2	3.622	21	2	3.706	31	2	3.706
36	22	2	3.704	32	2	3.704	21	2	3.791	31	2	3.791
37	22	2	3.786	32	2	3.786	21	2	3.877	31	2	3.877
38	22	2	3.868	32	2	3.868	21	2	3.962	31	2	3.962
39	22	2	3.949	32	2	3.949	21	2	4.048	31	2	4.048
40	22	2	4.031	32	2	4.031	21	2	4.133	31	2	4.133
41	22	2	4.125	32	2	4.125	21	2	4.233	31	2	4.233
42	22	2	4.218	32	2	4.218	21	2	4.333	31	2	4.333
43	22	2	4.312	32	2	4.312	21	2	4.433	31	2	4.433
44	22	2	4.405	32	2	4.405	21	2	4.534	31	2	4.534
45	22	2	4.499	32	2	4.499	21	2	4.634	31	2	4.634
46	22	2	4.592	32	2	4.592	21	2	4.734	31	2	4.734
47	22	2	4.686	32	2	4.686	21	2	4.834	31	2	4.834
48	22	2	4.779	32	2	4.779	21	2	4.934	31	2	4.934
49	22	2	4.873	32	2	4.873	21	2	5.034	31	2	5.034
50	22	2	4.966	32	2	4.966	21	2	5.135	31	2	5.135
51	22	2	5.06	32	2	5.06	21	2	5.235	31	2	5.235
52	22	2	5.153	32	2	5.153	21	2	5.335	31	2	5.335
53	22	2	5.247	32	2	5.247	21	2	5.435	31	2	5.435
54	22	2	5.34	32	2	5.34	21	2	5.535	31	2	5.535
55	22	2	5.434	32	2	5.434	21	2	5.635	31	2	5.635
56	22	2	5.527	32	2	5.527	21	2	5.735	31	2	5.735
57	22	2	5.621	32	2	5.621	21	2	5.836	31	2	5.836
58	22	2	5.714	32	2	5.714	21	2	5.936	31	2	5.936
59	22	2	5.808	32	2	5.808	21	2	6.036	31	2	6.036
60	22	2	5.901	32	2	5.901	21	2	6.136	31	2	6.136
61	22	2	6.01	32	2	6.01	21	2	6.255	31	2	6.255
62	22	2	6.118	32	2	6.118	21	2	6.375	31	2	6.375
63	22	2	6.227	32	2	6.227	21	2	6.494	31	2	6.494
64	22	2	6.336	32	2	6.336	21	2	6.613	31	2	6.613
65	22	2	6.445	32	2	6.445	21	2	6.732	31	2	6.732
66	22	2	6.553	32	2	6.553	21	2	6.852	31	2	6.852
67	22	2	6.662	32	2	6.662	21	2	6.971	31	2	6.971
68	22	2	6.771	32	2	6.771	21	2	7.09	31	2	7.09
69	22	2	6.879	32	2	6.879	21	2	7.209	31	2	7.209
70	22	2	6.988	32	2	6.988	21	2	7.329	31	2	7.329
71	22	2	7.097	32	2	7.097	21	2	7.448	31	2	7.448
72	22	2	7.205	32	2	7.205	21	2	7.567	31	2	7.567
73	22	2	7.314	32	2	7.314	21	2	7.686	31	2	7.686
74	22	2	7.423	32	2	7.423	21	2	7.806	31	2	7.806
