ID	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	元素精通	物理抗性	物理伤害加成	是否使用	角色品质	充能效率	治疗效果	受治疗效果	战斗config	是否远程射击角色	初始武器	武器种类	技能库ID	体力恢复速度	候选技能库ID	角色类型	羁绊组ID	角色突破ID	生日[月]	生日[日]	特性组ID	名称$text_name_Name	出生地$text_name_Native	神之眼$text_name_Vision	命之座$text_name_Constellation	描述$text_name_Desc	$#VersionBegin	$#VersionEnd
10000002		1033.5654	22.1918	54.8352	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Ayaka	0	11101	1	201	25		1	7	2	2	27	10000002	神里绫华	蒙德城	冰	夜枭座	稻妻名门「神里家」的千金，高贵而又优雅的美丽少女。		
10000003		1135.9908	17.2805	52.6848	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Qin	0	11101	1	301	25		1	8	3	3	14	10000003	琴	西风骑士团	风	幼狮座	正直严谨的蒲公英骑士，蒙德西风骑士团的代理团长。		
10000005		899.823	17.575	51.956	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	5	1	0	0	ConfigAvatar_PlayerBoy	0	11101	1	501	25	501,502,503,504,505,506	0	0	12	0	0	10000005	旅行者	——	——	——	从世界之外漂流而来的旅行者，被神带走血亲，自此踏上寻找七神之路。		
10000006		782.84601	21.61725	41.04524	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Lisa	0	14101	10	601	25		1	9	4	6	9	10000006	丽莎	西风骑士团	雷	沙漏座 	慵懒而博学的图书管理员，须弥教令院「两百年一见」的天才毕业生。		
10000007		899.823	17.575	51.956	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	5	1	0	0	ConfigAvatar_PlayerGirl	0	11101	1	701	25	701,702,703,704,705,706	0	0	12	0	0	10000007	旅行者	——	——	——	从世界之外漂流而来的旅行者，被神带走血亲，自此踏上寻找七神之路。		
10000014		827.83716	9.66625	53.51468	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Barbara	0	14101	10	1401	25		1	10	14	7	5	10000014	芭芭拉	西风教会	水	金杯座	蒙德城的大家都喜欢芭芭拉。「偶像」这个词是她从一本杂志里看到的。		
10000015		998.80353	14.93875	62.3472	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Kaeya	0	11101	1	1501	25		1	11	15	11	30	10000015	凯亚	西风骑士团	冰	孔雀羽座	异国面容的剑斗士，西风骑士团的头脑派人物。		
10000016		987.0084	25.466	54.8352	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Diluc	0	12101	11	1601	25		1	12	16	4	30	10000016	迪卢克	晨曦酒庄	火	夜枭座	坐拥蒙德大半酒业的贵公子，财力、人望、能力都令人无法小觑。		
10000020		971.80884	21.09	56.37226	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Razor	0	12101	11	2001	25		1	13	20	9	9	10000020	雷泽	奔狼领	雷	小狼座	住在蒙德地区奔狼领，远离城市与人群，和狼一同生活的少年。直觉锐利，身姿迅捷。		
10000021		773.84778	19.3325	45.20172	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Ambor	1	15101	12	2101	25		1	14	21	8	10	10000021	安柏	西风骑士团	火	小兔座	永远充满活力的女孩，骑士团最优秀，同时也是最后的侦察骑士。		
