等级	升到下一级所需经验	获得小天赋点
1	1000	
2	1325	
3	1700	
4	2150	
5	2625	
6	3150	
7	3725	
8	4350	
9	5000	
10	5700	
11	6450	
12	7225	
13	8050	
14	8925	
15	9825	
16	10750	
17	11725	
18	12725	
19	13775	
20	14875	
21	19200	
22	20575	
23	22025	
24	23500	
25	25000	
26	26575	
27	28175	
28	29825	
29	31525	
30	33250	
31	35025	
32	36850	
33	38725	
34	40625	
35	42575	
36	44550	
37	46575	
38	48650	
39	50775	
40	52925	
41	66125	
42	68825	
43	71550	
44	74325	
45	77150	
46	80050	
47	82975	
48	85950	
49	88975	
50	92050	
51	95175	
52	98350	
53	101575	
54	104850	
55	108150	
56	111525	
57	114925	
58	118400	
59	121900	
60	125475	
61	154900	
62	159275	
63	163725	
64	168225	
65	172775	
66	177400	
67	182075	
68	186800	
69	191575	
70	196425	
71	201325	
72	206300	
73	211300	
74	216375	
75	221500	
76	226700	
77	231925	
78	237225	
79	242575	
80	248000	
81	319375	
82	342650	
83	367525	
84	394125	
85	422550	
86	452925	
87	485375	
88	520050	
89	557075	
90	596600	
