角色突破ID	突破等级	语音文件	消耗金币	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	解锁等级上限	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	冒险等级要求
2	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
2	1		40000	104161	1	0	0	100055	3	112011	3	40	1	897.4725	7	47.62	4	19.2649	12
2	2		80000	104162	3	113009	2	100055	15	112011	15	60	1	1865.1078	7	98.96	4	40.0359	25
2	3		120000	104163	4	113009	9	100055	35	112012	18	80	1	3097.4052	7	164.34	4	66.4881	35
2	4		160000	104164	6	113009	25	100055	65	112013	24	90	1	4775.2533	7	253.37	4	102.5044	45
3	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
3	1		40000	104151	1	0	0	100057	3	112011	3	40	1	986.4112	7	45.75	4	15.0014	12
3	2		80000	104152	3	113001	2	100057	15	112011	15	60	1	2049.9383	7	95.08	4	31.1755	25
3	3		120000	104153	4	113001	9	100057	35	112012	18	80	1	3404.3552	7	157.9	4	51.7735	35
3	4		160000	104154	6	113001	25	100057	65	112013	24	90	1	5248.4766	7	243.43	4	79.819	45
4	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
4	1		40000	104141	1	0	0	100022	3	112002	3	40	1	586.1868	7	30.73	4	16.1865	12
4	2		80000	104142	3	113002	2	100022	15	112002	15	60	1	1218.2007	7	63.87	4	33.6384	25
4	3		120000	104143	4	113002	9	100022	35	112003	18	80	1	2023.0794	7	106.07	4	55.8636	35
4	4		160000	104144	6	113002	25	100022	65	112004	24	90	1	3118.9709	7	163.53	4	86.1246	45
12	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
12	1		40000	104101	1	0	0	100024	3	112005	3	40	1	673.778	7	38.9	4	13.1597	12
12	2		80000	104102	3	0	2	100024	15	112005	15	60	1	1400.2307	7	80.85	4	27.3483	25
12	3		120000	104103	4	0	9	100024	35	112006	18	80	1	2325.3786	7	134.27	4	45.4176	35
12	4		160000	104104	6	0	25	100024	65	112007	24	90	1	3585.024	7	207	4	70.02	45
14	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
14	1		40000	104121	1	0	0	100025	3	112011	3	40	1	619.8757	7	40.07	4	7.2378	12
14	2		80000	104122	3	113002	2	100025	15	112011	15	60	1	1288.2123	7	83.28	4	15.0415	25
14	3		120000	104123	4	113002	9	100025	35	112012	18	80	1	2139.3483	7	138.3	4	24.9797	35
14	4		160000	104124	6	113002	25	100025	65	112013	24	90	1	3298.2221	7	213.21	4	38.511	45
15	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
15	1		40000	104161	1	0	0	100056	3	112002	3	40	1	747.8935	7	46.68	4	11.1858	12
15	2		80000	104162	3	113009	2	100056	15	112002	15	60	1	1554.2561	7	97.02	4	23.246	25
15	3		120000	104163	4	113009	9	100056	35	112003	18	80	1	2581.1703	7	161.12	4	38.6049	35
15	4		160000	104164	6	113009	25	100056	65	112004	24	90	1	3979.3766	7	248.4	4	59.517	45
16	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
16	1		40000	104111	1	0	0	100055	3	112008	3	40	1	857.0458	7	47.62	4	22.1073	12
16	2		80000	104112	3	113001	2	100055	15	112008	15	60	1	1781.094	7	98.96	4	45.9429	25
16	3		120000	104113	4	113001	9	100055	35	112009	18	80	1	2957.8824	7	164.34	4	76.2979	35
16	4		160000	104114	6	113001	25	100055	65	112010	24	90	1	4560.1518	7	253.37	4	117.628	45
20	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
20	1		40000	104141	1	0	0	100022	3	112005	3	40	1	727.6802	7	42.21	4	15.7917	12
20	2		80000	104142	3	113002	2	100022	15	112005	15	60	1	1512.2492	7	87.72	4	32.8179	25
20	3		120000	104143	4	113002	9	100022	35	112006	18	80	1	2511.4089	7	145.68	4	54.5011	35
20	4		160000	104144	6	113002	25	100022	65	112007	24	90	1	3871.8259	7	224.6	4	84.024	45
21	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
21	1		40000	104111	1	0	0	100055	3	112011	3	40	1	579.4491	7	33.85	4	14.4757	12
21	2		80000	104112	3	113001	2	100055	15	112011	15	60	1	1204.1984	7	70.34	4	30.0831	25
21	3		120000	104113	4	113001	9	100055	35	112012	18	80	1	1999.8256	7	116.81	4	49.9593	35
21	4		160000	104114	6	113001	25	100055	65	112013	24	90	1	3083.1206	7	180.09	4	77.022	45
22	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
22	1		40000	104151	1	0	0	100023	3	112002	3	40	1	695.3391	7	39.68	4	18.1596	12
22	2		80000	104152	3	113001	2	100023	15	112002	15	60	1	1445.0385	7	82.47	4	37.7388	25
22	3		120000	104153	4	113001	9	100023	35	112003	18	80	1	2399.7914	7	136.95	4	62.6732	35
22	4		160000	104154	6	113001	25	100023	65	112004	24	90	1	3699.7458	7	211.14	4	96.623	45
23	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
23	1		40000	104111	1	0	0	100027	3	112002	3	40	1	761.3691	7	40.07	4	15.1337	12
23	2		80000	104112	3	113001	2	100027	15	112002	15	60	1	1582.2607	7	83.28	4	31.4505	25
23	3		120000	104113	4	113001	9	100027	35	112003	18	80	1	2627.6778	7	138.3	4	52.2302	35
23	4		160000	104114	6	113001	25	100027	65	112004	24	90	1	4051.0771	7	213.21	4	80.523	45
24	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
24	1		40000	104141	1	0	0	100028	3	112008	3	40	1	875.9114	7	36.18	4	10.5278	12
24	2		80000	104142	3	113002	2	100028	15	112008	15	60	1	1820.2999	7	75.19	4	21.8786	25
24	3		120000	104143	4	113002	9	100028	35	112009	18	80	1	3022.9922	7	124.87	4	36.334	35
24	4		160000	104144	6	113002	25	100028	65	112010	24	90	1	4660.5312	7	192.51	4	56.016	45
25	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
25	1		40000	104121	1	0	0	100029	3	112005	3	40	1	720.9424	7	48.63	4	11.3174	12
25	2		80000	104122	3	113002	2	100029	15	112005	15	60	1	1498.2469	7	101.06	4	23.5195	25
25	3		120000	104123	4	113002	9	100029	35	112006	18	80	1	2488.1551	7	167.83	4	39.0591	35
25	4		160000	104124	6	113002	25	100029	65	112007	24	90	1	3835.9757	7	258.75	4	60.2172	45
26	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
26	1		40000	104151	1	0	0	100031	3	112011	3	40	1	840.8751	7	49.95	4	21.4757	12
26	2		80000	104152	3	113001	2	100031	15	112011	15	60	1	1747.4884	7	103.81	4	44.6302	25
26	3		120000	104153	4	113001	9	100031	35	112012	18	80	1	2902.0733	7	172.4	4	74.1179	35
26	4		160000	104154	6	113001	25	100031	65	112013	24	90	1	4474.1112	7	265.79	4	114.2672	45
27	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
27	1		40000	104171	1	0	0	100030	3	112002	3	40	1	646.8268	7	31.9	4	11.5806	12
27	2		80000	104172	3	113009	2	100030	15	112002	15	60	1	1344.2215	7	66.3	4	24.0665	25
27	3		120000	104173	4	113009	9	100030	35	112003	18	80	1	2232.3635	7	110.1	4	39.9674	35
27	4		160000	104174	6	113009	25	100030	65	112004	24	90	1	3441.623	7	169.74	4	61.6176	45
29	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
29	1		40000	104111	1	0	0	100025	3	112008	3	40	1	679.168381	7	37.347911	4	21.317741	12
29	2		80000	104112	3	113001	2	100025	15	112008	15	60	1	1411.432947	7	77.615616	4	44.302066	25
29	3		120000	104113	4	113001	9	100025	35	112009	18	80	1	2343.98229	7	128.897111	4	73.57293	35
29	4		160000	104114	6	113001	25	100025	65	112010	24	90	1	3613.7052	7	198.72	4	113.427	45
30	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
30	1		40000	104171	1	0	0	100034	3	112008	3	40	1	913.6432	7	55.56	4	12.6327	12
30	2		80000	104172	3	113009	2	100034	15	112008	15	60	1	1898.7134	7	115.45	4	26.2531	25
30	3		120000	104173	4	113009	9	100034	35	112009	18	80	1	3153.2143	7	191.73	4	43.5988	35
30	4		160000	104174	6	113009	25	100034	65	112010	24	90	1	4861.2939	7	295.6	4	67.216	45
31	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
31	1		40000	104141	1	0	0	100055	3	112005	3	40	1	569.3424	7	33.85	4	15.1337	12
31	2		80000	104142	3	113002	2	100055	15	112005	15	60	1	1183.1949	7	70.34	4	31.4505	25
31	3		120000	104143	4	113002	9	100055	35	112006	18	80	1	1964.9449	7	116.81	4	52.2302	35
31	4		160000	104144	6	113002	25	100055	65	112007	24	90	1	3029.3453	7	180.09	4	80.523	45
32	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
32	1		40000	104111	1	0	0	100024	3	112011	3	40	1	768.1069	7	43.96	4	11.8438	12
32	2		80000	104112	3	113001	2	100024	15	112011	15	60	1	1596.263	7	91.36	4	24.6134	25
