ID	充能技能	天赋技能	技能1	技能2	技能3	技能4	次级技能	瞄准模式	队长天赋	额外Ability1	额外Ability2	额外Ability3	天赋1	天赋2	天赋3	天赋4	天赋5	天赋6	天赋星盘名称	核心得意技组ID	核心得意技组激活所需角色突破等级	固有得意技组1ID	固有得意技组1激活所需角色突破等级	固有得意技组2ID	固有得意技组2激活所需角色突破等级	固有得意技组3ID	固有得意技组3激活所需角色突破等级	固有得意技组4ID	固有得意技组4激活所需角色突破等级	固有得意技组5ID	固有得意技组5激活所需角色突破等级
101	10014		10011	10012			10300,10101,10102,10001						0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
201	10019		10024	10018	10013		10020,10021,10052,10053,10111,10101,10001,10102		211				21	22	23	24	25	26	Talent_Ayaka	211	0	221	1	222	3	223	0	0	0	0	0
301	10034		10031	10033			10101,10001,10102		1300				31	32	33	34	35	36	Talent_Qin	311	0	321	1	322	3	323	0	0	0	0	0
501			10054				10035,10101,10001,10102						0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
502			10054				10101,10001,10102,10054						0	0	0	0	0	0	Talent_PlayerBoy_Fire	0	0	0	0	0	0	0	0	0	0	0	0
503			10054				10101,10001,10102,10054						0	0	0	0	0	0	Talent_PlayerBoy_Water	0	0	0	0	0	0	0	0	0	0	0	0
504	10068		100543	10067			10101,10001,10102,10006,10054		1481	Avatar_PlayerBoy_ExtraAttack_Wind			71	72	73	74	75	76	Talent_PlayerBoy_Wind	711	0	721	1	722	3	0	0	0	0	0	0
505			10054	10391			10101,10001,10102,10054						0	0	0	0	0	0	Talent_PlayerBoy_Ice	0	0	0	0	0	0	0	0	0	0	0	0
506	10078		100545	10077			10101,10001,10102,10054		1641	Avatar_PlayerBoy_ExtraAttack_Rock			91	92	93	94	95	96	Talent_PlayerBoy_Rock	911	0	921	1	922	3	0	0	0	0	0	0
507			10054				10101,10001,10102,10054						0	0	0	0	0	0	Talent_PlayerBoy_Electric	0	0	0	0	0	0	0	0	0	0	0	0
508			10054				10101,10001,10102,10054						0	0	0	0	0	0	Talent_PlayerBoy_Grass	0	0	0	0	0	0	0	0	0	0	0	0
601	10062		10060	10061			10101,10102,10003		1100				41	42	43	44	45	46	Talent_Lisa	411	0	421	1	422	3	423	0	0	0	0	0
