ID	组ID	持续时间	自身叠加类型	Ability名称	Modifier名称
1	1	180	0	Item_Food_Attack	AttackModifier
2	1	180	0	Item_Food_Defence	DefenceModifier
3	2	180	0	Item_Food_MaxHP	MaxHPModifier
100101	10	31	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_1
100102	10	31	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_2
100103	10	31	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_3
100104	10	31	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_4
100201	10	31	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv2_1
100202	10	31	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv2_2
100203	10	31	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv2_3
100204	10	31	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv2_4
100301	10	31	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv3_1
100302	10	31	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv3_2
100303	10	31	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv3_3
100304	10	31	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv3_4
105101	10		0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv51_1
105102	10		0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv51_2
105103	10		0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv51_3
105104	10		0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv51_4
105201	10		0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv52_1
105202	10		0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv52_2
105203	10		0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv52_3
105204	10		0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv52_4
105301	10		0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv53_1
105302	10		0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv53_2
105303	10		0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv53_3
105304	10		0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv53_4
110101	11	300	0	Atk_Team	Atk_Team_Modifier_lv1_1
110102	11	300	0	Atk_Team	Atk_Team_Modifier_lv1_2
110103	11	300	0	Atk_Team	Atk_Team_Modifier_lv1_3
110104	11	300	0	Atk_Team	Atk_Team_Modifier_lv1_4
110201	11	300	0	Atk_Team	Atk_Team_Modifier_lv2_1
110202	11	300	0	Atk_Team	Atk_Team_Modifier_lv2_2
110203	11	300	0	Atk_Team	Atk_Team_Modifier_lv2_3
110204	11	300	0	Atk_Team	Atk_Team_Modifier_lv2_4
110301	11	300	0	Atk_Team	Atk_Team_Modifier_lv3_1
110302	11	300	0	Atk_Team	Atk_Team_Modifier_lv3_2
110303	11	300	0	Atk_Team	Atk_Team_Modifier_lv3_3
110304	11	300	0	Atk_Team	Atk_Team_Modifier_lv3_4
120101	12	300	0	Def_Team	Def_Team_Modifier_lv1_1
120102	12	300	0	Def_Team	Def_Team_Modifier_lv1_2
120103	12	300	0	Def_Team	Def_Team_Modifier_lv1_3
120104	12	300	0	Def_Team	Def_Team_Modifier_lv1_4
120201	12	300	0	Def_Team	Def_Team_Modifier_lv2_1
120202	12	300	0	Def_Team	Def_Team_Modifier_lv2_2
120203	12	300	0	Def_Team	Def_Team_Modifier_lv2_3
