章节ID	开始子任务	结束子任务	需要冒险等阶	需要开启时间	是否隐藏章节icon	$#VersionBegin	$#VersionEnd
1001	36301	30904					
1002	37004	38406	10				
1003	39705	39604	18				
1101	100002	100318	26				
2001	46102	46308	5				
2002	46402	46618					
2003	48005	48508					
2004	1010003	1010115					
2005	45201	45406	21				
2006	49201	49010	29				
2007	1100004	1100519					
2008	1200004	1200309					
2009	1020003	1020204	23				
10001	4000100	4000108	16	2020-03-27 04:00:00			
10002	4000201	4000215	16	2020-03-28 04:00:00			
10003	4000301	4000309	16	2020-03-29 04:00:00			
10004	4000400	4000408	16	2020-03-30 04:00:00			
10005	4000500	4000506	16	2020-03-31 04:00:00			
50000	2500001	2500102	25				
50001	2500201	2500302	30				
50002	2500401	2500502	35				
50003	2500601	2500702	40				
50004	2500801	2500902	45				
50005	2501001	2501102	50				
50006	2501201	2501302	55				
