场景ID	城市ID	等级	[升级道具]种类	[升级道具]数量	升级奖励RewardID	[解锁Action]1Type	[解锁Action]1参数1	[解锁Action]1参数2	[解锁Action]2Type	[解锁Action]2参数1	[解锁Action]2参数2	[解锁Action]3Type	[解锁Action]3参数1	[解锁Action]3参数2	[解锁Action]4Type	[解锁Action]4参数1	[解锁Action]4参数2	[解锁Action]5Type	[解锁Action]5参数1	[解锁Action]5参数2
3	1	1			210311															
3	1	2	107001	1	210312	2	7		3	1		5	70220012	70220011						
3	1	3	107001	2	210313	2	7													
3	1	4	107001	4	210314	2	8													
3	1	5	107001	6	210315	2	8													
3	1	6	107001	7	210316	2	8													
3	1	7	107001	8	210317	2	8													
3	1	8	107001	10	210318	2	8													
3	1	9	107001	12	210319	2	8													
3	1	10	107001	15	210320	2	8													
3	2	1			210321															
3	2	2	107003	2	210322	2	7													
3	2	3	107003	4	210323	2	7													
3	2	4	107003	8	210324	2	8													
3	2	5	107003	12	210325	2	8													
3	2	6	107003	14	210326	2	8													
3	2	7	107003	16	210327	2	8													
3	2	8	107003	20	210328	2	8													
3	2	9	107003	24	210329	2	8													
3	2	10	107003	30	210330	2	8													
