合成ID	解锁等级	合成类型	合成产物	产物数量	摩拉消耗	随机产物1ID	随机产物1数量	随机产物1权重	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量
11001	1	1	112003	1	25	100075	1	0	112002	3				
11002	5	1	112004	1	50	100075	1	0	112003	3				
11003	5	1	112006	1	25	110006	1	0	112005	3				
11004	10	1	112007	1	50	110006	1	0	112006	3				
11005	5	1	112009	1	25	100075	1	0	112008	3				
11006	10	1	112010	1	50	100075	1	0	112009	3				
11007	5	1	112012	1	25	101001	1	0	112011	3				
11008	10	1	112013	1	50	101001	1	0	112012	3				
11009	10	1	112015	1	50	101001	1	0	112014	3				
11010	15	1	112016	1	125	101001	1	0	112015	3				
11011	10	1	112018	1	50	100085	1	0	112017	3				
11012	15	1	112019	1	125	100085	1	0	112018	3				
11013	10	1	112021	1	50	100082	1	0	112020	3				
11014	15	1	112022	1	125	100082	1	0	112021	3				
11015	15	1	112024	1	50	100053	1	0	112023	3				
11016	20	1	112025	1	125	100053	1	0	112024	3				
11017	15	1	112027	1	50	100052	1	0	112026	3				
11018	20	1	112028	1	125	100052	1	0	112027	3				
11019	15	1	112030	1	50	101003	1	0	112029	3				
11020	20	1	112031	1	125	101003	1	0	112030	3				
11021	15	1	112033	1	25	101002	1	0	112032	3				
11022	20	1	112034	1	50	101002	1	0	112033	3				
12001	10	2	114002	1	125	101001	1	0	114001	3				
12002	20	2	114003	1	350	101002	1	0	114002	3				
12003	30	2	114004	1	1075	101003	1	0	114003	3				
12004	10	2	114006	1	125	101001	1	0	114005	3				
12005	20	2	114007	1	350	101002	1	0	114006	3				
12006	30	2	114008	1	1075	101003	1	0	114007	3				
12007	10	2	114010	1	125	101001	1	0	114009	3				
12008	20	2	114011	1	350	101002	1	0	114010	3				
12009	30	2	114012	1	1075	101003	1	0	114011	3				
12010	10	2	114014	1	125	101001	1	0	114013	3				
12011	20	2	114015	1	350	101002	1	0	114014	3				
12012	30	2	114016	1	1075	101003	1	0	114015	3				
12013	10	2	114018	1	125	101001	1	0	114017	3				
12014	20	2	114019	1	350	101002	1	0	114018	3				
12015	30	2	114020	1	1075	101003	1	0	114019	3				
12016	10	2	114022	1	125	101001	1	0	114021	3				
12017	20	2	114023	1	350	101002	1	0	114022	3				
12018	30	2	114024	1	1075	101003	1	0	114023	3				
13001	10	3	104302	1	175	100085	1	0	104301	3				
13002	20	3	104303	1	550	100082	1	0	104302	3				
13003	30	3	104305	1	175	100085	1	0	104304	3				
13004	10	3	104306	1	550	100082	1	0	104305	3				
13005	20	3	104308	1	175	100085	1	0	104307	3				
13006	30	3	104309	1	550	100082	1	0	104308	3				
13007	10	3	104311	1	175	100085	1	0	104310	3				
13008	20	3	104312	1	550	100082	1	0	104311	3				
13009	30	3	104314	1	175	100085	1	0	104313	3				
13010	10	3	104315	1	550	100082	1	0	104314	3				
13011	20	3	104317	1	175	100085	1	0	104316	3				
13012	30	3	104318	1	550	100082	1	0	104317	3				
14001	5	4	111006	1	100				100072	1	100053	1		
14002	5	4	111007	1	100				100072	1	100026	1		
14003	5	4	111008	1	100				100085	1	100052	1		
14004	5	4	111009	1	100				100085	1	100057	1		
14005	5	4	111010	1	100				100072	1	100054	1		
14006	5	4	111011	1	100				100072	1	100058	1		
14008	5	4	111013	1	100				100081	1	100053	1		
14009	5	4	111014	1	100				100081	1	100026	1		
14010	5	4	111015	1	100				100083	1	100052	1		
14011	5	4	111016	1	100				100083	1	100057	1		
14012	5	4	111017	1	100				100081	1	100054	1		
14013	5	4	111018	1	100				100081	1	100058	1		
15001	10	5	104112	1	300				104111	3				
15002	20	5	104113	1	900				104112	3				
15003	30	5	104114	1	2700				104113	3				
15004	10	5	104122	1	300				104121	3				
15005	20	5	104123	1	900				104122	3				
15006	30	5	104124	1	2700				104123	3				
15010	10	5	104142	1	300				104141	3				
15011	20	5	104143	1	900				104142	3				
15012	30	5	104144	1	2700				104143	3				
15013	10	5	104152	1	300				104151	3				
15014	20	5	104153	1	900				104152	3				
15015	30	5	104154	1	2700				104153	3				
15016	10	5	104162	1	300				104161	3				
15017	20	5	104163	1	900				104162	3				
15018	30	5	104164	1	2700				104163	3				
15019	10	5	104172	1	300				104171	3				
15020	20	5	104173	1	900				104172	3				
15021	30	5	104174	1	2700				104173	3				
15022	15	5	113006	1	20000	101002	1	0	113007	1				
15023	15	5	113006	1	20000	101002	1	0	113008	1				
15024	15	5	113007	1	20000	101002	1	0	113006	1				
15025	15	5	113007	1	20000	101002	1	0	113008	1				
15026	15	5	113008	1	20000	101002	1	0	113006	1				
15027	15	5	113008	1	20000	101002	1	0	113007	1				
16001	13	6	200004	1	100				200001	1	200002	1	200003	1
