ID	加工类型	默认解锁	加工时长	队列上限	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	材料5ID	材料5数量	产出1ID	产出1数量	产出2ID	产出2数量	$#VersionBegin	$#VersionEnd
1001	1	1	60	99	100017	1	0	0	0	0	0	0	0	0	110001	1				
1002	1	1	180	99	100078	1	0	0	0	0	0	0	0	0	110002	1				
1003	1	1	300	99	100064	3	100075	1	0	0	0	0	0	0	110003	1				
1004	1	1	300	99	100078	2	0	0	0	0	0	0	0	0	110004	1				
1005	1	1	300	99	100061	2	100075	1	0	0	0	0	0	0	110005	1				
1006	1	1	180	99	100012	2	0	0	0	0	0	0	0	0	110006	1				
1007	1	1	1200	99	100073	4	0	0	0	0	0	0	0	0	100074	1				
1008	1	1	600	99	100002	3	100051	2	110006	1	0	0	0	0	110008	1				
1009	1	1	600	99	100078	3	0	0	0	0	0	0	0	0	110009	1				
1010	1	1	900	99	100061	2	100075	2	0	0	0	0	0	0	110010	1				
1011	1	1	1200	99	100061	3	0	0	0	0	0	0	0	0	110011	1				
