常量名	常量值1	常量值2	常量值3	常量值4	常量值5	常量值6
1	24					
2	7.31					
3	10000005	10000007				
4	1					
5	10	10				
6	18	18				
7	59	1	91	2	105	3
8	25					
118	0.8	0.002	0.00016	0.8	2	
119	20	0.12	20	30		
9	4					
10	1					
104	18					
11	3					
66	50					
71	18	18				
81	10					
67	1.5					
45	100					
52	200	100				
12	-24	0.1	-1	0.151		
13	30000					
14	2000					
15	100					
16	3					
17	2					
18	255					
19	10					
20	10	20	999999			
21	0	1				
22	60	50	10			
23	30					
24	10					
25	2					
26	10					
27	1					
28	0.5					
29	2					
30	0.5					
31	0.05					
32	30					
33	0.8					
34	0.8					
35	1.5	5	8	0.125	5	10
36	3	999				
37	40	5				
38	3					
39	35					
40	10					
41	1500	15				
42	1	10	0.3	0.1		
43	2					
44	3600	4				
46	50	100	1800			
47	200	300	50			
48	5					
49	16	16				
50	10					
53	5					
55	6					
54	16					
115	16					
56	5					
58	6	40	5	5		
59	50	6				
61	8	4	21010200	6	5	300
62	5	10	85			
114	0.25	0.5				
63	100	0.2				
64	4					
65	100161	100162	100163			
68	3	5	2			
69	7					
70	3					
72	1000					
73	15					
74	120					
75	999					
76	10					
77	0.15	0.15	0.15	0.15	0.15	
78	1	1	1	1	1	
128	0.15	0.15				
79	5					
80	20					
82	300					
83	1					
84	70					
85	80					
86	20					
87	5					
88	1					
89	30	1				
91	1					
92	10	2	10	-5		
93	4	500	1	500		
94	4	4	2010137	4	5	10100,10201,10500,10300
131	5					
133	10106,10107,10204,21700					
95	4					
101	1	14	60			
96	1	1800	3600	50	100	10
97	60	1.5	2	1.5	2.5	
105	40	80				
100	1	1800	102	1000		
98	1,1	0.9,0.8	0.85,0.7	0.8,0.6		
99	1					
102	2					
103	-15	15	60			
106	8					
109	1,15,25,20000,10000,4000,40,14000,10000					
110	5,3,1	5,3,1	5,3,1	5,3,1	5,3,1	5,3,1
111	10					
112	1					
113	10					
116	20501	20501	2050103			
117	200	80	1	8	8	60
120	10					
121	9					
122	10					
123	5					
124	9999					
125	200					
126	30	30000000	120	120	120	70800017
127	7	1000				
129	https://api-takumi.mihoyo.com/event/e20200203lantern/addbless?authkey_ver=1	https://webstatic.mihoyo.com/ys/event/sealamp/index.html?fullscreen=1#/ingame	https://api-os-takumi.mihoyo.com/event/e20200203lantern/addbless?authkey_ver=1	https://webstatic-sea.mihoyo.com/ys/event/sealamp_os/index.html?fullscreen=1#/ingame		
130	30000	200004	16001	30001	150	151
132	40001	40002	40003	40004	40005	
134	2000	90	12	60	50,60,80,100	
136	50	60	80	100		
135	100	4	240	3	50,60,80,100	
137	50	60	80	100		
138	1					
139	2					
140	3					
141	47,FreshmeatRegion,48,GlobalOpenArea					
142	-492.42,203.78,285.7	-45	0,0,2	10		
144	70300001					
145	50					
146	35802					
147	0.44					
148	10					
149	3					
150	0.9					
151	1	0				
152	1	0				
153	5					
154	2					
155	2.5					
156	3					
