ID	周一	周二	周三	周四	周五	周六	周日
17	5254	5258	5262	5254	5258	5262	5250
18	5255	5259	5263	5255	5259	5263	5251
19	5256	5260	5264	5256	5260	5264	5252
20	5257	5261	5265	5257	5261	5265	5253
21	5214	5218	5222	5214	5218	5222	5210
22	5215	5219	5223	5215	5219	5223	5211
23	5216	5220	5224	5216	5220	5224	5212
24	5217	5221	5225	5217	5221	5225	5213
25	4210	4220	4230	4210	4220	4230	4200
26	4211	4221	4231	4211	4221	4231	4201
27	4212	4222	4232	4212	4222	4232	4202
28	4213	4223	4233	4213	4223	4233	4203
29	4310	4320	4330	4310	4320	4330	4300
30	4311	4321	4331	4311	4321	4331	4301
31	4312	4322	4332	4312	4322	4332	4302
32	4313	4323	4333	4313	4323	4333	4303
