ID	城市ID	事件组id	事件tag1值	事件tag2值	事件权重	事件类型	事件稀有度	事件接取任务	事件对应旧group	事件对应新group	组合关系	[满足条件]1类型	[满足条件]1参数1	[满足条件]1参数2	[满足条件]1参数3	[满足条件]2类型	[满足条件]2参数1	[满足条件]2参数2	[满足条件]2参数3	[满足条件]3类型	[满足条件]3参数1	[满足条件]3参数2	[满足条件]3参数3	完成条件类型	完成条件参数1	完成条件参数2	完成进度	[完成执行]1条件类型	[完成执行]1条件参数1	[完成执行]1条件参数2	[完成执行]1条件参数3	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]1参数3	[完成执行]2条件类型	[完成执行]2条件参数1	[完成执行]2条件参数2	[完成执行]2条件参数3	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2	[完成执行]2参数3	事件奖励索引
10100	1	1001	0	0	80	1	2		133003170	133003474														5			8																	2
10101	1	1001	1006	0	80	1	2		133003136	133003477														5			8																	2
10102	1	1001	0	0	80	1	2		133001034	133001306														5			8																	2
10103	1	1001	1002	0	80	1	2		133001158	133001307														5			8																	2
10104	1	1001	0	0	80	1	2			133002267														5			8																	2
10105	1	1001	0	0	0	1	2		133102320	133102355														5			8																	2
10106	1	1001	0	0	80	1	2			133002318														5			6																	2
10107	1	1001	0	0	80	1	2		133003096	133003503														5			5																	2
10200	1	1002	0	0	80	1	2		133003102,133003291,133003295,133003297,133003298,133003296,133003314	133003478														5			5																	2
10201	1	1002	0	0	80	1	2		133003124,133003129	133003479														5			5																	2
10202	1	1002	0	0	80	1	2		133001100	133001309		2	18											5			5																	2
10203	1	1002	1008	0	80	1	2		133004243,133004244	133004263		1	39602											5			5																	2
10204	1	1002	1007	0	80	1	2		133004101,133004102,133004103	133004264														5			5																	2
10205	1	1002	0	0	80	1	2		133007019,133007152,133007039,133007079,133007058	133007231		1	39602											5			5																	2
10206	1	1002	1001	0	80	1	2		133002224,133002223,133002231,133002235	133002268														5			5																	2
10500	1	1002	0	0	80	1	2		133004129,133004126,133004084,133004130,133004127,133004101	133004253														5			1																	2
10501	1	1002	1002	0	0	1	2			133001294														5			1																	2
10502	1	1002	0	0	80	1	2			133001295		2	60											5			1																	2
10503	1	1002	0	0	80	1	2		133001089,133001108	133001296		1	41803											5			1																	2
10504	1	1002	0	0	80	1	2		133001090	133001297		1	41803											5			1																	2
10505	1	1002	0	0	80	1	2			133007226		1	39602											5			1																	2
10506	1	1002	1008	0	80	1	2			133004254		1	39602											5			1																	2
10507	1	1002	0	0	80	1	2			133003467														5			1																	2
10300	1	1003	0	0	70	1	2		133001232,133001216,133001217,133001223	133001291														2	70300101		2																	2
10301	1	1003	0	0	80	1	2		133003001,133003378,133003367,133003005,133003358,133003399,133003438	133003455														2	70300101		2																	2
10302	1	1003	0	0	80	1	2			133001308														2	70300101		2																	2
10303	1	1003	0	0	80	1	2		133001234,133001235,133001211,133001210,133001067	133001310														2	70300101		2																	2
10304	1	1003	0	0	80	1	2		133001142,133001247,133001263,133001200,133001144,133001143	133001311														2	70300101		2																	2
10305	1	1003	0	0	70	1	2		133004120,133004076,133004065,133004125	133004250		1	45406											2	70300101		2																	2
10306	1	1003	0	0	80	1	2		133007211,133007212	133007232		1	38803											2	70300101		2																	2
10400	1	1003	1002	0	50	1	2		133001160,133001280,133001258,133001144,133001145,133001281,133001263,133001069,133001101	133001304														5			10																	2
10401	1	1003	0	0	80	1	2		133003092,133003154,133003285	133003480														5			8																	2
10402	1	1003	1003	0	80	1	2		133002085,133002084	133002269														5			8																	2
10403	1	1003	1007	0	80	1	2		133002232,133002237	133002270														5			8																	2
10404	1	1003	0	0	80	1	2		133004242,133004193,133004043,133004240	133004265		2	15											5			8																	2
10405	1	1003	0	0	80	1	2		133003324,133003269,133003222,133003221,133003337,133003218	133003481														5			8																	2
10600	1	1003	0	0	0	1	2			133003492														5			8																	2
20500	1	2003	1006	2004	30	0	2	2000101																																				2
20501	1	2003	0	0	30	0	2	2001101																																				2
20502	1	2003	1003	0	30	0	2	2001201																																				2
20503	1	2003	1004	0	30	0	2	2001301				1	48803																															2
20400	1	2003	0	0	10	0	2	2000501																																				2
20401	1	2003	1005	0	10	0	2	2002501																																				2
20402	1	2003	1005	0	10	0	2	2003501																																				2
20403	1	2003	0	0	10	0	2	2001901																																				2
20300	1	2003	1003	0	30	0	2	2000601																								1	20300	0	1									2
20301	1	2003	0	2003	30	0	2	2001601																																				2
20302	1	2003	0	0	30	0	2	2002601				3	20300	0	1																													2
20100	1	2003	1001	0	30	0	2	2000701				1	48803																															2
20101	1	2003	1001	0	30	0	2	2001701				1	48803																															2
20102	1	2003	1001	0	30	0	2	2001801				1	48803																															2
20200	1	2003	0	0	30	0	1	2000801																																				1
20201	1	2003	1005	0	30	0	2	2002701																																				2
20202	1	2003	1003		30	0	2	2002801																																				2
20203	1	2003			0	0	2	2005201																																				2
20700	1	2003	0	0	30	0	2	2000909																																				2
20701	1	2003	0	0	30	0	2	2001009																																				2
20702	1	2003	0	0	30	0	2	2001509				1	39403																															2
21000	1	2003	0	0	10	0	2	2003601																								5	21100	3										2
20900	1	2003	0	0	30	0	2	2003801																																				2
21100	1	2003	0	0	0	0	1	2003701				2	20																															1
21200	1	2003	0	0	30	0	2	2003901																																				2
20600	1	2003	0	0	30	0	2	2004001				2	25																															2
21300	1	2003	0	0	30	0	2	2004101																																				2
21600	1	2003	0	0	30	0	1	2004401				2	18																															1
21601	1	2003	0	0	30	0	1	2005001				2	20																															1
21602	1	2003	0	0	20	0	2	2005301				2	22																															2
21603	1	2003	0	0	0	0	2	2006501																																				2
21604	1	2003	0	0	0	0	2	2006601																																				2
21400	1	2003	10101	0	30	0	1	2004201																																				1
21500	1	2003	0	2004	30	0	1	2004301																																				1
21800	1	2003	0	0	0	0	1	2004701																																				1
21700	1	2003	0	0	30	0	1	2004801																								2	21700	0										1
21900	1	2003	0	2004	10	0	1	2004901																																				1
22000	1	2003	0		10	0	1	2005101																																				1
22100	1	2003	0	0	30	0	1	2005401																																				1
22200	1	2003	0	0	30	0	1	2005801																																				1
22300	1	2003	0	0	0	0	1	2002401																																				1
22400	1	2003	0	0	30	0	1	2006201																				1	22400	1	1	4	21603			1	22400	1	2	4	21604			1
22500	1	2003	0	0	30	0	1	2006001																																				1
22600	1	2003	0	0	30	0	1	2002301																																				1
22700	1	2003	1001	2005	30	0	1	2006101				1	48508																															1
22800	1	2003	1009		30	0	1	2006301																																				1
22900	1	2003	1009		30	0	1	2005901																																				1
15000	2	1103	0	0	30	1			133105270	133105257														5			13																	2
15001	2	1103	0	0	30	1			133102145	133102552														5			13																	2
15002	2	1103	0	0	30	1			133108109	133108086		2	24											5			13																	2
15100	2	1102	0	0	30	1			133103315,133103336	133103270														8	189	133103270	1																	2
15101	2	1102	0	0	30	1			133101079	133101096														8	189	133101096	1																	2
15102	2	1102	0	0	30	1			133102208	133102546														8	189	133102546	1																	2
15103	2	1102	0	0	30	1			133102577,133102590	133102565														8	189	133102565	1																	2
15104	2	1102	0	0	30	1			133108088	133108093		2	24											8	189	133108093	1																	2
15105	2	1102	0	0	30	1			133104231	133104421														8	189	133104421	1																	2
15106	2	1102	3003	0	30	1			133104079	133104422														8	189	133104422	1																	2
15200	2	1103	0	0	30	1			133103115	133103267														5			9																	2
15201	2	1103	0	0	30	1			133104294	133104511														5			9																	2
15202	2	1103	0	0	30	1			133101061	133101092														5			10																	2
15203	2	1103	0	0	30	1			133103245	133103295														5			9																	2
15204	2	1103	0	0	30	1			133102525,133102641	133102567														5			9																	2
15205	2	1103	0	0	30	1			133104266	133104402														5			9																	2
15206	2	1103	0	0	30	1			133104202,133104346	133104404														5			9																	2
15207	2	1103	0	0	30	1				133101104														5			8																	2
15208	2	1103	0	0	30	1			133105112	133105264														5			8																	2
15300	2	1104	0	0	30	1	2		133103030,133103335	133103266														5			8																	2
15301	2	1104	0	0	30	1	2		133102073,133102316	133102554														5			9																	2
15302	2	1104	0	0	30	1	2		133104188,133104005	133104406														5			9																	2
15303	2	1104	0	0	30	1	2		133101167	133101105														5			8																	2
15304	2	1104	0	0	30	1	2		133105010,133105144,133105215	133105262														5			9																	2
15400	2	1104	0	0	30	1	2		133101091	133101094														5			6																	2
15401	2	1104	0	0	30	1	2			133103310														5			6																	2
15402	2	1104	0	0	30	1	2		133102315	133102561														5			5																	2
15403	2	1104	0	0	30	1	2			133102566														5			5																	2
15404	2	1104	0	0	30	1	2			133104407														5			5																	2
15405	2	1104	0	0	30	1	2		133104334	133104410														5			5																	2
15500	2	1104	0	0	30	1			133103335	133103268														2	70300101		2																	2
15501	2	1104	3004	0	30	1			133102193,133102020	133102550														2	70300101		2																	2
15502	2	1104	0	0	30	1				133101098														2	70300101		2																	2
15503	2	1104	0	0	30	1			133102146	133102562														2	70300101		2																	2
15504	2	1104	0	0	30	1			133104129	133104408														2	70300101		2																	2
15505	2	1104	3003	0	30	1			133104183	133104409														2	70300101		2																	2
15600	2	1104	0	0	30	1			133102469,133102470	133102555														5			9																	2
15601	2	1104	0	0	30	1			133103029	133103292														5			11																	2
15602	2	1104	0	0	30	1			133104040	133104405														5			10																	2
15603	2	1104	0	0	30	1			133105045	133105261														5			11																	2
15604	2	1104	0	0	30	1			133108035,133108034	133108091		2	24											5			10																	2
15700	2	1106	0	0	30	1			133101076	133101093		2	24											5			1																	2
15701	2	1106	0	0	30	1			133103127	133103296		2	24											5			1																	2
15702	2	1106	0	0	30	1			133108040,133108088	133108092		2	24											5			1																	2
15703	2	1106	0	0	30	1			133104351	133104411		2	24											5			1																	2
15704	2	1106	0	0	30	1			133104037	133104416		2	24											5			1																	2
15800	2	1103	0	0	30	1			133103288	133103298														5			8																	2
15801	2	1103	0	0	30	1				133103299														5			8																	2
15802	2	1103	0	0	30	1			133101072	133101102														5			8																	2
15803	2	1103	0	0	30	1			133101074	133101103														5			8																	2
15804	2	1103	0	0	30	1			133105042	133105265														5			9																	2
15900	2	1102	0	0	30	1			133103335	133103269		1	100205											8	14	133103269	1																	2
15901	2	1102	3004	0	30	1			133102192,133102007	133102547														8	14	133102547	1																	2
15902	2	1102	3001	0	30	1			133101066	133101095														8	14	133101095	1																	2
15903	2	1102	0	0	30	1			133103147,133103145,133103144	133103311														8	14	133103311	1																	2
15904	2	1102	0	0	30	1			133105135,133105132,133105130,133105134	133102564														8	14	133102564	1																	2
15905	2	1102	3005	0	30	1			133104191,133104347	133104418														8	14	133104418	1																	2
15906	2	1102	3003	0	0	1			133104026	133104420														8	14	133104420	1																	2
16000	2	1102	0	0	30	1			133103161	133103271														8	13	133103271	1																	2
16001	2	1102	0	0	30	1			133102368	133102548														8	13	133102548	1																	2
16002	2	1102	0	0	0	1			133102556	133102563														8	13	133102563	1																	2
16003	2	1102	0	0	30	1			133101166	133101106														8	13	133101106	1																	2
16004	2	1102	3001	0	30	1			133101066	133101107														8	13	133101107	1																	2
16005	2	1102	0	0	30	1			133108019	133108094		2	24											8	13	133108094	1																	2
16006	2	1102	0	0	30	1				133108095		2	24											8	13	133108095	1																	2
16007	2	1102	3002	0	30	1			133104313	133104423														8	13	133104423	1																	2
25300	2	2101	0	0	0	0	1	2210001																																				2
25301	2	2101	0	0	0	0	1	2210101																																				2
25302	2	2101	0	0	0	0	1	2210201																																				2
25400	2	2101	0	0	30	0	1	2210301																																				2
25401	2	2101	0	0	30	0	1	2210401																																				2
25402	2	2101	0	0	30	0	1	2210501																																				2
25500	2	2101	0	0	30	0	1	2230001				1	100318																															1
25600	2	2101	0	0	30	0	1	2230101																																				1
25700	2	2101	0	0	30	0	1	2230201																																				1
25800	2	2101	0	0	30	0	1	2230301																																				1
25900	2	2101	0	0	30	0	1	2230401																																				2
25901	2	2101	0	0	30	0	1	2230601																																				2
25902	2	2101	0	0	30	0	1	2230701																																				2
26000	2	2101	0	0	30	0	1	2230501																																				1
26100	2	2101	0	0	30	0	1	2200001																																				1
26200	2	2101	0	0	30	0	1	2200101																																				1
26300	2	2101	0	0	30	0	1	2200201																																				1
26400	2	2101	0	0	30	0	1	2200301																																				1
26500	2	2101	0	0	30	0	1	2200401																																				2
25100	2	2101	0	0	30	0	1	2210601																																				1
25200	2	2101	0	0	0	0	1	2210701																																				1
25000	2	2101	0	0	30	0	1	2210801																								2	25002	1										2
25001	2	2101	3005	0	30	0	1	2210901																								2	25002	1										2
25002	2	2101	3002	0	30	0	1	2211001				2	24																															2
26600	2	2101	4001	0	1000	0	1	2211201				5	26600	1	50																	1	26600	1	0					1	26700	1	100	1
26700	2	2101	4001	0	1000	0	1	2211301				5	26700	1	50																	1	26700	1	0									2
