台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	$#VersionBegin	$#VersionEnd
3470101			1	1246	0.1	
3470201	3470202		1	1247	0.1	
3470202			1	1005	0.1	
3470301	3470302		1	1248	0.1	
3470302	3470303		1	1248	0.1	
3470303	3470304		1	1005	0.1	
3470304			1	1005	0.1	
3470401	3470402		1	1249	0.1	
3470402	3470403		1	1249	0.1	
3470403	3470404		1	1249	0.1	
3470404	3470405		1	1249	0.1	
3470405	3470406		1	1249	0.1	
3470406	3470407		1	1249	0.1	
3470407	3470408		1	1249	0.1	
3470408			1	1249	0.1	
3470501	3470502		1	1250	0.1	
3470502			1	1005	0.1	
3470601	3470602		1	1251	0.1	
3470602	3470603		1	1251	0.1	
3470603	3470604		1	1251	0.1	
3470604	3470605		1	1251	0.1	
3470605			1	1251	0.1	
3470701	3470702		1	1252	0.1	
3470702			1	1252	0.1	
3470801	3470802		1	1253	0.1	
3470802	3470803		1	1005	0.1	
3470803	3470804		1	1253	0.1	
3470804			1	1005	0.1	
3470901	3470902		1	1254	0.1	
3470902			1	1254	0.1	
3471001			1	1255	0.1	
3471101	3471102		1	1513	0.1	
3471102			1	1513		
3471201			1	1514	0.1	
3471301	3471302,3471303,3471304		1	20049		
3471302	3471305		2			
3471303	3471306		2			
3471304			2			
3471305	3471303,3471304		1	20049		
3471306	3471307		1	20049		
3471307	3471308,3471304		1	20049		
3471308	3471331		2			
3471309	3471310		1	20049		
3471310	3471311		1	20049		
3471311	3471312		1	20049		
3471312	3471313,3471304		1	20049		
3471313	3471314		2			
3471314	3471315		1	20049		
3471315	3471316,3471304		1	20049		
3471316	3471317		2			
3471317	3471318		1	20049		
3471318	3471319,3471304		1	20049		
3471319	3471320		2			
3471320	3471321		1	20049		
3471321	3471322		1	20049		
3471322	3471323		1	20049		
3471323	3471324,3471304		1	20049		
3471324	3471325		2			
3471325	3471326		1	20049		
3471326	3471327,3471304		1	20049		
3471327	3471328		2			
3471328	3471329		1	20049		
3471329	3471330		1	20049		
3471330			1	20049		
3471331	3471332,3471304		1	20049		
3471332	3471309		2			
3471401	3471402		1	20050		
3471402			1	20050		
3471501	3471502		1	20051		
3471502			1	20051		
3471601	3471602		1	20052		
3471602	3471603		1	20052		
3471603	3471604		1	20052		
3471604	3471605		1	20052		
3471605	3471606		1	20052		
3471606			1	20052		
3471701	3471702		1	20053		
3471702			1	20053		
3471801	3471802		1	20054		
3471802			1	20054		
3471901	3471902		1	20055		
3471902			1	20055		
3472001			1	20059		
3472101			1	20060		
3472201	3472202		1	20061		
3472202			1	20061		
3472301	3472302		1	20062		
3472302	3472303		1	20062		
3472303			1	20062		
3472401			1	20063		
3472501			1	20064		
3472601	3472602		1	20065		
3472602			1	20065		
3472701	3472702		1	20066		
3472702			1	20066		
3472801	3472802		1	20067		
3472802			1	20067		
3472901			1	20068		
3480101	3480102		1	1245	0.1	
3480102	3480103		1	1245	0.1	
3480103	3480104		1	1245	0.1	
3480104	3480105		1	1245	0.1	
3480105	3480106		1	1245	0.1	
3480106	3480107		1	1245	0.1	
3480107			1	1005	0.1	
3480201	3480203		1	1245	0.1	
3480203	3480204		1	1245	0.1	
3480204	3480205		1	1245	0.1	
3480205	3480206		1	1245	0.1	
3480206	3480207		1	1245	0.1	
3480207	3480208		1	1245	0.1	
3480208			1	1245	0.1	
3480301	3480303		1	1245	0.1	
3480303	3480304		1	1245	0.1	
3480304	3480305		1	1245	0.1	
3480305	3480306		1	1245	0.1	
3480306	3480307		1	1245	0.1	
3480307			1	1245	0.1	
3480401	3480403		1	1245	0.1	
3480403	3480404		1	1245	0.1	
3480404	3480405		1	1245	0.1	
3480405	3480406		1	1245	0.1	
3480406			1	1245	0.1	
3480501	3480503		1	1245	0.1	
3480503	3480504		1	1245	0.1	
3480504	3480505		1	1245	0.1	
