台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	$#VersionBegin	$#VersionEnd
400010001			1	1005		
400010002			1	1005		
400010003			1	1005		
400010004			1	1005		
400010005			1	1005		
400010006			1	1005		
400010007			1	1005		
400010008			1	1005		
400010201	400010202		1	1005		
400010202	400010203,400010205		1	201301		
400010203	400010204		2			
400010204	400010209		1	1005		
400010205	400010206		2			
400010206	400010207		1	1005		
400010207	400010208		1	1005		
400010208	400010209		1	1005		
400010209	400010210		1	201301		
400010210	400010211		1	201301		
400010211	400010212		1	1005		
400010212	400010213		1	201301		
400010213	400010214		1	1005		
400010214	400010215		1	201301		
400010215	400010216		1	201301		
400010216	400010217		1	201301		
400010217	400010218		1	201301		
400010218	400010219		1	1005		
400010219			1	201301		
400010301	400010302		1	1005		
400010302	400010303		1	1005		
400010303	400010304		1	2026		
400010304	400010305		1	1005		
400010305	400010306		1	2026		
400010306	400010307		1	2026		
400010307	400010308		1	1005		
400010308	400010309		1	2026		
400010309	400010310		1	2026		
400010310	400010311	1	2			
400010311	400010312		1	2026		
400010312	400010313		1	2026		
400010313	400010314		1	2026		
400010314	400010315		1	1005		
400010315	400010316		1	2026		
400010316	400010317		1	1005		
400010317	400010318		1	2026		
400010318	400010319		1	2026		
400010319	400010320		1	1005		
400010320			1	1005		
400010401			1	2029		
400010501	400010502		1	2004		
400010502	400010503		1	2004		
400010503			1	2004		
400011001			1	1005		
400011002			1	1005		
400020001			1	1005		
400020002			1	1005		
400020201	400020202		1	2029		
400020202	400020203		1	2029		
400020203	400020204		1	1005		
400020204	400020205		1	2029		
400020205	400020206		1	2029		
400020206	400020207		1	2029		
400020207	400020208		1	2029		
400020208	400020209		1	2029		
400020209	400020210		1	2029		
400020210	400020211		1	1005		
400020211	400020212		1	2029		
400020212			1	2029		
400020501	400020502		1	2029		
400020502	400020503		1	2029		
400020503	400020504		1	2029		
400020504	400020505		1	2029		
400020505	400020506		1	2029		
400020506			1	1005		
