台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	$#VersionBegin	$#VersionEnd
210010101			1	20019		
210010201			1	20022		
210010301			1	20023		
210010401	210010402		1	20044		
210010402	210010403		1	1005		
210010403			1	1005		
210010501	210010502		1	20045		
210010502	210010503		1	20045		
210010503			1	20045		
210020101			1	20042	0.3	
210020201			1	20028	0.3	
210030101	210030102		1	2429		
210030102	210030103	1	2			
210030103	210030104		1	2429		
210030104	210030105		1	2429		
210030105	210030106		1	2429		
210030106	210030107		1	2429		
210030107			1	2429		
210030201	210030202		2			
210030202	210030203		1	2429		
210030203			1	2429		
210030301	210030302		2			
210030302	210030303		1	2429		
210030303			1	2429		
210031101			1	2429		
210039901			1	2429		
210040101	210040102		1	2211		
210040102	210040103	1	2			
210040103	210040104		1	2211		
210040104			1	2211		
210049001	210049002		1	2211		
210049002	210049003	1	2			
210049003	210049004		1	2211		
210049004	210049005		1	2211		
210049005	210049006		1	2211		
210049006	210049007		1	2211		
210049007	210049008		1	2211		
210049008	210049009		1	2211		
210049009	210049010		1	2211		
210049010			1	2211		
210040201	210040202		2			
210040202	210040203		1	2211		
210040203			1	2211		
210040901	210040902		2			
210040902			1	2211		
210040301			1	2211		
210049201	210049202		2			
210049202	210049203		1	2211		
210049203	210049204		1	2211		
210049204			1	2211		
210049301	210049302		2			
210049302	210049303		1	2211		
210049303	210049304		1	2211		
210049304			1	2211		
210049501	210049502		2			
210049502			1	2211		
210042001	210042002		1	2211		
210042002	210042016		1	2211		
210042016	210042017		1	2211		
210042017	210042003		1	2211		
210042003	210042004,210042005		1	2211		
210042004	210042006		2			
210042005	210042007		2			
210042006	210042008		1	2211		
210042007	210042009		1	2211		
210042008	210042010		1	2211		
210042009	210042011		1	2211		
210042010	210042012		1	2211		
210042011	210042013		1	2211		
210042012	210042014,210042015		1	2211		
210042013	210042014,210042015		1	2211		
210042014	210042003		2			
210042015			2			
210042101	210042004,210042005		1	2211		
210043001			1	2211		
210044001			1	2211		
210045001	210045002		1	2211		
210045002	210045003		1	2211		
210045003	210045004	1	2			
210045004	210045005		1	2211		
210045005	210045006	1	2			
210045006	210045007		1	2211		
210045007	210045008		1	2211		
210045008	210045009		1	2211		
210045009	210045010		1	2211		
210045010			1	2211		
210060101	210060102		1	20027		
210060102	210060103		1	20027		
210060103	210060104		1	20027		
210060104	210060105		1	20027		
210060105	210060106		1	20027		
210060106	210060107		1	20027		
210060107			1	20027		
210060201	210060202		1	20047		
210060202	210060203		1	20047		
210060203	210060204		1	20047		
210060204	210060205		1	20047		
210060205	210060206		1	1243		
210060206	210060207		1	1243		
210060207			1	1243		
210060301	210060302		1	20056		
210060302			1	20056		
210060401	210060402		1	20057		
210060402	210060403		1	20057		
210060403	210060404		1	20057		
210060404	210060405		1	20057		
210060405			1	1243		
210060501	210060502		1	20058		
210060502	210060503		1	20058		
210060503	210060504		1	20058		
210060504	210060505		1	20058		
210060505			1	20058		
210050101			1	20029		
210050301			2			
210050201			2			
210050401			2			
210050501	210050502		1	20029		
210050502			1	20029		
210050601			1	20029		
210050701			2			
210050801	210050802		1	20029		
210050901	210050802		1	20029		
210051001	210050802		1	20029		
210051101	210051102		1	20029		
210051102	210050802		1	20029		
210050802			1	20029		
210051201			2			
210051301	210051302		1	20029		
210051302			1	20029		
210051401			2			
210051501			1	20029		
210051601			1	20029		
210051701			1	20029		
210070101	210070102		1	20030		
210070102	210070103		1	20030		
210070103			1	20030		
210100001	210100002		1	20029		
210100002	210100003	1	2			
210100003	210100004		1	20029		
210100004	210100005		1	20029		
210100005	210100006		1	20029		
210100006	210100007	1	2			
210100007			1	20029		
210100101	210100102		1	20029		
210100102	210100103	1	2			
210100103			1	20029		
210100201	210100202		1	20029		
210100202	210100203	1	2			
210100203	210100204		1	20029		
210100204			1	20029		
210120001	210120002		1	2311		
210120002	210120003	1	2			
210120003	210120004		1	2311		
210120004	210120005		1	2311		
210120005	210120006		1	2311		
210120006	210120007		1	2311		
210120007			1	2311		
210120101	210120102		2			
210120102	210120103		1	2311		
210120103			1	2311		
210120201	210120202		2			
210120202	210120203		1	2311		
210120203	210120104		1	2311		
210120204			1	2311		
210120301	210120302		1	2311		
210120302	210120303		1	2311		
210120303			1	2311		
210120401			2			
210120501			2			
210120601	210120602		1	2311		
210120602	210120603		1	2311		
210120603	210120604		1	2311		
210120604	210120605		1	2311		
210120605			1	2311		
210080000	210080001		1	2428		
210080001	210080002	1	2			
210080002	210080003		1	2428		
210080003	210080004		1	2428		
210080004			1	2428		
210089000			1	2428		
210089001			1	2428		
210080101	210080102		2			
210080102	210080103		1	2428		
210080103	210080104		1	2428		
210080104			1	2428		
210080201	210080202		2			
210080202	210080203		1	2428		
210080203	210080204		1	2428		
210080204	210080205		1	2428		
210080205			1	2428		
210080401	210080402		2			
210080402	210080403		1	2428		
210080403			1	2428		
210080501	210080502		2			
210080502	210080503		1	2428		
210080503			1	2428		
210080301			1	2428		
210081001	210081002		1	2428		
210081002			1	2428		
210090000	210090001		1	2430		
210090001	210090002	1	2			
210090002	210090003		1	2430		
210090003	210090004		1	2430		
210090004	210090005		1	2430		
210099000			1	2430		
