台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	$#VersionBegin	$#VersionEnd
223000101	223000102		1	2014		
223000102	223000103	1	2			
223000103	223000104		1	2014		
223000104	223000105		1	2014		
223000105	223000106		1	2014		
223000106	223000107		1	2014		
223000107	223000108		1	2014		
223000108	223000109		1	2014		
223000109	223000110		1	2014		
223000110	223000111,223000113		1	2014		
223000111	223000112		2			
223000112			1	2014		
223000113	223000114		2			
223000114	223000115		1	2014		
223000115	223000116		1	2014		
223000116			1	2014		
223000201			1	2014		
223000203			1	2014		
223000204			1	2014		
223001001	223001002		1	2014		
223001002	223001003		1	2014		
223001003	223001004		1	2014		
223001004	223001005		1	2014		
223001005	223001006		1	2014		
223001006	223001007		1	2014		
223001007	223001008		1	2014		
223001008			1	2014		
223001101	223001102		1	2014		
223001102	223001103		1	2014		
223001103	223001104		1	2014		
223001104	223001105		1	2014		
223001105	223001106		1	2014		
223001106	223001107		1	2014		
223001107	223001108		1	2014		
223001108	223001109		1	2014		
223001109	223001110		1	2014		
223001110			1	2014		
223001201	223001202		1	2014		
223001202	223001203		1	2014		
223001203	223001204		1	2014		
223001204	223001205		1	2014		
223001205	223001206		1	2014		
223001206	223001207		1	2014		
223001207	223001208		1	2014		
223001208	223001209		1	2014		
223001209	223001210		1	2014		
223001210	223001211		1	2014		
223001211			1	2014		
223001301	223001302		1	2014		
223001302	223001303		1	2014		
223001303	223001304		1	2014		
223001304	223001305		1	2014		
223001305	223001306		1	2014		
223001306			1	2014		
223000301			1	2014		
223008001	223008002		1	2014		
223008002	223008003		1	2014		
223008003			1	2014		
223010101	223010102		1	201001		
223010102	223010103	1	2			
223010103	223010104		1	201001		
223010104	223010105		1	201001		
223010105	223010106		1	201001		
223010106	223010107		1	201001		
223010107	223010108		1	201001		
223010108	223010109		1	201001		
223010109	223010110		1	201001		
223010110	223010111		1	201001		
223010111	223010112,223010114		1	201001		
223010112	223010113		2			
223010113	223010118		1	201001		
223010114	223010115		2			
223010115	223010116		1	201001		
223010116	223010117		1	201001		
223010117	223010118		1	201001		
223010118	223010119		1	201001		
223010119	223010120		1	201001		
223010120			1	201001		
223010801	223010802		1	201001		
223010802			1	201001		
223010901			1	201001		
223010201	223010202		1	201001		
223010202	223010203		1	201001		
223010203			1	201001		
223010204			1	201001		
223010205			1	201001		
223010701	223010702		1	201001		
223010702			1	201001		
223010401	223010402,223010405		1	201001		
223010402	223010403		2			
