台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	$#VersionBegin	$#VersionEnd
110000101			1	1005		
110000102			1	1005		
110000103			2			
110000104			2			
110000105			2			
110000106			2			
110000107			2			
110000108			2			
110000109			2			
110000110			2			
110000111			2			
110000112			2			
110000113			2			
110000114			2			
110000115			2			
110000301	110000302		1	1012		
110000302	110000303,110000304		1	1012		
110000303	110000305		2			
110000304	110000305		2			
110000305	110000306		1	1012		
110000306	110000307		1	1012		
110000307	110000308		2			
110000308	110000309		1	1005		
110000309	110000310		1	1012		
110000310	110000311		1	1005		
110000311	110000312,110000314		1	1012		
110000312	110000313		2			
110000313	110000316		1	1012		
110000314	110000315		2			
110000315	110000316		1	1005		
110000316	110000317		1	1012		
110000317	110000318		1	1005		
110000318	110000319		1	1012		
110000319	110000320		1	1012		
110000320	110000321		1	1012		
110000321	110000322		1	1012		
110000322	110000323		1	1005		
110000323	110000324		1	1012		
110000324	110000325,110000326		1	1005		
110000325	110000327		2			
110000326	110000327		2			
110000327	110000328		1	1012		
110000328	110000329		1	1012		
110000329			1	1012		
110000401	110000402		1	1012		
110000402			1	1012		
110000403			1	1005	0.2	
110000404			1	1005	0.2	
110000405						
110000406						
110000501	110000502,110000504		1	1012		
110000502	110000503		2			
110000503	110000506		1	1005		
110000504	110000505		2			
110000505	110000506		1	1005		
110000506	110000507		1	1012		
110000507	110000508		1	1012		
110000508	110000509		1	1005		
110000509	110000510		1	1005		
110000510	110000511		1	1005		
110000511	110000512		1	1012		
110000512	110000513		1	1012		
110000513	110000514		1	1005		
110000514	110000515		1	1012		
110000515	110000516		1	1012		
110000516	110000517,110000518		1	1012		
110000517	110000519		2			
110000518	110000519		2			
110000519	110000520		1	1012		
110000520	110000521		1	1012		
110000521	110000601		1	153901		
110000522			1	1012		
110000601	110000602		1	153901		
110000602	110000603		1	153901		
110000603	110000604		1	1012		
110000604	110000605		1	1012		
110000605	110000606,110000607		1	1012		
110000606	110000608		2			
110000607	110000608		2			
110000608	110000609		1	1012		
110000609	110000610		1	153901		
110000610	110000611,110000612		1	153901		
110000611	110000613		2			
110000612	110000613		2			
110000613	110000614		1	1012		
110000614	110000615		2			
110000615	110000616		1	1012		
110000616	110000617		1	1005		
110000617			1	1005		
110010201	110010202		1	153701		
110010202	110010203		1	1012		
110010203	110010204		1	153701		
110010204	110010205,110010206		1	1005		
110010205	110010207		2			
110010206	110010207		2			
