台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	$#VersionBegin	$#VersionEnd
10000001			1	202301	0.2	
10000002			1	203601	0.2	
10000003			1	201301	0.2	
10000101	10000102		1	1005	0.2	
10000102	10000103,10000105		1	1005	0.2	
10000103	10000104		2		0.2	
10000104	10000107		1	1005	0.2	
10000105	10000106		2		0.2	
10000106	10000107		1	1005	0.2	
10000107	10000108		1	1005	0.2	
10000108	10000109		1	1005	0.2	
10000109	10000110		1	1005	0.2	
10000110	10000111		1	1005	0.2	
10000111			1	1005	0.2	
10000201	10000202		1	203601	0.2	
10000202	10000203		1	203601	0.2	
10000203	10000204		1	203601	0.2	
10000204			1	203601	0.2	
10000221	10000222		1	1005	0.2	
10000222	10000223		1	203601	0.2	
10000223	10000224		1	203601	0.2	
10000224			1	203601	0.2	
10000231	10000232		1	203601	0.2	
10000232			1	203601	0.2	
10000301	10000302		1	202301	0.2	
10000302	10000303		1	202301	0.2	
10000303	10000304,10000305		1	202301	0.2	
10000304	10000306		2		0.2	
10000305	10000306		2		0.2	
10000306	10000307		1	1005	0.2	
10000307	10000308		1	1005	0.2	
10000308	10000309		1	1005	0.2	
10000309	10000310		1	202301	0.2	
10000310	10000311		1	202301	0.2	
10000311	10000312		1	202301	0.2	
10000312	10000313		1	202301	0.2	
10000313			1	202301	0.2	
10000321	10000322		1	1005	0.2	
10000322			1	202301	0.2	
10000331	10000332		1	202301	0.2	
10000332			1	202301	0.2	
10000333	10000334		1	200901	0.2	
10000334			1	200901	0.2	
10000401	10000402		1	201301	0.2	
10000402	10000403		1	201301	0.2	
10000403	10000404		1	201301	0.2	
10000404	10000405		1	201301	0.2	
10000405	10000406		1	201301	0.2	
10000406	10000407		1	1005	0.2	
10000407	10000408		1	201301	0.2	
10000408	10000409		1	201301	0.2	
10000409	10000410		1	201301	0.2	
10000410			1	201301	0.2	
10000411	10000412		1	201301	0.2	
10000412			1	201301	0.2	
10000413			1	201101	0.2	
10000414	10000415		1	162501	0.2	
10000415			1	162501	0.2	
10000421	10000422		1	1005	0.2	
10000422	10000423		1	201301	0.2	
10000423	10000424		1	201301	0.2	
10000424			1	201301	0.2	
10000701			1	1005	0.2	
10002101	10002102		1	209001	0.2	
10002102	10002103		1	209001	0.2	
10002103	10002104		1	209001	0.2	
10002104	10002105		1	1005	0.2	
10002105		1	2		0.2	
