台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	$#VersionBegin	$#VersionEnd
4290101	4290102		1	1180		0.1
4290102	4290103		1	1180		0.1
4290103			1	1180		0.1
4290201			2			0.1
4290301	4290302		2			0.1
4290302	4290303		1	1180		0.1
4290303	4290304		1	1180		0.1
4290304	4290305		1	1180		0.1
4290305			1	1180		0.1
4290401	4290402,4290403,4290404,4290405,4290406,4290407,4290408,4290409,4290418		1	1180		0.1
4290402	4290410		2			0.1
4290403	4290411		2			0.1
4290404	4290412		2			0.1
4290405	4290413		2			0.1
4290406	4290414		2			0.1
4290407	4290415		2			0.1
4290408	4290416		2			0.1
4290409	4290417		2			0.1
4290410	4290401		1	1180		0.1
4290411	4290401		1	1180		0.1
4290412	4290401		1	1180		0.1
4290413	4290401		1	1180		0.1
4290414	4290401		1	1180		0.1
4290415	4290401		1	1180		0.1
4290416	4290401		1	1180		0.1
4290417	4290401		1	1180		0.1
4290418			2			0.1
4290501			1	1180		0.1
4290601			1	1180		0.1
200010201			1	140301		0.1
200010901	200010902		1	140301		0.1
200010902	200010903		1	140301		
200010903	200010904		1	140301		
200010904	200010905,200010906		1	140301		
200010905	200010907		2			
200010906	200010908		2			
200010907			1	140301		
200010908			1	140301		
200011001	200011002		1	140301		0.1
200011002	200011003		1	140301		
200011003	200011004		1	140301		
200011004	200011005		1	140301		
200011005			1	140301		
200110101			1	140801		0.1
200110201	200110202		1	140801		0.1
200110202	200110203		1	140801		
200110203	200110204		1	140801		
200110204	200110205		1	140801		
200110205	200110206,200110207		1	140801		
200110206	200110208		2			
200110207	200110209		2			
200110208			1	140801		
200110209			1	140801		
200110301	200110302		1	140801		0.1
200110302	200110303		1	140801		0.1
200110303	200110304		1	140801		
200110304	200110305		1	140801		
200110305			1	140801		
200120101			1	157001		0.1
200120201	200120202		1	157001		0.1
200120202	200120203		1	157001		
200120203	200120204,200120205		1	157001		
200120204	200120206		2			
200120205	200120207		2			
200120206			1	157001		
200120207			1	157001		
200120301	200120302		1	157001		0.1
200120302	200120303		1	157001		0.1
200120303	200120304		1	157001		
200120304			1	157001		
200130101			1	141301		0.1
200130201	200130202		1	141301		0.1
200130202	200130203		1	141301		
200130203	200130204		1	141301		
200130204	200130205,200130206		1	141301		
200130205	200130207		2			
200130206	200130208		2			
200130207			1	141301		
200130208			1	141301		
200130301	200130302		1	141301		0.1
200130302	200130303		1	141301		0.1
200130303	200130304		1	141301		
200130304	200130305		1	141301		
200130305	200130306		1	141301		
200130306			1	141301		
200050101	200050102		1	155101		
200050102	200050103		1	155101		
200050103	200050104		1	155101		
