台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	$#VersionBegin	$#VersionEnd
102000101	102000102		1	1006	0.2	
102000102			1	1006	0.2	
102000201	102000202		1	1467	0.2	
102000202	102000203		1	1005	0.2	
102000203	102000204		1	1467	0.2	
102000204	102000205		1	1005	0.2	
102000205	102000206,102000208		1	1005	0.2	
102000206	102000207		2	 	0.2	
102000207	102000210		1	1005	0.2	
102000208	102000209		2	 	0.2	
102000209	102000210		1	1005	0.2	
102000210	102000211		1	1005	0.2	
102000211	102000212		1	1467	0.2	
102000212	102000213		1	1467	0.2	
102000213	102000214		1	1467	0.2	
102000214	102000215,102000216		1	1467	0.2	
102000215	102000217		2	 	0.2	
102000216	102000217		2	 	0.2	
102000217	102000218		1	1005	0.2	
102000218	102000219		1	1005	0.2	
102000219	102000220		1	1467	0.2	
102000220			1	1467	0.2	
102000301	102000302,102000303		1	1005	0.2	
102000302	102000304		2		0.2	
102000303	102000304		2		0.2	
102000304	102000305		1	1005	0.2	
102000305	102000306		1	1005	0.2	
102000306	102000307		1	1005	0.2	
102000307	102000308		1	1005	0.2	
102000308	102000309,102000311		1	1005	0.2	
102000309	102000310		2		0.2	
102000310			1	1005	0.2	
102000311	102000312		2		0.2	
102000312	102000313		1	1005	0.2	
102000313			1	1005	0.2	
102000401	102000402		1	1005	0.2	
102000402	102000403		1	1005	0.2	
102000403	102000404		1	1006	0.2	
102000404	102000405		1	1006	0.2	
102000405	102000406		1	1005	0.2	
102000406	102000407		1	1005	0.2	
102000407	102000408		1	1006	0.2	
102000408	102000409		1	1006	0.2	
102000409	102000410		1	1006	0.2	
102000410	102000411		1	1006	0.2	
102000411	102000412		1	1006	0.2	
102000412	102000413,102000414		1	1005	0.2	
102000413	102000415		2	 	0.2	
102000414	102000415		2	 	0.2	
102000415	102000416		1	1005	0.2	
102000416	102000417		1	1006	0.2	
102000417			1	1006	0.2	
102000501			1	1465	0.2	
102000601	102000602		1	10090	0.2	
102000602	102000603	1	2	 	0.2	
102000603	102000604		1	1005	0.2	
102000604	102000605		1	1005	0.2	
102000605	102000606		1	10090	0.2	
102000606	102000607		1	10090	0.2	
102000607	102000608		1	1005	0.2	
102000608	102000609		1	10090	0.2	
102000609	102000610,102000611		1	10090	0.2	
102000610	102000612		2	 	0.2	
102000611	102000612		2	 	0.2	
102000612	102000613		1	10090	0.2	
102000613	102000614		1	10090	0.2	
102000614	102000615,102000616		1	10090	0.2	
102000615	102000618		2	 	0.2	
102000616	102000617		2	 	0.2	
102000617	102000618		1	1005	0.2	
102000618	102000619		1	10090	0.2	
102000619	102000620		1	1005	0.2	
102000620	102000621		1	1005	0.2	
102000621	102000622		1	10090	0.2	
102000622	102000623		1	10090	0.2	
102000623	102000624	1	2	 	0.2	
102000624	102000625		1	10090	0.2	
102000625	102000626,102000628		1	1005	0.2	
102000626	102000627		2	 	0.2	
102000627	102000631		1	1005	0.2	
102000628	102000629		2	 	0.2	
102000629	102000630		1	1005	0.2	
102000630	102000631		1	1005	0.2	
102000631	102000632		1	1005	0.2	
102000632	102000633		1	10090	0.2	
102000633	102000634		1	10090	0.2	
102000634	102000635		1	10090	0.2	
102000635	102000636		1	1005	0.2	
102000636			1	10090	0.2	
102000701	102000702		1	141401	0.2	
102000702	102000703		1	141401	0.2	
102000703	102000704		1	141401	0.2	
102000704	102000705		1	141401	0.2	
102000705	102000706		1	1005	0.2	
102000706	102000707,102000709		1	1005	0.2	
102000707	102000708		2		0.2	
102000708			1	1005	0.2	
102000709	102000710		2		0.2	
102000710			1	1005	0.2	
102001101			1	141401		
102002201			1	141401		
102001201	102001202		1	141401		
102001202	102001203		1	141401		
102001203	102001204		1	141401		
102001204			1	141401		
102001301	102001302		1	141401		
102001302	102001303		1	141401		
102001303	102001304		1	141401		
102001304			1	141401		
102001401	102001402		1	141401		
102001402			1	141401		
102001501	102001502		1	152301		
102001502			1	152301		
102002301	102002302		1	152301		
102002302			1	152301		
102001601	102001602		2			
102001602	102001603		1	152301		
102001603	102001604,102001609		1	152301		
102001604	102001605		2			
102001605	102001606		1	152301		
102001606	102001607		1	152301		
102001607	102001608		1	152301		
102001608			1	152301		
102001609	102001610		2			
102001610	102001611		1	152301		
102001611	102001612		1	152301		
102001612	102001613		1	152301		
102001613	102001614		1	152301		
102001614			1	152301		
102001701	102001702		2			
102001702	102001703		1	152301		
102001703			1	152301		
102001801			1	160301		
102002401			1	160301		
102001901	102001902	1	2			
102001902	102001903		1	160301		
102001903	102001904		1	160301		
102001904	102001905		1	160301		
102001905	102001906		1	160301		
102001906	102001907		1	160301		
102001907	102001908	1	2			
102001908	102001909		1	160301		
102001909			1	160301		
102000801	102000802		1	160301	0.2	
102000802	102000803		1	160301	0.2	
102000803	102000804		1	160301	0.2	
102000804	102000805		1	160301	0.2	
102000805	102000806		1	160301	0.2	
102000806	102000807		1	160301	0.2	
102000807	102000808		1	1005	0.2	
102000808			1	1005	0.2	
102000901	102000902		1	1465	0.2	
102000902	102000903		1	1465	0.2	
102000903	102000904		1	1005	0.2	
102000904	102000905	1	2		0.2	
102000905	102000906		1	1005	0.2	
102000906	102000907		1	1465	0.2	
102000907	102000908		1	1465	0.2	
