台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	$#VersionBegin	$#VersionEnd
615170101			1	1517		
615170201	615170202		2			
615170202	615170203		1	1517		
615170203	615170204		1	1517		
615170204	615170205		1	1517		
615170205	615170206		1	1517		
615170206	615170207	1	2			
615170207	615170208		1	1517		
615170208	615170209		1	1517		
615170209	615170210		1	1517		
615170210	615170211		1	1517		
615170211			1	1517		
615170301	615170302		2			
615170302	615170303		1	1517		
615170303	615170304		1	1517		
615170304	615170305		1	1517		
615170305			1	1517		
615170401	615170402		2			
615170402	615170403		1	1517		
615170403			1	1517		
615190101	615190102		1	1519		
615190102			1	1519		
615190201	615190202		2			
615190202	615190203		1	1519		
615190203	615190204		1	1519		
615190204			1	1519		
615190301	615190302		2			
615190302	615190303		1	1519		
615190303	615190304		1	1519		
615190304	615190305		1	1519		
615190305	615190306		1	1519		
615190306			1	1519		
615190401	615190402		2			
615190402	615190403		1	1519		
615190403			1	1519		
615190501			1	1519		
615190601	615190602		2			
615190602	615190603		1	1519		
615190603	615190604		1	1519		
615190604			1	1519		
615210101	615210102		1	1521		
615210102			1	1521		
615210201	615210202		2			
615210202	615210203		1	1521		
615210203	615210204		1	1521		
615210204	615210205,615210209		1	1521		
615210205	615210206		2			
615210206	615210207		1	1521		
615210207	615210208		1	1521		
615210208			1	1521		
615210209	615210210		2			
615210210	615210211		1	1521		
615210211	615210212		1	1521		
615210212	615210213		1	1521		
615210213			1	1521		
615210301	615210302		2			
615210302	615210303		1	1521		
615210303	615210304		1	1521		
615210304	615210305		1	1521		
615210305			1	1521		
615210401	615210402		2			
615210402	615210403		1	1521		
615210403			1	1521		
615230101	615230102		1	1523		
615230102	615230103		1	1523		
615230103			1	1523		
615230201	615230202		2			
615230202	615230203		1	1523		
615230203	615230204,615230209		1	1523		
615230204	615230205		2			
615230205	615230206		1	1523		
615230206	615230207		1	1523		
615230207	615230208		1	1523		
615230208			1	1523		
615230209	615230210		2			
615230210	615230211		1	1523		
615230211	615230212		1	1523		
615230212	615230213		1	1523		
615230213	615230214		1	1523		
615230214			1	1523		
615230301	615230302		2			
615230302	615230303		1	1523		
615230303			1	1523		
615250101	615250102		1	1525		
615250102			1	1525		
615250201	615250202		2			
615250202	615250203		1	1525		
615250203	615250204,615250210		1	1525		
615250204	615250205		2			
615250205	615250206		1	1525		
615250206	615250207	1	2			
615250207	615250208		1	1525		
615250208	615250209		1	1525		
615250209			1	1525		
615250210	615250211		2			
615250211	615250212		1	1525		
615250212	615250213		1	1525		
615250213	615250214		1	1525		
615250214			1	1525		
615250301	615250302		2			
615250302	615250303		1	1525		
615250303			1	1525		
615270101			1	1527		
615270201	615270202		2			
615270202	615270203		1	1527		
615270203	615270204		1	1527		
615270204	615270205,615270211		1	1527		
615270205	615270206		2			
615270206	615270207		1	1527		
615270207	615270208		1	1527		
615270208	615270209		1	1527		
615270209	615270210		1	1527		
615270210			1	1527		
615270211	615270212		2			
615270212	615270213		1	1527		
615270213	615270214		1	1527		
615270214	615270215		1	1527		
615270215	615270216		1	1527		
