掉落ID	最小等级	最大等级	随机方式	掉落层级	子掉落1ID	子掉落1数量区间	子掉落1权重	子掉落2ID	子掉落2数量区间	子掉落2权重	子掉落3ID	子掉落3数量区间	子掉落3权重	子掉落4ID	子掉落4数量区间	子掉落4权重	子掉落5ID	子掉落5数量区间	子掉落5权重	子掉落6ID	子掉落6数量区间	子掉落6权重	子掉落7ID	子掉落7数量区间	子掉落7权重	子掉落8ID	子掉落8数量区间	子掉落8权重	子掉落9ID	子掉落9数量区间	子掉落9权重	子掉落10ID	子掉落10数量区间	子掉落10权重	子掉落11ID	子掉落11数量区间	子掉落11权重	子掉落12ID	子掉落12数量区间	子掉落12权重	子掉落13ID	子掉落13数量区间	子掉落13权重	子掉落14ID	子掉落14数量区间	子掉落14权重	子掉落15ID	子掉落15数量区间	子掉落15权重	子掉落16ID	子掉落16数量区间	子掉落16权重	子掉落17ID	子掉落17数量区间	子掉落17权重	子掉落18ID	子掉落18数量区间	子掉落18权重	子掉落19ID	子掉落19数量区间	子掉落19权重	子掉落20ID	子掉落20数量区间	子掉落20权重	子掉落21ID	子掉落21数量区间	子掉落21权重	子掉落22ID	子掉落22数量区间	子掉落22权重	子掉落23ID	子掉落23数量区间	子掉落23权重	子掉落24ID	子掉落24数量区间	子掉落24权重	子掉落25ID	子掉落25数量区间	子掉落25权重	节点类型	是否掉落地面	产出来源类型	每日产出次数上限	历史产出次数上限
500000			0	1	11101	1	1000	12101	1	1000	13101	1	1000	14101	1	1000	15101	1	1000																																																													0				
500001			0	1	11201	1	1000	12201	1	1000	13201	1	1000	14201	1	1000	15201	1	1000																																																													0				
500010			0	1	101101	1	1000	101102	1	1000	101103	1	1000	101104	1	1000	101105	1	1000																																																													0				
500100			0	1	100061	1	1000	100064	1	1000																																																																						0				
500120			0	1	201	5	1000																																																																									0				
500121			0	1	201	5	1000																																																																									0				
500122			0	1	201	5	1000																																																																									0				
500123			0	1	201	5	1000																																																																									0				
500200			0	1	104111	1	1000	104121	1	1000	104131	1	1000	104141	1	1000	104151	1	1000	104161	1	1000	104171	1	1000																																																							0				
500201			0	1	104111	1	1000	104121	1	1000	104141	1	1000	104151	1	1000	104161	1	1000	104171	1	1000																																																										0				
500210			0	1	100052	1	1000	100053	1	1000	100054	1	1000	100057	1	1000	100058	1	1000																																																													0				
500211			0	1	100052	1	1000	100053	1	1000	100054	1	1000	100057	1	1000	100058	1	1000																																																													0				
500220			0	1	100022	1	1000	100023	1	1000	100024	1	1000	100025	1	1000	100055	1	1000	100056	1	1000																																																										0				
500300			0	1	101001	1	8000	101002	1	1900	101003	1	100																																																																			0				
500301			0	1	100001	1	1000	100002	1	1000	100013	1	1000	100014	1	1000	100018	1	1000																																																													0				
500302			0	0	500000	1	7000	500001	1	3000																																																																						0				
500303			0	0	517500	1	2000	517525	1	2000	517550	1	2000	517505	1	1000	517530	1	1000	517555	1	1000	517506	1	300	517531	1	300	517556	1	300																																																	0				
501000			0	1	100001	1;2	3000	100011	1	2000	100013	1	1500	100017	1	2000	100018	1	1500																																																													0				
501001			0	1	100001	2;3	3000	100011	2;3	2000	100013	2;3	1500	100017	2;3	2000	100018	2;3	1500																																																													0				
501002			0	1	100020	2;3	2500	100051	2;3	2500	100061	1;3	2000	100062	1;3	1000	100064	1;3	2000																																																													0				
510000			0	1	104301	1	1000	104304	1	1000	104307	1	1000																																																																			0				
510001			0	1	104302	1	1000	104305	1	1000	104308	1	1000																																																																			0				
510002			0	1	104303	1	1000	104306	1	1000	104309	1	1000																																																																			0				
510010			0	1	104310	1	1000	104313	1	1000	104316	1	1000																																																																			0				
510011			0	1	104311	1	1000	104314	1	1000	104317	1	1000																																																																			0				
510012			0	1	104312	1	1000	104315	1	1000	104318	1	1000																																																																			0				
510020			0	1																																																																												0				
510021			0	1																																																																												0				
510022			0	1																																																																												0				
510030			0	1																																																																												0				
510031			0	1																																																																												0				
510032			0	1																																																																												0				
510040			0	1																																																																												0				
510041			0	1																																																																												0				
510042			0	1																																																																												0				
510050			0	1																																																																												0				
510051			0	1																																																																												0				
510052			0	1																																																																												0				
510060			0	1																																																																												0				
510061			0	1																																																																												0				
510062			0	1																																																																												0				
510100			0	1	114001	1	1000	114005	1	1000	114009	1	1000																																																																			0				
510101			0	1	114002	1	1000	114006	1	1000	114010	1	1000																																																																			0				
510102			0	1	114003	1	1000	114007	1	1000	114011	1	1000																																																																			0				
510103			0	1	114004	1	1000	114008	1	1000	114012	1	1000																																																																			0				
510110			0	1	114013	1	1000	114017	1	1000	114021	1	1000																																																																			0				
510111			0	1	114014	1	1000	114018	1	1000	114022	1	1000																																																																			0				
510112			0	1	114015	1	1000	114019	1	1000	114023	1	1000																																																																			0				
510113			0	1	114016	1	1000	114020	1	1000	114024	1	1000																																																																			0				
510120			0	1																																																																												0				
510121			0	1																																																																												0				
510122			0	1																																																																												0				
510123			0	1																																																																												0				
510130			0	1																																																																												0				
510131			0	1																																																																												0				
510132			0	1																																																																												0				
510133			0	1																																																																												0				
510140			0	1																																																																												0				
510141			0	1																																																																												0				
510142			0	1																																																																												0				
510143			0	1																																																																												0				
510150			0	1																																																																												0				
510151			0	1																																																																												0				
510152			0	1																																																																												0				
510153			0	1																																																																												0				
510160			0	1																																																																												0				
510161			0	1																																																																												0				
510162			0	1																																																																												0				
510163			0	1																																																																												0				
510200			0	1	113003	1	1000	113004	1	1000	113005	1	1000																																																																			0				
510201			0	1	113006	1	1000	113007	1	1000	113008	1	1000																																																																			0				
517500			0	1	60110	1	1000	60120	1	1000	60130	1	1000	60140	1	1000	60150	1	1000																																																													0				
517501			0	1	60111	1	1000	60121	1	1000	60131	1	1000	60141	1	1000	60151	1	1000																																																													0				
517502			0	1	60112	1	1000	60122	1	1000	60132	1	1000	60142	1	1000	60152	1	1000																																																													0				
517503			0	1	60113	1	1000	60123	1	1000	60133	1	1000	60143	1	1000	60153	1	1000																																																													0				
517504			0	1	60114	1	1000	60124	1	1000	60134	1	1000	60144	1	1000	60154	1	1000																																																													0				
517505			0	1	60210	1	1000	60220	1	1000	60230	1	1000	60240	1	1000	60250	1	1000																																																													0				
517506			0	1	60211	1	1000	60221	1	1000	60231	1	1000	60241	1	1000	60251	1	1000																																																													0				
517507			0	1	60212	1	1000	60222	1	1000	60232	1	1000	60242	1	1000	60252	1	1000																																																													0				
517508			0	1	60213	1	1000	60223	1	1000	60233	1	1000	60243	1	1000	60253	1	1000																																																													0				
517509			0	1	60214	1	1000	60224	1	1000	60234	1	1000	60244	1	1000	60254	1	1000																																																													0				
517510			0	1	60310	1	1000	60320	1	1000	60330	1	1000	60340	1	1000	60350	1	1000																																																													0				
517511			0	1	60311	1	1000	60321	1	1000	60331	1	1000	60341	1	1000	60351	1	1000																																																													0				
517512			0	1	60312	1	1000	60322	1	1000	60332	1	1000	60342	1	1000	60352	1	1000																																																													0				
517513			0	1	60313	1	1000	60323	1	1000	60333	1	1000	60343	1	1000	60353	1	1000																																																													0				
