掉落ID	最小等级	最大等级	随机方式	掉落层级	子掉落1ID	子掉落1数量区间	子掉落1权重	子掉落2ID	子掉落2数量区间	子掉落2权重	子掉落3ID	子掉落3数量区间	子掉落3权重	子掉落4ID	子掉落4数量区间	子掉落4权重	子掉落5ID	子掉落5数量区间	子掉落5权重	子掉落6ID	子掉落6数量区间	子掉落6权重	子掉落7ID	子掉落7数量区间	子掉落7权重	子掉落8ID	子掉落8数量区间	子掉落8权重	子掉落9ID	子掉落9数量区间	子掉落9权重	子掉落10ID	子掉落10数量区间	子掉落10权重	子掉落11ID	子掉落11数量区间	子掉落11权重	子掉落12ID	子掉落12数量区间	子掉落12权重	子掉落13ID	子掉落13数量区间	子掉落13权重	子掉落14ID	子掉落14数量区间	子掉落14权重	子掉落15ID	子掉落15数量区间	子掉落15权重	子掉落16ID	子掉落16数量区间	子掉落16权重	子掉落17ID	子掉落17数量区间	子掉落17权重	子掉落18ID	子掉落18数量区间	子掉落18权重	子掉落19ID	子掉落19数量区间	子掉落19权重	子掉落20ID	子掉落20数量区间	子掉落20权重	子掉落21ID	子掉落21数量区间	子掉落21权重	子掉落22ID	子掉落22数量区间	子掉落22权重	子掉落23ID	子掉落23数量区间	子掉落23权重	子掉落24ID	子掉落24数量区间	子掉落24权重	子掉落25ID	子掉落25数量区间	子掉落25权重	子掉落26ID	子掉落26数量区间	子掉落26权重	子掉落27ID	子掉落27数量区间	子掉落27权重	子掉落28ID	子掉落28数量区间	子掉落28权重	子掉落29ID	子掉落29数量区间	子掉落29权重	子掉落30ID	子掉落30数量区间	子掉落30权重	节点类型	是否掉落地面	产出来源类型	每日产出次数上限	历史产出次数上限
1000000			1	0	100301	1	10000																																																																																								1	1	20001		
1000100			1	0																																																																																											1	1	0		
1000200			1	0	100302	1	10000																																																																																								1	1	20001		
1000210			1	0	100306	1	10000																																																																																								1	1	20001		
1000300			1	0	100303	1	10000																																																																																								1	1	20001		
1000400			1	0	100353	1	10000																																																																																								1	1	20001		
1000500			1	0	100429	1	10000																																																																																								1	1	20001		
1000600			1	0	500303	1	10000																																																																																								1	1	20001		
1000700			0	0	500303	1	5000	202	500	5000																																																																																					1	1	20001		
1010000			1	0	11201	1	10000																																																																																								1	1	11001		
1010100			1	0	100011	1	10000	100064	1	10000																																																																																					1	1	11001		
1010200			1	0	100172	1	10000																																																																																								1	1	11001		
1010300			1	0	100173	1	10000																																																																																								1	1	11001		
1010400			1	0																																																																																											1	1	20001		
1010500			1	0	100158	1	10000	63211	1	10000																																																																																					1	1	11001		
1010600			1	0	100159	1	10000	63221	1	10000																																																																																					1	1	11001		
1010700			1	0	11303	1	10000	55322	1	10000																																																																																					1	1	11001		
1010800			1	0	60120	1	10000	305	1	10000	202	500	10000																																																																																		1	1	11001		
1010900			1	0	201	5	10000																																																																																								1	1	11001		
1011000			1	0	201	15	10000																																																																																								1	1	11001		
1011100			1	0	201	30	10000																																																																																								1	1	11001		
1011400			1	0	13303	1	10000																																																																																								1	1	11001		
1011500			1	0	12306	1	10000																																																																																								1	1	11001		
1050000			1	0	109408	1	10000																																																																																								1	1	11001		
1050100			1	0	109410	1	10000																																																																																								1	1	11001		
2000000			1	0	56413	1	10000	102	200	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1		11001		
2000100			1	0	55433	1	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1		11001		
2000200			1	0	59443	1	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1		11001		
2000300			1	0	56332	1	10000	108076	5	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1		11001		
2000400			1	0	62352	1	10000	111006	5	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1		11001		
2000500			1	0	61322	1	10000	202	10000	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1		11001		
2000600			1	0	102	200	10000	201	10	10000	202	20000	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1		11001		
2000700			1	0	53312	1	10000	53342	1	10000	102	200	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1		11001		
8000000			1	0	102	60	10000	305	10	10000	202	1600;2400	10000	500100	1	10000	201	20	10000	51010911	3.75	10000	51010912	1.05	10000	52010913	1.3	10000	52010914	5.625	10000	51010915	2.25	10000																																																													1	1	11003		
8000100			1	0	102	60	10000	307	10	10000	202	1600;2400	10000	500100	1	10000	201	20	10000	51020911	3.75	10000	51020912	1.05	10000	52020913	1.3	10000	52020914	5.625	10000	51020915	2.25	10000																																																													1	1	11003		
8000200			1	0																																																																																											1	1	11003		
8000300			1	0																																																																																											1	1	11003		
8000400			1	0																																																																																											1	1	11003		
8000500			1	0																																																																																											1	1	11003		
8000600			1	0																																																																																											1	1	11003		
11000000			1	0	202	66	10000																																																																																								1	1	20002		
11010000			1	0	2006	1	10000																																																																																								1	1	20002		
11010100			1	0	201	10	10000	104001	3	10000	104011	5	10000																																																																																		1	1	11004		
11010200			1	0	2001	1	10000																																																																																								1	1	20002		
11010300			1	0	201	10	10000	104001	3	10000	15201	1	10000	104011	5	10000																																																																															1	1	11004		
11010400			1	0	2004	1	10000																																																																																								1	1	20002		
11010500			1	0	107001	1	10000																																																																																								1	1	11004		
11010600			1	0	201	10	10000	104001	3	10000	14201	1	10000	104011	5	10000																																																																															1	1	11004		
11010700			1	0	100175	1	10000																																																																																								1	1	20002		
11010800			0	0	100018	1	1000	100080	1	800	100017	1	1800	100013	1	600	100014	1	1200	100079	1	300																																																																									1	1	20002		
18000000			1	0	201	10	10000	102	200	10000	107006	1	10000	55311	1	10000	104002	3	10000	202	5000	10000	104013	1	10000	0		0	0		0	0		0																																																													1	1	11004		
18000100			1	0	201	10	10000	102	300	10000	107006	1	10000	55331	1	10000	109303	1	10000	104002	4	10000	202	7500	10000	104013	2	10000	0		0	0		0																																																													1	1	11004		
18000200			1	0	201	10	10000	102	400	10000	107006	2	10000	55341	1	10000	104002	6	10000	202	10000	10000	104013	3	10000	0		0	0		0	0		0																																																													1	1	11004		
18000300			1	0	201	10	10000	102	500	10000	107006	2	10000	55352	1	10000	109204	1	10000	104003	2	10000	202	12500	10000	104013	4	10000	0		0	0		0																																																													1	1	11004		
18000400			1	0	201	10	10000	100160	1	10000	63241	1	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18000500			1	0	201	10	10000	202	10000	10000	104161	1	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18000600			1	0	201	10	10000	202	10000	10000	104111	1	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18000700			1	0	201	10	10000	202	10000	10000	104141	1	10000	100215	1	10000	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18000800			1	0	201	10	10000	202	10000	10000	104111	1	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18000900			1	0	201	10	10000	202	10000	10000	104141	1	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18001000			1	0	201	10	10000	202	10000	10000	104151	1	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18001100			1	0	201	10	10000	202	10000	10000	104111	1	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18001200			1	0	201	10	10000	202	10000	10000	104111	1	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18001300			1	0	201	10	10000	202	10000	10000	104121	1	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18001400			1	0	201	10	10000	202	10000	10000	104151	1	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18010000			1	0	104003	2	10000	104013	5	10000	107006	3	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18010100			1	0	104003	4	10000	104013	10	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
18010200			1	0	104003	6	10000	104013	15	10000	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0																																																													1	1	11004		
19000000			1	0	305	1	10000	305	1	5000	305	1	5000	305	1	1000	202	500	10000	202	500	5000	202	500	5000																																																																						1	1	11005		
19000100			1	0	307	1	10000	307	1	5000	307	1	5000	307	1	1000	202	500	10000	202	500	5000	202	500	5000																																																																						1	1	11005		
19000200			1	0	304	1	10000	304	1	5000	304	1	5000	304	1	1000	202	500	10000	202	500	5000	202	500	5000																																																																						1	1	11005		
19000300			1	0	302	1	10000	302	1	5000	302	1	5000	302	1	1000	202	500	10000	202	500	5000	202	500	5000																																																																						1	1	11005		
19000400			1	0	303	1	10000	303	1	5000	303	1	5000	303	1	1000	202	500	10000	202	500	5000	202	500	5000																																																																						1	1	11005		
19000500			1	0	306	1	10000	306	1	5000	306	1	5000	306	1	1000	202	500	10000	202	500	5000	202	500	5000																																																																						1	1	11005		
19000600			1	0	301	1	10000	301	1	5000	301	1	5000	301	1	1000	202	500	10000	202	500	5000	202	500	5000																																																																						1	1	11005		
19001000			1	0	305	1	10000	305	1	5000	305	1	5000	305	1	1000																																																																															1	1	11005		
19001100			1	0	307	1	10000	307	1	5000	307	1	5000	307	1	1000																																																																															1	1	11005		
19001200			1	0																																																																																											1	1	11005		
19001300			1	0																																																																																											1	1	11005		
19001400			1	0																																																																																											1	1	11005		
19001500			1	0																																																																																											1	1	11005		
19001600			1	0																																																																																											1	1	11005		
19002000			1	0	305	1	10000	305	1	5000	305	1	5000	305	1	1000																																																																															1	1	11005		
19002100			1	0	307	1	10000	307	1	5000	307	1	5000	307	1	1000																																																																															1	1	11005		
19002200			1	0																																																																																											1	1	11005		
19002300			1	0																																																																																											1	1	11005		
19002400			1	0																																																																																											1	1	11005		
19002500			1	0																																																																																											1	1	11005		
19002600			1	0																																																																																											1	1	11005		
20000000			1	0	20000011	1	10000	20000011	1	3000	20000011	1	3000																																																																																		1	1	20003		
20000011			0	1	100018	1	1000	100080	1	800	100017	1	1800	100013	1	600	100014	1	1200	100079	1	300																																																																									1	1	20003		
20000100			1	0	20000111	1	10000	20000111	1	3000	20000111	1	3000																																																																																		1	1	20003		
20000111			0	1	100018	1	1000	100080	1	800	100017	1	1800	100013	1	600	100014	1	1200	100079	1	300																																																																									1	1	20003		
20000200			1	0	20000211	1	10000	20000211	1	3000	20000211	1	3000																																																																																		1	1	20003		
20000211			0	1	100018	1	1000	100080	1	800	100017	1	1800	100013	1	600	100014	1	1200	100079	1	300																																																																									1	1	20003		
20000300			1	0	20000311	1	10000	20000311	1	3000	20000311	1	3000																																																																																		1	1	20003		
20000311			0	1	100018	1	1000	100080	1	800	100017	1	1800	100013	1	600	100014	1	1200	100079	1	300																																																																									1	1	20003		
20000400			1	0	20000411	1	10000	20000411	1	3000	20000411	1	3000																																																																																		1	1	20003		
20000411			0	1	100018	1	1000	100080	1	800	100017	1	1800	100013	1	600	100014	1	1200	100079	1	300																																																																									1	1	20003		
20000500			1	0	20000511	1	10000	20000511	1	3000	20000511	1	3000																																																																																		1	1	20003		
20000511			0	1	100018	1	1000	100080	1	800	100017	1	1800	100013	1	600	100014	1	1200	100079	1	300																																																																									1	1	20003		
20000600			1	0	20000611	1	10000	20000611	1	3000	20000611	1	3000																																																																																		1	1	20003		
20000611			0	1	100018	1	1000	100080	1	800	100017	1	1800	100013	1	600	100014	1	1200	100079	1	300																																																																									1	1	20003		
20001000			1	0	500300	2.2	10000																																																																																								1	1	20003		
20001100			1	0	500300	2.2	10000																																																																																								1	1	20003		
20001200			1	0	500300	2.2	10000																																																																																								1	1	20003		
20001300			1	0	500300	2.2	10000																																																																																								1	1	20003		
20001400			1	0	500300	2.2	10000																																																																																								1	1	20003		
20001500			1	0	500300	2.2	10000																																																																																								1	1	20003		
20001600			1	0	500300	2.2	10000																																																																																								1	1	20003		
20002000			1	0	2024	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20002100			1	0	2024	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20002200			1	0	2024	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20002300			1	0	2024	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20002400			1	0	2024	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20002500			1	0	2024	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20002600			1	0	2024	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20003000			1	0	520500	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20003100			1	0	520500	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20003200			1	0	520500	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20003300			1	0	520500	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20003400			1	0	520500	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20003500			1	0	520500	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20003600			1	0	520500	1.5	10000	202	100	10000	202	100	5000	202	100	5000																																																																															1	1	20003		
20004000			1	0	500301	2.2	10000																																																																																								1	1	20003		
20004100			1	0	500301	2.2	10000																																																																																								1	1	20003		
20004200			1	0	500301	2.2	10000																																																																																								1	1	20003		
20004300			1	0	500301	2.2	10000																																																																																								1	1	20003		
20004400			1	0	500301	2.2	10000																																																																																								1	1	20003		
20004500			1	0	500301	2.2	10000																																																																																								1	1	20003		
20004600			1	0	500301	2.2	10000																																																																																								1	1	20003		
20005000			1	0	500302	1	10000																																																																																								1	1	20003		
20005100			1	0	500302	1	10000																																																																																								1	1	20003		
20005200			1	0	500302	1	10000																																																																																								1	1	20003		
20005300			1	0	500302	1	10000																																																																																								1	1	20003		
20005400			1	0	500302	1	10000																																																																																								1	1	20003		
20005500			1	0	500302	1	10000																																																																																								1	1	20003		
20005600			1	0	500302	1	10000																																																																																								1	1	20003		
20006000			1	0	500303	1	10000																																																																																								1	1	20003		
20006100			1	0	500303	1	10000																																																																																								1	1	20003		
20006200			1	0	500303	1	10000																																																																																								1	1	20003		
20006300			1	0	500303	1	10000																																																																																								1	1	20003		
20006400			1	0	500303	1	10000																																																																																								1	1	20003		
20006500			1	0	500303	1	10000																																																																																								1	1	20003		
20006600			1	0	500303	1	10000																																																																																								1	1	20003		
21000000			1	0	100061	3	10000																																																																																								1	1	20004		
21000100			1	0	107001	1	10000																																																																																								1	1	11006		
21000200			0	0	2024	4	4000	2008	1	6000																																																																																					1	1	20004		
21000300			0	0	2024	4	4000	2008	1	6000																																																																																					1	1	20004		
21000400			1	0	101001	1	10000	101001	1	1000	101001	1	1000																																																																																		1	1	20004		
21000500			1	0	100028	1	10000	100028	1	1000	100028	1	1000																																																																																		1	1	20004		
21000600			1	0	101002	1	10000	101002	1	1000	101002	1	1000																																																																																		1	1	20004		
21000700			1	0	101003	1	10000	101003	1	1000	101003	1	1000																																																																																		1	1	20004		
21000800			1	0	100052	1	10000																																																																																								1	1	20004		
21000900			1	0	100054	1	10000																																																																																								1	1	20004		
21001000			1	0	100053	1	10000																																																																																								1	1	20004		
21001100			1	0	100052	1	10000																																																																																								1	1	20004		
21001200			1	0	2001	1	10000																																																																																								1	1	20004		
21001300			1	0	2002	1	10000																																																																																								1	1	20004		
21001400			1	0	2003	1	10000																																																																																								1	1	20004		
21001500			1	0	2004	1	10000																																																																																								1	1	20004		
21001600			1	0	2005	1	10000																																																																																								1	1	20004		
21001700			1	0	2006	1	10000																																																																																								1	1	20004		
21001800			1	0	2007	1	10000																																																																																								1	1	20004		
