ID	ChallengeType	存储类型	$#VersionBegin	$#VersionEnd
1	1			
2	2			
3	3			
4	4			
5	5			
6	6			
7	7			
8	8			
9	9			
10	10			
11	8			
12	9			
13	2			
14	10			
15	8			
100	2			
101	3			
102	7			
103	6			
104	4			
110	7			
111	8			
120	2			
121	8			
122	8			
123	2			
124	2			
125	2			
126	8			
127	8			
128	8			
129	2			
130	2			
131	2			
132	8			
133	2			
134	8			
135	8			
136	2			
137	2			
138	2			
139	8			
140	2			
141	8			
142	2			
143	8			
144	8			
145	7			
146	2			
147	1			
148	2			
149	8			
150	8			
151	2			
152	2			
153	6			
154	7			
155	8			
156	2			
157	7			
158	4			
159	2			
160	4			
161	2			
162	4			
163	7			
164	2			
165	8			
166	2			
167	8			
168	8	1		
169	8			
170	8			
171	3			
172	4			
173	7			
174	2			
175	2			
176	2			
177	2			
178	2			
179	2			
180	2			
181	8			
182	2			
183	2			
184	8			
185	2			
186	2			
187	9			
188	10			
189	11			
190	9			
191	2			
192	10			
193	5			
194	5			
195	4			
196	1			
197	2			
198	2			
199	7			
200	8			
201	8			
202	8			
1000	2			
1001	2			
1002	2			
1003	2			
1004	2			
1010	10			
1011	10			
1012	10			
1013	2			
1014	2			
1020	2			
1021	2			
1022	2			
1023	10			
1024	2			
1030	2			
1031	2			
1032	2			
1033	2			
1034	2			
1040	2			
1041	2			
1042	2			
1043	2			
1044	2			
2001	7			
2002	8			
2003	8			
3001	2			
3002	1			
2004	1			
2005	1			
2006	2			
10000	1			
