ID	类型	动态难度	序列编号	玩法类型	场景ID	脚本定时事件间隔	掉落预览	联机类型	显示等级	是否限制角色等级	限制等级	等级修正	前置副本	需求角色	通关条件	通关跳转地城	复活次数上限	每天准入次数	[进入消耗]1ID	[进入消耗]1数量	首通奖励RewardID	通关奖励RewardID	结算倒计时	结算显示1	结算显示2	结算显示3	结算显示4	禁止重新挑战	开启神像消耗道具	消耗数量	神像奖励	挑战因子组合	循环地城类别	$#VersionBegin	$#VersionEnd
1	1				20008		2	1	5	0	1	4			8		10	1					120				4								
2	2				20008		9	1	20	15	1	19			2		5	10					60	1	2	3			100001	1	9000101	1000:100,1001:100,1002:100			
3	2				20008		9	1	30	25	1	29			2		5	10					60	1	2	3			100001	1	9000101	1000:100,1001:100,1002:100			
4	2				20007		9	1	15	10	1	14			21		5	10					60	1	2	3			100001	1	9000101				
5	2				20007		9	1	25	20	1	24			21		5	10					60	1	2	3			100001	1	9000101				
6	2				20007		9	1	35	30	1	34			21		5	10					60	1	2	3			100001	1	9000101				
7	1	1			20006		9	1	15	0	1	14			5		5	10					60	1							9000101				
8	2				20006		9	1	20	15	1	19			21		5	10					60	1	2	3			100001	1	9000101				
9	2				20006		9	1	30	25	1	29			21		5	10					60	1	2	3			100001	1	9000101				
10	1	1			1006		2	1	18	0	1	17			22		10	1					120												
11	2				1017		9	1	5	1	1	4			21		10	10					60	1	2	3			100001	1	9000101				
12	2				1019		9	1	5	1	1	4			21		10	10					60	1	2	3			100001	1	9000101				
13	2				1011		9	1	1	1	1	0			9		10	10					120						100001	1	9000101				
15	2				50002		9	1	9	4	1	8			9		10	10					120						100001	1	9000101				
16	2				1001		9	1	1	1	1	0			9		10	10					120						100001	1	9000101				
17	2				50003		9	1	10	5	1	9			21		10	99					120						100001	1	9000101				
18	2				50004		9	1	10	5	1	9			21		10	99					120						100001	1	9000101				
19	2				50005		9	1	10	5	1	9			21		10	99					120						100001	1	9000101				
24	2				1024		9	1	5	1	1	4			33		10	99					120						100001	1	9000101				
25	2				50009		9	1	10	5	1	9			21		10	99					120						100001	1	9000101				
26	2				50010		9	1	10	5	1	9			21		10	99					120						100001	1	9000101				
27	2				50014		9	1	10	5	1	9			21		10	99					120						100001	1	9000101				
28	2				50017		9	1	1	1	1	0			21		10	99					120						100001	1	9000101				
29	2				50018		9	1	1	1	1	0			53		10	99					120						100001	1	9000101				
30	1				20031		2	1	26	0	1	25			55		0						120					1							
31	2				50019		9	1	1	1	1	0			52		10	99					120						100001	1	9000101				
32	2				50020		9	1	1	1	1	0			5		10	99					120						100001	1	9000101				
33	2				1031		9	1	35	30	1	34			51		10	99					120						100001	1	9000101				
34	2				1031		9	1	35	30	1	34			51		10	99					120						100001	1	9000101				
