序号	地城入口ID	类型	是否默认开启	条件组合	[条件]1类型	[条件]1参数1	[条件]1参数2	[条件]2类型	[条件]2参数1	[条件]2参数2	系统开放界面ID	奖励ID
1	48	1	0	2	1	12		2	30904		7	220401
2	50	2	0	2	1	16		2	38406		8	220402
3	135	2	0	2	1	16		2	38406			220407
4	117	5	0		1	14					5	220406
5	147	4	0	2	1	22		2	39604		4	220404
6	42	4	0	2	1	22		2	39604			220405
7	137	4	0	2	1	22		2	39604			220409
8	107	4	0	2	1	22		2	39604			220410
9	139	4	0	2	1	22		2	39604			220411
10	44	3	0	2	1	27		2	100318		6	220403
11	131	3	0	2	1	27		2	100318			220408
1001	45	6	0	2	1	20		2	39604		3	220412
1002	1	7	0									
1003	20	7	0									
1004	22	7	0									
1005	40	7	0									
1006	38	7	0									
1007	52	7	0									
1008	113	7	0									
1009	102	7	0									
1010	89	7	0									
1011	119	7	0									
1012	125	7	0									
1013	129	7	0									
