挑战组合ID	LevelEntityConfig
1	Level_Avatar_DefenseDown
2	LevelEntity_ElementAddHurt_Electric
3	LevelEntity_ElementAddHurt_Fire
4	LevelEntity_ElementAddHurt_Wind
5	LevelEntity_ElementAddHurt_Ice
6	LevelEntity_ElementAddHurt_Water
7	LevelEntity_ElementAddHurt_Grass
8	LevelEntity_ElementAddHurt_Rock
9	LevelEntity_ElementBeHurtDamageDown_Electric
10	LevelEntity_ElementBeHurtDamageDown_Fire
11	LevelEntity_ElementBeHurtDamageDown_Wind
12	LevelEntity_ElementBeHurtDamageDown_Ice
13	LevelEntity_ElementBeHurtDamageDown_Water
14	LevelEntity_ElementBeHurtDamageDown_Grass
15	LevelEntity_ElementBeHurtDamageDown_Rock
16	LevelEntity_Heal_Down
17	LevelEntity_ElementBeHurtDamageUp_Electric
18	LevelEntity_ElementBeHurtDamageUp_Fire
19	LevelEntity_ElementBeHurtDamageUp_Wind
20	LevelEntity_ElementBeHurtDamageUp_Ice
21	LevelEntity_ElementBeHurtDamageUp_Water
22	LevelEntity_ElementBeHurtDamageUp_Grass
23	LevelEntity_ElementBeHurtDamageUp_Rock
24	LevelEntity_MeleeAttackDamageUp
25	LevelEntity_RangeAttackDamageUp
26	LevelEntity_MaleAddHurt
27	LevelEntity_FemaleAddHurt
28	LevelEntity_SwordAddHurt
29	LevelEntity_ClaymoreAddHurt
30	LevelEntity_PoleAddHurt
31	LevelEntity_CatalystAddHurt
32	LevelEntity_BowAddHurt
33	LevelEntity_AvatarDot_Fire
34	LevelEntity_AvatarDot_Electric
35	LevelEntity_AvatarDot_Water
36	LevelEntity_AvatarDot_Ice
37	LevelEntity_AvatarDot_Wind
38	LevelEntity_AvatarDot_Rock
39	LevelEntity_AvatarDot_Grass
40	LevelEntity_RandomThunder
41	Level_Electric_Test
42	Level_Explode_Test
43	Level_Superconductor_Test
44	Level_Melt_Test
45	Level_Stream_Test
46	Level_Freeze_Test
47	Level_Burning_Test
48	Level_Swril_Test
49	LevelEntity_Avatar_CriticalUp
50	LevelEntity_Avatar_CriticalHurtUp
51	LevelEntity_Monster_HpUp
52	LevelEntity_Monster_HpUp
53	LevelEntity_Monster_HpUp
54	LevelEntity_Monster_AttackUp
55	LevelEntity_Monster_AttackUp
56	LevelEntity_Monster_AttackUp
57	LevelEntity_Avatar_ChargeEfficiencyDown
58	LevelEntity_GenerateElemBall
59	LevelEntity_Monster_ElementBeHurtDamageDown_All
60	LevelEntity_PhysicalAddHurt
1000	Level_Avatar_DefenseDown
1000	LevelEntity_ElementBeHurtDamageUp_Electric
1000	LevelEntity_ElementAddHurt_Fire
1001	Level_Avatar_DefenseDown
1001	LevelEntity_ElementBeHurtDamageUp_Fire
1001	LevelEntity_ElementAddHurt_Electric
1002	Level_Avatar_DefenseDown
1002	LevelEntity_ElementBeHurtDamageUp_Ice
1002	LevelEntity_ElementAddHurt_Wind
1003	Level_Avatar_DefenseDown
1003	LevelEntity_ElementBeHurtDamageUp_Electric
1003	LevelEntity_ElementAddHurt_Ice
1004	Level_Avatar_DefenseDown
1004	LevelEntity_ElementBeHurtDamageUp_Fire
1004	LevelEntity_ElementAddHurt_Water
1005	Level_Avatar_DefenseDown
1005	LevelEntity_ElementBeHurtDamageUp_Electric
1005	LevelEntity_ElementAddHurt_Grass
1006	Level_Avatar_DefenseDown
1006	LevelEntity_ElementBeHurtDamageUp_Fire
1006	LevelEntity_ElementAddHurt_Rock
1007	LevelEntity_ElementBeHurtDamageDown_Electric
1007	LevelEntity_ElementAddHurt_Fire
1007	LevelEntity_MeleeAttackDamageUp
1008	LevelEntity_ElementBeHurtDamageDown_Fire
1008	LevelEntity_ElementAddHurt_Electric
1008	LevelEntity_MeleeAttackDamageUp
1009	LevelEntity_ElementBeHurtDamageDown_Ice
1009	LevelEntity_ElementAddHurt_Fire
1009	LevelEntity_RangeAttackDamageUp
1010	LevelEntity_Heal_Down
1010	LevelEntity_MeleeAttackDamageUp
1010	LevelEntity_BowAddHurt
1100	Level_Explode_Test
1101	LevelEntity_ElementAddHurt_Fire
1102	Level_Melt_Test
1102	Level_Stream_Test
1103	Level_Explode_Test
1103	LevelEntity_ElementBeHurtDamageUp_Electric
1104	LevelEntity_ElementAddHurt_Fire
1104	Level_Burning_Test
1105	Level_Melt_Test
1105	Level_Stream_Test
1106	LevelEntity_ElementAddHurt_Fire
1106	Level_Explode_Test
1107	LevelEntity_ElementAddHurt_Fire
1108	Level_Freeze_Test
1108	Level_Melt_Test
1109	LevelEntity_ElementAddHurt_Fire
1109	Level_Swril_Test
1110	Level_Freeze_Test
1110	LevelEntity_ElementAddHurt_Fire
1111	LevelEntity_ElementAddHurt_Ice
1111	Level_Melt_Test
1112	LevelEntity_ElementAddHurt_Fire
1112	LevelEntity_ElementAddHurt_Ice
1113	LevelEntity_ElementAddHurt_Fire
1113	LevelEntity_ElementAddHurt_Ice
1114	LevelEntity_ElementBeHurtDamageUp_Ice
1114	Level_Superconductor_Test
1115	LevelEntity_ElementAddHurt_Electric
1115	Level_Melt_Test
1116	Level_Superconductor_Test
1116	Level_Freeze_Test
1117	LevelEntity_ElementAddHurt_Electric
1117	Level_Freeze_Test
1118	Level_Explode_Test
