ID	[条件]组合	[条件]1类型	[条件]1参数1	[条件]1参数2	[条件]2类型	[条件]2参数1	[条件]2参数2	[条件]2参数3	$#VersionBegin	$#VersionEnd
1		5	220017001							
2		5	220008004							
3		5	220009003							
4		7	2	2						
5		9	99902							
6	1	9	99902		13	60				
7		9	30610							
8		9	30713							
9		9	30803							
10		5	220011003							
11		5	220014007							
12	1	9	30610		13	480				
13	1	11	100		13	240				
14		5	240001004							
15		9	1010116							
16		5	220012007							
17	2	14	1002							
18		14	4							
19		14	2							
20		5	240007003							
21		9	46305							
22		9	38105							
23		5	240007003							
24		5	220013005							
25		9	46510							
26		9	39403							
27		9	35722							
28		5	220017001							
29		14	1003							
30		14	2							
31		14	2							
32		14	2							
33		14	2							
34		9	49006							
35		9	48512							
36		14	2							
37		9	48506							
38		5	240010007							
39		14	1							
40		9	2010151							
41		5	201024010							
42	1	5	240014002		13	480				
43		5	220025005							
44		5	220026005							
45		5	220027005							
46		5	220028005							
47	1	5	240013002		13	480				
48		5	220029005							
49		5	220030005							
50		14	2							
51		14	1							
52		14	101							
53		14	101							
54		9	1100403							
55		9	1020111							
56		14	1							
57		14	1							
58		14	1							
59		14	1							
60		14	1							
61		14	1							
62		14	2							
63		5	220025001							
64		5	240009005							
65		5	240008003							
66		14	2							
67		5	201032001							
