提示台词ID	停留显示时长	$#VersionBegin	$#VersionEnd
1001002	3		
1001003	2		
1002001	4		
1009001	2		
1009002	4		
1009003	2		
1010001	4		
1010002	3		
1010003	3		
1010004	6		
1010005	4		
1010006	3		
1010007	3		
1010008	4		
1010009	6		
1031001	6		
1031002	3		
1031003	3		
1031004	3		
1032001	4		
1032002	2		
1021001	3		
1021002	2		
1022001	3		
1023001	3		
1023002	4		
1024001	3		
1025001	3		
1026001	2		
1027001	2		
1028001	2		
1028002	2		
1029001	3		
1029002	3		
1030001	3		
1036001	3		
1036002	2		
1037001	4		
1037002	3		
1039005	5		
1039006	2		
1039007	2		
1039008	3		
1041001	5		
1041002	3		
1041003	3		
1041004	2		
1041011	2		
1041021	3		
1041022	6		
1041023	6		
1041024	5		
1041025	3		
1041026	7		
1041027	4		
1041028	8.1		
1041029	3		
1041031	3		
1041041	2		
1041042	3		
1041072	3		
1041093	2		
1041094	6		
1041112	5		
1041113	3		
1042021	3		
1042091	3		
10060501	4		
10060701	4		
10050401	4		
10050501	4		
10050601	4		
10050801	5		
10050901	5		
10051001	5		
10051101	5		
10051201	5		
10051301	5		
10051401	5		
10051501	5		
10051601	5		
20010004	3.5		
20010005	2.5		
20010006	5		
20010007	4.5		
20010008	2		
20010011	7		
20010012	4		
20010013	3		
20010014	4		
20010015	3.5		
20010016	4.5		
20010017	6.5		
20010021	6.5		
20010022	3		
20010023	5.5		
20010024	5		
20010025	3		
20010026	2		
20010027	3		
20010028	4.5		
20010029	3.5		
20010030	3.5		
20010031	5.5		
20010032	4.5		
20010033	5.5		
20010034	4		
20010101	3		
20010102	4		
20010201	3		
20010301	4		
20010401	4		
20010402	4		
20010501	4		
20010502	4		
20010601	4		
20010602	4		
20010603	4		
20010701	4		
20010702	4		
20010703	5		
20010302	4		
10010101	2		
10010102	2		
10010103	4		
10010201	3		
10010202	4		
20020101	7		
20020102	5		
20020103	5		
20020201	5		
20020202	5		
20020203	4		
20020204	4		
20020205	3		
20020301	10		
500090101	5		
200230101	4		
200230201	3		
200230202	4		
200230203	3		
200220101	3		
200220201	3		
200220202	3		
200220301	3		
200220401	3		
200220501	3		
200050101	3		0.1
200050102	3		0.1
200050201	4		
200050202	3		
200050301	5		
200050401	2		
200050402	2		
200050501	5		
200050502	5		
