等级	冲击伤害系数	元素反应伤害成长
1	1	13.621701
2	1	14.510305
3	1	15.409195
4	1.1	16.31395
5	1.2	17.220676
6	1.3	18.131067
7	1.4	19.045913
8	1.6	19.965164
9	1.8	21.52549
10	2	25.058987
11	2.2	27.552113
12	2.4	30.116567
13	2.6	32.755063
14	2.9	35.612351
15	3.2	38.539296
16	3.5	44.946472
17	3.8	49.839067
18	4.2	54.104211
19	4.6	58.453271
20	5	64.090523
21	5.4	68.586089
22	5.8	73.137072
23	6.2	77.46838
24	6.7	83.014727
25	7.2	87.58548
26	7.7	98.03348
27	8.2	102.737589
28	8.8	107.522606
29	9.4	112.389753
30	10	121.131987
31	10.6	132.23319
32	11.2	137.773267
33	11.8	142.019846
34	12.5	146.654309
35	13.2	150.919882
36	13.9	159.112031
37	14.6	168.368242
38	15.4	178.246339
39	16.2	188.223844
40	17	205.179573
41	17.8	215.505901
42	18.6	225.952907
43	19.4	236.135814
44	20.3	260.050324
45	21.2	266.535961
46	22.1	284.92443
47	23	296.393376
48	24	308.405543
49	25	320.677499
50	26	346.706296
51	27	362.869309
52	28	403.586188
53	29	421.761403
54	30.1	440.165731
55	31.2	460.858604
56	32.3	476.665207
57	33.4	497.643497
58	34.6	517.977459
59	35.8	535.816088
60	37	594.899913
61	38.2	635.79203
62	39.4	655.692484
63	40.6	677.055713
64	41.9	695.094634
65	43.2	717.63431
66	44.5	734.360663
67	45.8	752.632434
68	47.2	801.584782
69	48.6	821.216836
70	50	861.584074
71	51.4	888.027025
72	52.8	914.903928
73	54.2	940.700421
74	55.7	961.224814
75	57.2	981.144066
76	58.7	1105.507178
77	60.2	1153.597018
78	61.8	1200.96547
79	63.4	1249.265602
80	65	1290.907528
81	66.6	1363.908787
82	68.2	1408.633628
83	69.8	1454.274558
84	71.5	1570.296433
85	73.2	1591.208464
86	74.9	1609.887686
87	76.6	1628.563991
88	78.4	1646.957076
89	80.2	1663.972833
90	82	1814.360823
91	83.8	1910.631356
92	85.6	1928.700849
93	87.4	1946.871555
94	89.3	1965.144005
95	91.2	1983.518811
96	93.1	2001.996429
97	95	2020.577545
98	97	2039.262693
99	99	2058.052481
100	101	2076.947444
101	103	2095.948116
102	105	2115.055105
103	107	2134.268946
104	109.1	2153.590323
105	111.2	2173.019621
106	113.3	2192.557598
107	115.4	2212.204715
108	117.6	2231.961579
109	119.8	2251.828727
110	122	2271.806691
111	124.2	2291.896157
112	126.4	2312.097659
113	128.6	2332.411731
114	130.9	2352.838984
115	133.2	2373.379875
116	135.5	2394.035167
117	137.8	2414.805242
118	140.2	2435.690785
119	142.6	2456.692332
120	145	2477.810492
200	401	3339.891272
