AffixID	开启天赋配置	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	参数1	参数2	参数3	参数4	参数5	参数6	ID	词缀等级	$#VersionBegin	$#VersionEnd
1110010	Sword_Norse_0													111001	0		
1110011	Sword_Norse_1													111001	1		
1110012	Sword_Norse_2													111001	2		
1110013	Sword_Norse_3													111001	3		
1110014	Sword_Norse_4													111001	4		
1110030	Weapon_Sword_Zephyrus_0													111003	0		
1110031	Weapon_Sword_Zephyrus_1													111003	1		
1110032	Weapon_Sword_Zephyrus_2													111003	2		
1110033	Weapon_Sword_Zephyrus_3													111003	3		
1110034	Weapon_Sword_Zephyrus_4													111003	4		
1110040		20	0.06					0.06						111004	0		
1110041		20	0.07					0.07						111004	1		
1110042		20	0.08					0.08						111004	2		
1110043		20	0.09					0.09						111004	3		
1110044		20	0.1					0.1						111004	4		
1113010	Weapon_Sword_DamageUpToEnemy							0.14						111301	0		
1113011	Weapon_Sword_DamageUpToEnemy							0.18						111301	1		
1113012	Weapon_Sword_DamageUpToEnemy							0.22						111301	2		
1113013	Weapon_Sword_DamageUpToEnemy							0.26						111301	3		
1113014	Weapon_Sword_DamageUpToEnemy							0.3						111301	4		
1113020	Weapon_Sword_FullHPCriticUp							0.16						111302	0		
1113021	Weapon_Sword_FullHPCriticUp							0.2						111302	1		
1113022	Weapon_Sword_FullHPCriticUp							0.24						111302	2		
1113023	Weapon_Sword_FullHPCriticUp							0.28						111302	3		
1113024	Weapon_Sword_FullHPCriticUp							0.32						111302	4		
1113030	Weapon_Sword_OnGainEnergyHealHP							0.01	1					111303	0		
1113031	Weapon_Sword_OnGainEnergyHealHP							0.0125	1					111303	1		
1113032	Weapon_Sword_OnGainEnergyHealHP							0.015	1					111303	2		
1113033	Weapon_Sword_OnGainEnergyHealHP							0.0175	1					111303	3		
1113034	Weapon_Sword_OnGainEnergyHealHP							0.02	1					111303	4		
1113040	Weapon_Sword_AttacktUpAfterReaction							0.2	12					111304	0		
1113041	Weapon_Sword_AttacktUpAfterReaction							0.25	12					111304	1		
1113042	Weapon_Sword_AttacktUpAfterReaction							0.3	12					111304	2		
1113043	Weapon_Sword_AttacktUpAfterReaction							0.35	12					111304	3		
1113044	Weapon_Sword_AttacktUpAfterReaction							0.4	12					111304	4		
1113050	Weapon_Sword_ExtraDamageWhenCDReady							0.5	2.4	15				111305	0		
1113051	Weapon_Sword_ExtraDamageWhenCDReady							0.5	2.8	14				111305	1		
1113052	Weapon_Sword_ExtraDamageWhenCDReady							0.5	3.2	13				111305	2		
1113053	Weapon_Sword_ExtraDamageWhenCDReady							0.5	3.6	12				111305	3		
1113054	Weapon_Sword_ExtraDamageWhenCDReady							0.5	4	11				111305	4		
1113060	Weapon_Sword_MoveSpeedAfterULT							0.12	12					111306	0		
1113061	Weapon_Sword_MoveSpeedAfterULT							0.15	12					111306	1		
1113062	Weapon_Sword_MoveSpeedAfterULT							0.18	12					111306	2		
1113063	Weapon_Sword_MoveSpeedAfterULT							0.21	12					111306	3		
1113064	Weapon_Sword_MoveSpeedAfterULT							0.24	12					111306	4		
1114010	Weapon_Sword_GenerateBallWhenCritic							0.6	12					111401	0		
1114011	Weapon_Sword_GenerateBallWhenCritic							0.7	10.5					111401	1		
1114012	Weapon_Sword_GenerateBallWhenCritic							0.8	9					111401	2		
1114013	Weapon_Sword_GenerateBallWhenCritic							0.9	7.5					111401	3		
1114014	Weapon_Sword_GenerateBallWhenCritic							1	6					111401	4		
1114020	Weapon_Sword_MusicBlast							0.5	2					111402	0		
1114021	Weapon_Sword_MusicBlast							0.5	2.5					111402	1		
1114022	Weapon_Sword_MusicBlast							0.5	3					111402	2		
1114023	Weapon_Sword_MusicBlast							0.5	3.5					111402	3		
1114024	Weapon_Sword_MusicBlast							0.5	4					111402	4		
1114030	Weapon_Sword_GetShieldBeingHit							0.16	10	45				111403	0		
1114031	Weapon_Sword_GetShieldBeingHit							0.2	10	45				111403	1		
1114032	Weapon_Sword_GetShieldBeingHit							0.24	10	45				111403	2		
1114033	Weapon_Sword_GetShieldBeingHit							0.28	10	45				111403	3		
1114034	Weapon_Sword_GetShieldBeingHit							0.32	10	45				111403	4		
1114040	Weapon_Sword_CritUpWhenHitNoCrit							0.08						111404	0		
1114041	Weapon_Sword_CritUpWhenHitNoCrit							0.1						111404	1		
1114042	Weapon_Sword_CritUpWhenHitNoCrit							0.12						111404	2		
1114043	Weapon_Sword_CritUpWhenHitNoCrit							0.14						111404	3		
1114044	Weapon_Sword_CritUpWhenHitNoCrit							0.16						111404	4		
1114050	Weapon_Sword_DamageUpToWindEnemy							0.2						111405	0		
1114051	Weapon_Sword_DamageUpToWindEnemy							0.25						111405	1		
1114052	Weapon_Sword_DamageUpToWindEnemy							0.3						111405	2		
1114053	Weapon_Sword_DamageUpToWindEnemy							0.35						111405	3		
1114054	Weapon_Sword_DamageUpToWindEnemy							0.4						111405	4		
1114060	Weapon_Sword_AttackGainAKTDEFBuff							0.06						111406	0		
1114061	Weapon_Sword_AttackGainAKTDEFBuff							0.075						111406	1		
1114062	Weapon_Sword_AttackGainAKTDEFBuff							0.09						111406	2		
1114063	Weapon_Sword_AttackGainAKTDEFBuff							0.105						111406	3		
1114064	Weapon_Sword_AttackGainAKTDEFBuff							0.12						111406	4		
1114070	Weapon_Sword_AttackGainFullDamgeUpBuff							0.1	1	6				111407	0		
1114071	Weapon_Sword_AttackGainFullDamgeUpBuff							0.125	1	6				111407	1		
1114072	Weapon_Sword_AttackGainFullDamgeUpBuff							0.15	1	6				111407	2		
1114073	Weapon_Sword_AttackGainFullDamgeUpBuff							0.175	1	6				111407	3		
1114074	Weapon_Sword_AttackGainFullDamgeUpBuff							0.2	1	6				111407	4		
1114080	Weapon_Sword_IgnoreDefense							0.16						111408	0		
1114081	Weapon_Sword_IgnoreDefense							0.2						111408	1		
1114082	Weapon_Sword_IgnoreDefense							0.24						111408	2		
1114083	Weapon_Sword_IgnoreDefense							0.28						111408	3		
1114084	Weapon_Sword_IgnoreDefense							0.32						111408	4		
1115010	Weapon_Sword_Legend_Falcon	23	0.2					0.2	0.2	0.2				111501	0		
1115011	Weapon_Sword_Legend_Falcon	23	0.25					0.25	0.25	0.25				111501	1		
1115012	Weapon_Sword_Legend_Falcon	23	0.3					0.3	0.3	0.3				111501	2		
1115013	Weapon_Sword_Legend_Falcon	23	0.35					0.35	0.35	0.35				111501	3		
1115014	Weapon_Sword_Legend_Falcon	23	0.4					0.4	0.4	0.4				111501	4		
1115020	Weapon_Sword_Legend_Dvalin	27	0.2	20	0.04			0.2	0.04	0.8	9			111502	0		
1115021	Weapon_Sword_Legend_Dvalin	27	0.25	20	0.08			0.25	0.08	0.9	8			111502	1		
1115022	Weapon_Sword_Legend_Dvalin	27	0.3	20	0.12			0.3	0.12	1	7			111502	2		
1115023	Weapon_Sword_Legend_Dvalin	27	0.35	20	0.16			0.35	0.16	1	6			111502	3		
1115024	Weapon_Sword_Legend_Dvalin	27	0.4	20	0.2			0.4	0.2	1	5			111502	4		
1115990														111599	0		
1115991														111599	1		
1115992														111599	2		
1115993														111599	3		
1115994														111599	4		
1120010		6	0.08					0.08						112001	0		
1120011		6	0.02					0.1						112001	1		
1120012		6	0.02					0.12						112001	2		
1120013		6	0.02					0.14						112001	3		
1120014		6	0.02					0.16						112001	4		
1123000	Weapon_Claymore_ExtraPhyDamagePerHit_0													112300	0		
1123001	Weapon_Claymore_ExtraPhyDamagePerHit_1													112300	1		
1123002	Weapon_Claymore_ExtraPhyDamagePerHit_2													112300	2		
1123003	Weapon_Claymore_ExtraPhyDamagePerHit_3													112300	3		
1123004	Weapon_Claymore_ExtraPhyDamagePerHit_4													112300	4		
1123010	Weapon_Claymore_LowHPAddExtraAttackEndura							0.5	0.35					112301	0		
1123011	Weapon_Claymore_LowHPAddExtraAttackEndura							0.6	0.4					112301	1		
1123012	Weapon_Claymore_LowHPAddExtraAttackEndura							0.7	0.45					112301	2		
1123013	Weapon_Claymore_LowHPAddExtraAttackEndura							0.8	0.5					112301	3		
1123014	Weapon_Claymore_LowHPAddExtraAttackEndura							0.9	0.55					112301	4		
1123020	Weapon_Claymore_DamageUpToEnemy							0.14						112302	0		
1123021	Weapon_Claymore_DamageUpToEnemy							0.18						112302	1		
1123022	Weapon_Claymore_DamageUpToEnemy							0.22						112302	2		
1123023	Weapon_Claymore_DamageUpToEnemy							0.26						112302	3		
1123024	Weapon_Claymore_DamageUpToEnemy							0.3						112302	4		
1123030	Weapon_Claymore_HealAmountHPonEnemyKilled							0.08						112303	0		
1123031	Weapon_Claymore_HealAmountHPonEnemyKilled							0.1						112303	1		
1123032	Weapon_Claymore_HealAmountHPonEnemyKilled							0.12						112303	2		
1123033	Weapon_Claymore_HealAmountHPonEnemyKilled							0.14						112303	3		
1123034	Weapon_Claymore_HealAmountHPonEnemyKilled							0.16						112303	4		
1120020		20	0.06					0.06						112002	0		
1120021		20	0.01					0.07						112002	1		
1120022		20	0.01					0.08						112002	2		
1120023		20	0.01					0.09						112002	3		
1120024		20	0.01					0.1						112002	4		
1123040	Weapon_Claymore_AttacktUpAfterReaction							0.2						112304	0		
1123041	Weapon_Claymore_AttacktUpAfterReaction							0.25						112304	1		
1123042	Weapon_Claymore_AttacktUpAfterReaction							0.3						112304	2		
1123043	Weapon_Claymore_AttacktUpAfterReaction							0.35						112304	3		
1123044	Weapon_Claymore_AttacktUpAfterReaction							0.4						112304	4		
1123050	Weapon_Claymore_NormalAttackExtraDamageAfterSkill							0.8	15	3				112305	0		
1123051	Weapon_Claymore_NormalAttackExtraDamageAfterSkill							1	15	3				112305	1		
1123052	Weapon_Claymore_NormalAttackExtraDamageAfterSkill							1.2	15	3				112305	2		
1123053	Weapon_Claymore_NormalAttackExtraDamageAfterSkill							1.4	15	3				112305	3		
1123054	Weapon_Claymore_NormalAttackExtraDamageAfterSkill							1.6	15	3				112305	4		
1123060	Weapon_Claymore_AttackUpBuff							0.06						112306	0		
1123061	Weapon_Claymore_AttackUpBuff							0.075						112306	1		
1123062	Weapon_Claymore_AttackUpBuff							0.09						112306	2		
1123063	Weapon_Claymore_AttackUpBuff							0.105						112306	3		
1123064	Weapon_Claymore_AttackUpBuff							0.12						112306	4		
1124010	Weapon_Claymore_GenerateBallWhenCritic							0.6	12					112401	0		
1124011	Weapon_Claymore_GenerateBallWhenCritic							0.7	10.5					112401	1		
1124012	Weapon_Claymore_GenerateBallWhenCritic							0.8	9					112401	2		
1124013	Weapon_Claymore_GenerateBallWhenCritic							0.9	7.5					112401	3		
1124014	Weapon_Claymore_GenerateBallWhenCritic							1	6					112401	4		
1124020	Weapon_Claymore_ResetCDWhenSkillHit							0.4	30					112402	0		
1124021	Weapon_Claymore_ResetCDWhenSkillHit							0.5	25					112402	1		
1124022	Weapon_Claymore_ResetCDWhenSkillHit							0.6	20					112402	2		
1124023	Weapon_Claymore_ResetCDWhenSkillHit							0.7	16					112402	3		
1124024	Weapon_Claymore_ResetCDWhenSkillHit							0.8	12					112402	4		
1124030	Weapon_Claymore_GetShieldBeingHit							0.16	45					112403	0		
1124031	Weapon_Claymore_GetShieldBeingHit							0.2	45					112403	1		
1124032	Weapon_Claymore_GetShieldBeingHit							0.24	45					112403	2		
1124033	Weapon_Claymore_GetShieldBeingHit							0.28	45					112403	3		
1124034	Weapon_Claymore_GetShieldBeingHit							0.32	45					112403	4		
1124040	Weapon_Claymore_AtkDefUpWhenExtraAttack							0.28						112404	0		
1124041	Weapon_Claymore_AtkDefUpWhenExtraAttack							0.36						112404	1		
1124042	Weapon_Claymore_AtkDefUpWhenExtraAttack							0.44						112404	2		
1124043	Weapon_Claymore_AtkDefUpWhenExtraAttack							0.52						112404	3		
1124044	Weapon_Claymore_AtkDefUpWhenExtraAttack							0.6						112404	4		
1124050	Weapon_Claymore_DamageUpToElectricEnemy							0.2						112405	0		
1124051	Weapon_Claymore_DamageUpToElectricEnemy							0.25						112405	1		
1124052	Weapon_Claymore_DamageUpToElectricEnemy							0.3						112405	2		
1124053	Weapon_Claymore_DamageUpToElectricEnemy							0.35						112405	3		
1124054	Weapon_Claymore_DamageUpToElectricEnemy							0.4						112405	4		
1124980	Weapon_Claymore_CritUpWhenHitNoCrit_0													112498	0		
1124981	Weapon_Claymore_CritUpWhenHitNoCrit_1													112498	1		
1124982	Weapon_Claymore_CritUpWhenHitNoCrit_2													112498	2		
1124983	Weapon_Claymore_CritUpWhenHitNoCrit_3													112498	3		
1124984	Weapon_Claymore_CritUpWhenHitNoCrit_4													112498	4		
1124060	Weapon_Claymore_AOEDamage							0.3	3.2					112406	0		
1124061	Weapon_Claymore_AOEDamage							0.3	3.9					112406	1		
1124062	Weapon_Claymore_AOEDamage							0.3	4.6					112406	2		
1124063	Weapon_Claymore_AOEDamage							0.3	5.3					112406	3		
1124064	Weapon_Claymore_AOEDamage							0.3	6					112406	4		
1124070	Weapon_Claymore_AttackGainAKTDEFBuff							0.06						112407	0		
1124071	Weapon_Claymore_AttackGainAKTDEFBuff							0.075						112407	1		
1124072	Weapon_Claymore_AttackGainAKTDEFBuff							0.09						112407	2		
1124073	Weapon_Claymore_AttackGainAKTDEFBuff							0.105						112407	3		
1124074	Weapon_Claymore_AttackGainAKTDEFBuff							0.12						112407	4		
1124080	Weapon_Claymore_IgnoreDefense							0.16						112408	0		
1124081	Weapon_Claymore_IgnoreDefense							0.2						112408	1		
1124082	Weapon_Claymore_IgnoreDefense							0.24						112408	2		
1124083	Weapon_Claymore_IgnoreDefense							0.28						112408	3		
1124084	Weapon_Claymore_IgnoreDefense							0.32						112408	4		
1124990	Weapon_Claymore_Zephyrus_0													112499	0		
1124991	Weapon_Claymore_Zephyrus_1													112499	1		
1124992	Weapon_Claymore_Zephyrus_2													112499	2		
1124993	Weapon_Claymore_Zephyrus_3													112499	3		
1124994	Weapon_Claymore_Zephyrus_4													112499	4		
1125010	Weapon_Claymore_Legend_Dvalin	24	0.08					0.08	1.4	20	8			112501	0		
1125011	Weapon_Claymore_Legend_Dvalin	24	0.1					0.1	1.75	20	8			112501	1		
1125012	Weapon_Claymore_Legend_Dvalin	24	0.12					0.12	2.1	20	8			112501	2		
1125013	Weapon_Claymore_Legend_Dvalin	24	0.14					0.14	2.45	20	8			112501	3		
1125014	Weapon_Claymore_Legend_Dvalin	24	0.16					0.16	2.8	20	8			112501	4		
1125020	Weapon_Claymore_Legend_Wolfmound	6	0.2					0.2	0.4					112502	0		
1125021	Weapon_Claymore_Legend_Wolfmound	6	0.25					0.25	0.5					112502	1		
1125022	Weapon_Claymore_Legend_Wolfmound	6	0.3					0.3	0.6					112502	2		
1125023	Weapon_Claymore_Legend_Wolfmound	6	0.35					0.35	0.7					112502	3		
1125024	Weapon_Claymore_Legend_Wolfmound	6	0.4					0.4	0.8					112502	4		
1125030														112503	0		
1125031														112503	1		
1125032														112503	2		
1125033														112503	3		
1125034														112503	4		
1130030	Weapon_Pole_Zephyrus_0													113003	0		
1130031	Weapon_Pole_Zephyrus_1													113003	1		
1130032	Weapon_Pole_Zephyrus_2													113003	2		
1130033	Weapon_Pole_Zephyrus_3													113003	3		
1130034	Weapon_Pole_Zephyrus_4													113003	4		
1133090	Weapon_Pole_NormalAttackUpUnlessBeinghit_0													113309	0		
1133091	Weapon_Pole_NormalAttackUpUnlessBeinghit_1													113309	1		
1133092	Weapon_Pole_NormalAttackUpUnlessBeinghit_2													113309	2		
1133093	Weapon_Pole_NormalAttackUpUnlessBeinghit_3													113309	3		
1133094	Weapon_Pole_NormalAttackUpUnlessBeinghit_4													113309	4		
1133010	Weapon_Pole_NormalAttackUp							0.35						113301	0		
1133011	Weapon_Pole_NormalAttackUp							0.4						113301	1		
1133012	Weapon_Pole_NormalAttackUp							0.45						113301	2		
1133013	Weapon_Pole_NormalAttackUp							0.5						113301	3		
1133014	Weapon_Pole_NormalAttackUp							0.55						113301	4		
1133020	Weapon_Pole_ExtraDamageWhenCDReady							1.4	10					113302	0		
1133021	Weapon_Pole_ExtraDamageWhenCDReady							1.8	10					113302	1		
1133022	Weapon_Pole_ExtraDamageWhenCDReady							2.2	10					113302	2		
1133023	Weapon_Pole_ExtraDamageWhenCDReady							2.6	10					113302	3		
1133024	Weapon_Pole_ExtraDamageWhenCDReady							3	10					113302	4		
1133030	Weapon_Pole_SlimeKiller							0.4						113303	0		
1133031	Weapon_Pole_SlimeKiller							0.5						113303	1		
1133032	Weapon_Pole_SlimeKiller							0.6						113303	2		
1133033	Weapon_Pole_SlimeKiller							0.7						113303	3		
1133034	Weapon_Pole_SlimeKiller							0.8						113303	4		
1136010	Weapon_Pole_AttacktUpAfterReaction							0.2						113601	0		
1136011	Weapon_Pole_AttacktUpAfterReaction							0.25						113601	1		
1136012	Weapon_Pole_AttacktUpAfterReaction							0.3						113601	2		
1136013	Weapon_Pole_AttacktUpAfterReaction							0.35						113601	3		
1136014	Weapon_Pole_AttacktUpAfterReaction							0.4						113601	4		
1134010	Weapon_Pole_DamageUpToWaterEnemy							0.2						113401	0		
1134011	Weapon_Pole_DamageUpToWaterEnemy							0.25						113401	1		
1134012	Weapon_Pole_DamageUpToWaterEnemy							0.3						113401	2		
1134013	Weapon_Pole_DamageUpToWaterEnemy							0.35						113401	3		
1134014	Weapon_Pole_DamageUpToWaterEnemy							0.4						113401	4		
1134020	Weapon_Pole_NormalAttackExtraDamageWhenGetEnergyBall							0.26						113402	0		
1134021	Weapon_Pole_NormalAttackExtraDamageWhenGetEnergyBall							0.32						113402	1		
1134022	Weapon_Pole_NormalAttackExtraDamageWhenGetEnergyBall							0.38						113402	2		
1134023	Weapon_Pole_NormalAttackExtraDamageWhenGetEnergyBall							0.44						113402	3		
1134024	Weapon_Pole_NormalAttackExtraDamageWhenGetEnergyBall							0.5						113402	4		
1134030	Weapon_Pole_NormalAttackAndExtraAttackUpAfterSkill							0.2						113403	0		
