ID	所属城市ID	[开启条件]1类型	[开启条件]1参数	[开启条件]2类型	[开启条件]2参数	[开启条件]3类型	[开启条件]3参数	[时长]1小时	[时长]1奖励掉落	[时长]2小时	[时长]2奖励掉落	[时长]3小时	[时长]3奖励掉落	[时长]4小时	[时长]4奖励掉落	$#VersionBegin	$#VersionEnd
101	1	0	14	1	7			4	205010100	8	205010300	12	205010500	20	205010700		
102	1	0	14	1	4			4	205030100	8	205030300	12	205030500	20	205030700		
103	1	0	16	1	4			4	205010100	8	205010300	12	205010500	20	205010700		
104	1	0	16	1	7			4	205040100	8	205040300	12	205040500	20	205040700		
105	1	0	18	1	29			4	205050100	8	205050300	12	205050500	20	205050700		
106	1	0	20	1	29	2	39604	4	205020100	8	205020300	12	205020500	20	205020700		
201	2	0	14	1	72			4	205020100	8	205020300	12	205020500	20	205020700		
202	2	0	14	1	72			4	205060100	8	205060300	12	205060500	20	205060700		
203	2	0	16	1	72			4	205010100	8	205010300	12	205010500	20	205010700		
204	2	0	18	1	73			4	205050100	8	205050300	12	205050500	20	205050700		
205	2	0	18	1	74			4	205020100	8	205020300	12	205020500	20	205020700		
206	2	0	20	1	75			4	205060100	8	205060300	12	205060500	20	205060700		
