特性组ID	特性ID1	特性ID2	特性ID3	特性ID4	特性ID5	特性ID6	特性ID7	特性ID8	特性ID9	特性ID10	特性ID11	特性ID12	特性ID13	特性ID14	特性ID15	特性ID16	特性ID17	特性ID18	特性ID19	特性ID20
10000001																				
10000002		1044	1051																	
10000003	1001	1042	1051																	
10000005		1043	1051																	
10000006	1001	1042	1054																	
10000007		1044	1051																	
10000014	1001	1044	1054																	
10000015	1001	1041	1051																	
10000016	1001	1041	1052																	
10000020	1001	1043	1052																	
10000021	1001	1044	1055																	
10000022	1001	1043	1055																	
10000023	1002	1044	1053																	
10000024	1002	1042	1052	1097																
10000025	1002	1043	1051	1098																
10000026	1002	1043	1053																	
10000027	1002	1042	1054																	
10000029	1001	1045	1054																	
10000030	1002	1041	1053	1099																
10000031	1001	1044	1055																	
10000032	1001	1043	1051																	
10000033	1002	1041	1055																	
10000034	1001	1044	1052	1096																
21010101	4001		4902																	
21010152	4001																			
21020101	4001		4902																	
21020201	4001	1052	4902																	
20010101	4002		4902	3005																
20010201	4002		4902	3005																
20010302	4002		4901																	
20010301	4002		4901																	
20010401	4002		4901																	
29010101																				
29010102																				
29010103																				
29020101																				
29020102																				
20020101	4004																			
20020201	4004			3005																
20040101	4004			3005																
20010501	4002		4902	3005																
20010601	4002		4902	3005																
20010701	4002		4902	3005																
20010801	4002		4902	3005																
20010901	4002		4902	3005																
20011001	4002		4902	3005																
20011101	4002		4902	3005																
20011002	4002																			
20040001	4002																			
20040002	4002																			
20040003	4002																			
20040004	4002																			
20040005	4002																			
20040006	4002																			
20040007	4002																			
20040008	4002																			
20030101			4901																	
21010201	4001	1051	4902																	
21010301	4001	1051	4902																	
21010401	4001	1055	4901																	
21010501	4001	1055	4901																	
21010601	4001		4901																	
21010602	4001																			
21010701	4001	1051	4902																	
21010901	4001	1055	4901																	
21011001	4001	1055	4901																	
21011101	4001																			
20011202	4002		4902	3005																
20011201	4002		4902	3005																
20011301	4002		4902	3005																
20011401	4002		4902	3005																
20011501	4002		4902	3005																
22010101	4004	1054	4901	3005																
22010201	4004	1054	4901	3005																
22010301	4004	1054	4901	3005																
21030101	4004	1054	4901																	
21030201	4004	1054	4901																	
21030301	4004	1054	4901																	
21030401	4004	1054	4901																	
24010101	4005																			
21010801	4001																			
21010102	4001																			
23030101		1054	4901																	
23020101		1051	4902																	
28010101	9001																			
28010102	9001																			
28010103	9001																			
28020101	9001																			
28020102	9001																			
28020201	9001																			
28030101	9001																			
28050101	9001																			
28010201	9001																			
28010202	9001																			
28010203	9001																			
28010301	9001																			
28010302	9001																			
28010303	9001																			
28020301	9001																			
28020302	9001																			
28030301	9001																			
28030302	9001																			
28030303	9001																			
28030304	9001																			
28030305	9001																			
28030401	9001																			
28030402	9001																			
28030403	9001																			
28030404	9001																			
28030501	9001																			
28040101	9001																			
28040102	9001																			
28040103	9001																			
28020401	9001																			
28020203	9001																			
25010101	4006	4901																		
25020101	4006	4902																		
25030101	4006	4901																		
25040101	4006	4901																		
25050101	4007	4901																		
25050201	4007	4901	4903																	
26010101	4008																			
26020101	4008																			
