ID	组ID	羁绊等级	角色等级ID	任务ID	故事标题$text_name_Title	故事内容$text_name_Story	语音标题$text_name_Audio	语音文件	奖励原石	奖励摩拉	解锁道具1ID	解锁道具1数量	解锁道具2ID	解锁道具2数量
1	1	2			吃多了	每天都要纠结吃什么，有点难					108005	5		
2	1	3			羁绊2	羁绊描述羁绊描述1			50					
3	1	4					这点程度…	1		5000				
4	1		10				可恶…	2			104001	5	100001	5
5	1			355			你会付出代价。	3			108005	5		
1001	100		1		暂未开放	暂未开放								
1002	1		10		暂未开放	暂未开放								
1003	1		20		暂未开放	暂未开放								
1004	1		30		暂未开放	暂未开放								
1005	1		40		暂未开放	暂未开放								
2001	1		5		暂未开放	暂未开放								
2002	1		10		暂未开放	暂未开放								
2003	1		20		暂未开放	暂未开放								
2004	1		30		暂未开放	暂未开放								
2005	1		40		暂未开放	暂未开放								
3001	1	1			暂未开放	暂未开放								
3002	1	2			暂未开放	暂未开放								
3003	1	3			暂未开放	暂未开放								
3004	1	4			暂未开放	暂未开放								
3005	1	5			暂未开放	暂未开放								
3006	1	6			暂未开放	暂未开放								
3100	7	1					初次见面…	1000						
3101	7	1					早上好…	1001						
3102	7	1					中午好…	1002						
3103	7	1					晚上好…	1003						
3104	7	1					晚安…	1004						
3105	7	1					闲聊·安定	1101						
3106	7	1					闲聊·剑	1102						
3107	7	1					闲聊·出神	1103						
3108	7	1					下雨的时候…	1201						
3109	7	1					打雷的时候…	1202						
3110	7	1					阳光很好…	1203						
3111	7	1					起风的时候…	1204						
3112	7	1					关于绫华自己…	2001						
3113	7	1					关于我们·「雷电五传」	2002						
3114	7	6					关于我们·巫女	2003						
3115	7	4					关于「神之眼」…	3001						
3116	7	1					有什么想要分享…	3002						
3117	7	1					感兴趣的见闻…	3003						
3118	7	4					关于托马…	4001						
3119	7	4					关于九条裟罗…	4002						
3120	7	4					关于早柚…	4003						
3121	7	4					关于八重樱…	4004						
3122	7	4					关于绫人…	4005						
3123	7	4					关于宵宫…	4006						
3124	7	1					想要了解绫华·其一	5001						
3125	7	3					想要了解绫华·其二	5002						
3126	7	4					想要了解绫华·其三	5003						
3127	7	5					想要了解绫华·其四	5004						
3128	7	6					想要了解绫华·其五	5005						
3129	7	1					绫华的爱好…	6001						
3130	7	1					绫华的烦恼…	6002						
3131	7	1					喜欢的食物…	6003						
3132	7	1					讨厌的食物…	6004						
3133	1	1					生日…	7001						
3134	7	3					突破的感受·起	8001						
3135	7	4					突破的感受·承	8002						
3136	7	5					突破的感受·转	8003						
3137	7	6					突破的感受·合	8004						
4001	8	1			角色详细	西风骑士团是守护蒙德的剑与盾。\n除了清扫荒野的魔物、守护城市与道路安全之外，骑士团最重要的工作是维护蒙德的秩序。\n虽说蒙德是自由之都，但无边际的散漫只会带来混沌与彷徨。\n琴非常明白这一道理，所以才坚持严谨刻苦的作风，以最严苛的要求对待自己。\n——然后一不留神，就在月初消耗完了当月所有的咖啡配额。								
4002	8	2			角色故事1	古恩希尔德家族是古老的骑士家族。据说自第一篇史诗写成之日，就已开始守护蒙德。\n但历史悠久的血脉必然伴随着沉重负担。琴自幼便被母亲作为骑士道继承者培养。\n象征骑士风度的形体、礼仪，锻造骑士灵魂的历史、诗歌，武装骑士精神的剑艺、体能……琴全都要训练。唯有如此，才能实践古恩希尔德的家训：「永护蒙德」。\n早年的酒馆里有这样一句玩笑话：古恩希尔德家族的长子长女，在学会喊「妈妈」之前，就已能够念出「永护蒙德」。\n从《林间风故事拔萃》抬起头，看见同龄孩子举着风车欢笑着跑过窗前。小小的琴，自然是明白其中含义的。\n而如今，从累牍公文中抬起头，看见蒙德的未来举着风车欢笑着跑过街道。代理团长大人对从前那些岁月依然毫无悔恨。\n「这是正确的事。无论多辛苦，正确的事就应全力以赴。」								
4003	8	3			角色故事2	「琴团长十分可靠。」\n「若是遇到难题，找她帮忙一定没错。」\n在蒙德，骑士和民众都十分仰赖琴。\n如果有人需要帮助，事情又合乎道理，那她一定会出手相助。\n即使是街市上的小口角，即使是恋爱的渺小烦恼…\n即使与骑士团的本职工作毫无关系，只要有人对琴开口，琴就会对他们伸出援手。\n「要问原因的话——帮助受困之人，不正是骑士职责所在吗？」\n对她而言，骑士的职责先于「代理团长」的勤务。对她而言，亲手帮助有需要的人最为实在。\n这也是她对麾下骑士的要求。\n图书管理员丽莎曾经劝琴放松，「应该适当享受淑女的下午茶时光」。\n可对琴来说，骑士的职责先于淑女的身份。\n「琴团长十分可靠。」\n人们一如既往地给予她这一评价。\n令她烦恼的是，一天时间只有那么多。即使牺牲睡眠，也无法帮助所有人。\n要成为可靠的人，需要付出难以想象的努力。								
4004	8	4			角色故事3 	琴代行团长职责的如今，不少人已经忘记在她之上仍有一位「大团长」。\n而她本人从未在意过这种事。骑士团内的地位与称号丝毫不会影响她行事的原则。\n热忱、正直与一丝不苟，琴身上这些优良品质有两大来源。\n其一是自幼接受的教育和训练已将骑士道精神深深植入她灵魂深处。\n其二是现已缺席的西风骑士团团长法尔伽对她悉心教导。\n洒脱而散漫的北风骑士法尔伽，他给琴的成长带来了巨大影响。\n「大团长，请您认真对待工作，直面蒙德对您的期待。」\n「小姑娘，你是我的副手，为我分担工作天经地义。这样大团长才有精力做更重要的事啊。」\n「……」\n他是征服与创造传奇的骑士，而她是守护和平与自由的骑士。\n琴并不讨厌法尔伽。法尔伽的行事风格或许有其独到之处。琴需要完成的，是那些大团长没完成的正确之事。\n半年前，法尔伽率领西风骑士中的精锐再一次离开蒙德，踏上远征之路。\n远征——这是很符合大团长风格的冒险。\n「骑士团就交给你了。反正这些年也是你在做团长的工作。」\n「放心交给我吧，大团长。」\n站在窗前目送团长的她心想：\n等你回来，将会见到一座更加温暖、繁荣、平和的蒙德城。								
4005	8	5			角色故事4	风起地的神树，是初代「蒲公英骑士」道路的终点。\n据记载，建立西风骑士团、重振蒙德的初代蒲公英骑士温妮莎，曾在生命结束之刻来到此地。\n她永别了衷心守护的城邦，留下传奇与一株树苗。\n这株树苗在千风的眷顾中，在无数的日月照耀下，成长为参天巨木。\n琴十五岁时获授「蒲公英骑士」之名。\n蒲公英骑士又名狮牙骑士。它随骑士团制度一同沿袭至今，是最杰出的骑士才能获得的荣誉。\n那日授衔仪式结束后，琴从庆祝活动中悄然离开，追随着一直憧憬的英雄骑士的脚步，来到那棵大树前。\n「蒲公英骑士」之名象征着温妮莎的抗争与仁爱。自己如何能拥有资格，来继承如此伟大的称号？\n蒙德城重建至今已逾千年。自己何德何能，能守护这座古老、自由、骄傲的城邦？\n隐藏在稳重成熟外表下的，是一颗刚刚完成骑士礼，尚未做好准备的少女之心。\n风从远方吹来，将骑士拥入怀中，轻柔地拂去她的疑虑与不安，展露出黄金般的决心：\n「永护蒙德」。\n——成为温妮莎那样温柔坚定的战士，为同胞战斗，为自由抗争。这便是那句简明严厉的家训中蕴含的心意吧。\n如今，每当感到疲惫动摇，琴仍会来到这棵树下，接受风的洗礼。风洗净她的困顿，令她重拾前行的力量。\n风起地的神树是初代「狮牙骑士」道路的终点。\n同时，也是「蒲公英骑士」琴的起点。								
4006	8	6			角色故事5	暂未开放								
4007	8	1			琴团长生活作息表·第十七版	暂未开放								
4008	8	1			神之眼	暂未开放								
4100	8	1					初次见面…	1000						
4101	8	1					早上好…	1001						
4102	8	1					中午好…	1002						
4103	8	1					晚上好…	1003						
4104	8	1					晚安…	1004						
4105	8	1					闲聊·行动	1101						
4106	8	1					闲聊·骑士团	1102						
4107	8	1					闲聊·目标	1103						
4108	8	1					下雨的时候…	1201						
4109	8	1					雨过天晴…	1202						
4110	8	1					下雪的时候…	1203						
4111	8	1					起风的时候…	1204						
4112	8	1					刮大风了…	1205						
4113	8	1					关于琴自己…	2001						
4114	8	1					关于我们·信条	2002						
4115	8	6					关于我们·誓言	2003						
4116	8	6					关于我们·任务	2004						
4117	8	4					关于「神之眼」…	3001						
4118	8	1					有什么想要分享…	3002						
4119	8	1					感兴趣的见闻…	3003						
4120	8	4					关于芭芭拉…	4001						
4121	8	4					关于丽莎…	4002						
4122	8	4					关于安柏…	4003						
4123	8	4					关于凯亚…	4004						
4124	8	4					关于可莉…	4005						
4125	8	4					关于阿贝多…	4006						
4126	8	4					关于法尔伽…	4007						
4127	8	4					关于诺艾尔…	4008						
4128	8	4					关于罗莎莉亚…	4009						
4129	8	4					关于迪卢克·愧欠	4010						
4130	8	4					关于迪卢克·钦佩	4011						
4131	8	1					想要了解琴·其一	5001						
4132	8	3					想要了解琴·其二	5002						
4133	8	4					想要了解琴·其三	5003						
4134	8	5					想要了解琴·其四	5004						
4135	8	6					想要了解琴·其五	5005						
4136	8	1					琴的爱好…	6001						
4137	8	1					琴的烦恼…	6002						
4138	8	1					喜欢的食物…	6003						
4139	8	1					讨厌的食物…	6004						
4140	1	1					生日…	7001						
4141	8	3					突破的感受·起	8001						
4142	8	4					突破的感受·承	8002						
4143	8	5					突破的感受·转	8003						
4144	8	6					突破的感受·合	8004						
5001	9	1			角色详细	西风骑士团的图书管理员，胸怀万卷的优雅淑女。\n据说她是须弥教令院两百年一遇的天才魔女。\n虽然不知道具体理由，但在须弥国进修两年之后，她最终回到了蒙德。\n目前，丽莎在西风骑士团工作，职位是管理骑士团藏书的图书管理员。								
