Gacha根ID	道具ID	类型	概率权重	闪卡概率
10001	1016	11	100	0
10001	1003	11	100	0
10001	1022	11		0
10001	1030	11		0
10001	1026	11		0
10001	1029	11		0
10001	1006	12	100	0
10001	1014	12	100	0
10001	1015	12	100	0
10001	1020	12	100	0
10001	1021	12	100	0
10001	1023	12	100	0
10001	1024	12	100	0
10001	1025	12	100	0
10001	1027	12	100	0
10001	1031	12	100	0
10001	1032	12	100	0
10001	1034	12	100	0
10001	11501	21	100	0
10001	11502	21	100	0
10001	12501	21	100	0
10001	12502	21	100	0
10001	13504	21	100	0
10001	13505	21	100	0
10001	14501	21	100	0
10001	14502	21	100	0
10001	15501	21	100	0
10001	15502	21	100	0
10001	11401	22	100	0
10001	11402	22	100	0
10001	11404	22	100	0
10001	11407	22	100	0
10001	12401	22	100	0
10001	12402	22	100	0
10001	12404	22	100	0
10001	12406	22	100	0
10001	13401	22	100	0
10001	13404	22	100	0
10001	14401	22	100	0
10001	14402	22	100	0
10001	14403	22	100	0
10001	14404	22	100	0
10001	15401	22	100	0
10001	15402	22	100	0
10001	15403	22	100	0
10001	15404	22	100	0
10001	11405	22	100	0
10001	12405	22	100	0
10001	14407	22	100	0
10001	14408	22	100	0
10001	15405	22	100	0
10001	11301	23	100	0
10001	11302	23	100	0
10001	11306	23	100	0
10001	12301	23	100	0
10001	12302	23	100	0
10001	12305	23	100	0
10001	13303	23	100	0
10001	14301	23	100	0
10001	14302	23	100	0
10001	14304	23	100	0
10001	15301	23	100	0
10001	15302	23	100	0
10001	15304	23	100	0
10001	11304	23	100	0
10001	12304	23	100	0
10001	14306	23	100	0
10001	15306	23	100	0
10002	1016	11	100	0
10002	1003	11	100	0
10002	1022	11		0
10002	1030	11		0
10002	1026	11		0
10002	1029	11		0
10002	1006	12	100	0
10002	1014	12	100	0
10002	1015	12	100	0
10002	1020	12	100	0
10002	1021	12	100	0
10002	1023	12	100	0
10002	1024	12	100	0
10002	1025	12	100	0
10002	1027	12	100	0
10002	1031	12		0
10002	1032	12	100	0
10002	1034	12	100	0
10002	11501	21	100	0
10002	11502	21	100	0
10002	12501	21	100	0
10002	12502	21	100	0
10002	13504	21	100	0
10002	13505	21	100	0
10002	14501	21	100	0
10002	14502	21	100	0
10002	15501	21	100	0
10002	15502	21	100	0
10002	11401	22	100	0
10002	11402	22	100	0
10002	11404	22	100	0
10002	11407	22	100	0
10002	12401	22	100	0
10002	12402	22	100	0
10002	12404	22	100	0
10002	12406	22	100	0
10002	13401	22	100	0
10002	13404	22	100	0
10002	14401	22	100	0
10002	14402	22	100	0
10002	14403	22	100	0
10002	14404	22	100	0
10002	15401	22	100	0
10002	15402	22	100	0
10002	15403	22	100	0
10002	15404	22	100	0
10002	11405	22	100	0
10002	12405	22	100	0
10002	14407	22	100	0
10002	14408	22	100	0
10002	15405	22	100	0
10002	11301	23	100	0
10002	11302	23	100	0
10002	11306	23	100	0
10002	12301	23	100	0
10002	12302	23	100	0
10002	12305	23	100	0
10002	13303	23	100	0
10002	14301	23	100	0
10002	14302	23	100	0
10002	14304	23	100	0
10002	15301	23	100	0
10002	15302	23	100	0
10002	15304	23	100	0
10002	11304	23	100	0
10002	12304	23	100	0
10002	14306	23	100	0
10002	15306	23	100	0
10003	1016	11	100	0
10003	1003	11	100	0
10003	1022	11		0
10003	1030	11		0
10003	1026	11		0
10003	1029	11		0
10003	1006	12	100	0
10003	1014	12	100	0
10003	1015	12	100	0
10003	1020	12	100	0
10003	1021	12	100	0
10003	1023	12	100	0
10003	1024	12	100	0
10003	1025	12		0
10003	1027	12	100	0
10003	1031	12		0
10003	1032	12	100	0
10003	1034	12	100	0
10003	11501	21	100	0
10003	11502	21	100	0
10003	12501	21	100	0
10003	12502	21	100	0
10003	13504	21	100	0
10003	13505	21	100	0
10003	14501	21	100	0
10003	14502	21	100	0
10003	15501	21	100	0
10003	15502	21	100	0
10003	11401	22	100	0
10003	11402	22	100	0
10003	11404	22	100	0
10003	11407	22	100	0
10003	12401	22	100	0
10003	12402	22	100	0
10003	12404	22	100	0
10003	12406	22	100	0
10003	13401	22	100	0
10003	13404	22	100	0
10003	14401	22	100	0
10003	14402	22	100	0
10003	14403	22	100	0
10003	14404	22	100	0
10003	15401	22	100	0
10003	15402	22	100	0
10003	15403	22	100	0
10003	15404	22	100	0
10003	11405	22	100	0
10003	12405	22	100	0
10003	14407	22	100	0
10003	14408	22	100	0
10003	15405	22	100	0
10003	11301	23	100	0
10003	11302	23	100	0
10003	11306	23	100	0
10003	12301	23	100	0
10003	12302	23	100	0
10003	12305	23	100	0
10003	13303	23	100	0
10003	14301	23	100	0
10003	14302	23	100	0
10003	14304	23	100	0
10003	15301	23	100	0
10003	15302	23	100	0
10003	15304	23	100	0
10003	11304	23	100	0
10003	12304	23	100	0
10003	14306	23	100	0
10003	15306	23	100	0
20001	1016	11	100	0
20001	1003	11	100	0
20001	1014	12	100	0
20001	1020	12	100	0
20001	1023	12	100	0
20001	1024	12	100	0
20001	1027	12	100	0
20001	1032	12	100	0
20001	1034	12	100	0
20001	11501	21	100	0
20001	11502	21	100	0
20001	12501	21	100	0
20001	12502	21	100	0
20001	13504	21	100	0
20001	13505	21	100	0
20001	14501	21	100	0
20001	14502	21	100	0
20001	15501	21	100	0
20001	15502	21	100	0
20001	11401	22	100	0
20001	11402	22	100	0
20001	11404	22	100	0
