等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值
1	1	2	4.5173	2	2	4.892914	12	2	1	17	2	4.89	16	2	1
2	1	2	5.661072	2	2	4.839482	12	2	1.333333	17	2	4.839482	16	2	2
3	1	2	6.913428	2	2	4.968197	12	2	1.666667	17	2	4.968197	16	2	3
4	1	2	8.273925	2	2	5.198691	12	2	2	17	2	5.198691	16	2	4
5	1	2	9.741387	2	2	5.496727	12	2	2.333333	17	2	5.496727	16	2	5
6	1	2	11.317211	2	2	5.842047	12	2	2.666667	17	2	5.842047	16	2	6
7	1	2	13.002577	2	2	6.227795	12	2	3	17	2	6.227795	16	2	7
8	1	2	13.84629	2	2	6.559669	12	2	3.333333	17	2	6.559669	16	2	8
9	1	2	14.941107	2	2	6.918126	12	2	3.666667	17	2	6.918126	16	2	9
10	1	2	17.050721	2	2	7.391676	12	2	4	17	2	7.391676	16	2	10
11	1	2	18.857627	2	2	7.909324	12	2	4.333333	17	2	7.909324	16	2	11
12	1	2	20.753828	2	2	8.45736	12	2	4.666667	17	2	8.45736	16	2	12
13	1	2	22.742491	2	2	9.036005	12	2	5	17	2	9.036005	16	2	13
14	1	2	24.884938	2	2	9.664765	12	2	5.333333	17	2	9.664765	16	2	14
15	1	2	27.121466	2	2	10.325947	12	2	5.666667	17	2	10.325947	16	2	15
16	1	2	30.170716	2	2	11.020391	12	2	6	17	2	11.020391	16	2	16
17	1	2	33.568978	2	2	12.169719	12	2	6.333333	17	2	12.169719	16	2	17
18	1	2	36.805506	2	2	13.352795	12	2	6.666667	17	2	13.352795	16	2	18
19	1	2	40	2	2	14.570152	12	2	7	17	2	14.570152	16	2	19
20	1	2	44.29785	2	2	15.698823	12	2	7.333333	17	2	15.698823	16	2	20
21	1	2	47.579064	2	2	16.968507	12	2	7.666667	17	2	16.968507	16	2	21
22	1	2	51.103799	2	2	18.266941	12	2	8	17	2	18.266941	16	2	22
23	1	2	54.815003	2	2	19.572673	12	2	8.333333	17	2	19.572673	16	2	23
24	1	2	58.92528	2	2	20.906759	12	2	8.666667	17	2	20.906759	16	2	24
25	1	2	66.093271	2	2	22.291357	12	2	9	17	2	22.291357	16	2	25
26	1	2	69.570671	2	2	23.025566	12	2	9.333333	17	2	23.025566	16	2	26
