ID	默认阵营	类型	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	$#VersionBegin	$#VersionEnd
50004001	0	9	MonEquip_WoodenClub_01			1				Default_MonsterWeapon		
50004002	0	9	MonEquip_Shield_01			1				Default_MonsterWeapon		
50004003	0	9	MonEquip_WoodenClub_Fire_01			1				Default_MonsterWeapon		
50004004	0	9	MonEquip_Crossbow_01			1				Default_MonsterWeapon		
50004006	0	9	MonEquip_Staff_Fire_01			1				Default_MonsterWeapon		
50004007	0	9	MonEquip_Staff_Ice_01			1				Default_MonsterWeapon		
50004008	0	9	MonEquip_Staff_Water_01			1				Default_MonsterWeapon		
50004009	0	9	MonEquip_Wand_Water_01			1				Default_MonsterWeapon		
50004010	0	9	MonEquip_Wand_Grass_01			1				Default_MonsterWeapon		
50004011	0	9	MonEquip_WoodenClub_02			1				Default_MonsterWeapon		
50004012	0	9	MonEquip_Shield_02			1				Default_MonsterWeapon		
50004013	0	9	MonEquip_Axe_01			1				Default_MonsterWeapon		
50004014	0	9	MonEquip_Wand_Wind_01			1				Default_MonsterWeapon		
50004015	0	9	MonEquip_Torch_01			1				Default_MonsterWeapon		
50004016	0	9	MonEquip_WoodenClub_Grass_01			1				Default_MonsterWeapon		
50004017	0	9	MonEquip_Crossbow_Fire_01			1				Default_MonsterWeapon		
50004018	0	9	MonEquip_Crossbow_Ice_01			1				Default_MonsterWeapon		
50004019	0	9	MonEquip_Crossbow_Thunder_01			1				Default_MonsterWeapon		
50004020	0	9	MonEquip_Torch_02			1				Default_MonsterWeapon		
50004021	0	9	MonEquip_Warglaive_Fire_01			1				Default_MonsterWeapon		
50004022	0	9	MonEquip_Shield_02_Rock			1				Default_MonsterWeapon		
50004023	0	9	MonEquip_Shield_01_Rock			1				Default_MonsterWeapon		
50004024	0	9	MonEquip_RockClub_01			1				Default_MonsterWeapon		
50004025	0	9	MonEquip_Crossbow_02			1				Default_MonsterWeapon		
50004026	0	9	MonEquip_Hatchet_01			1				Default_MonsterWeapon		
50004027	0	9	MonEquip_Shovel_01			1				Default_MonsterWeapon		
50004028	0	9	MonEquip_Pole_01			1				Default_MonsterWeapon		
50004029	0	9	MonEquip_Wand_Rock_01			1				Default_MonsterWeapon		
