ID	默认阵营	类型	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	$#VersionBegin	$#VersionEnd
70000001	9001	10	Grass01		1					Default_Item		
70000002	9002	20	Water01		1					Default_Item		
70000003	9001	36	Tree01		1					Default_Item		
70000004	9001	37	Bush01		1					Default_Item		
70000005	9001	37	Bush02		1					Default_Item		
70000006	9001	37	Foxtail_Grass01		1					Default_Item		
70000007	9001	37	Foxtail_Grass02		1							
70000008	9001	37	Bush_Yellow		1							
70000009	9001	39	Storm_Lightning		1							
70010001	0	13								Default_Item		
70010002	0	15								Default_Item		
70010003	0	15								Default_Item		
70010004	0	15								Default_Item		
70010005	0	15								Default_Item		
70010006	0	18	LocalTrigger							Default_Item		
70020001	4001	19	Enviro01					3		Default_Item		
70020002	4001	19	Enviro02					3		Default_Item		
70020003	4001	19	Enviro03					3		Default_Item		
70110001	0	13	SceneObj_Resident_Goddess		1							
70110002	0	15	SceneObj_Resident_Teleport		1							
70110003	0	15										
70110004	0	13	SceneObj_Resident_Goddess_LY		1							
70110005	0	15	SceneObj_Resident_WormHoleGate02									
70120001	5001	15	SceneObj_Resident_DungeonEntry_MengDe01		1							
70120002	5001	15	SceneObj_Resident_DungeonEntry_MengDe02		1							
70120003	0	15	SceneObj_Resident_CheckPoint					1				
70120004	0	15						1				
70120005	0	15	DungeonEntry_Dvalin					1				
70120006	5001	15	SceneObj_Resident_DungeonEntry_Temp		1							
70120007	5001	15	SceneObj_Resident_DungeonEntry_Temp_3d		1							
70130001	5001	19	Windmill	1				2				
70130002	5001	19	Windmill	1				2				
70130003	5001	19	Windmill	1				2				
70200011	5001	19	HealingBarrel							Default_Item		
70210001	5001	26	SceneObj_Chest_NormalChest		1		1	1	Chest_Interact	Default_Item		
70210002	5001	26	SceneObj_Chest_NormalChest		1		1	1	Chest_Interact	Default_Item		
70210003	5001	26	SceneObj_Chest_NormalChest		1		1	1	Chest_Interact	Default_Item		
70210004	5001	26	SceneObj_Chest_NormalChest		1		1	1	Chest_Interact	Default_Item		
70210005	5001	26	SceneObj_Chest_NormalChest		1		1	1	Chest_Interact	Default_Item		
70210006	5001	26	SceneObj_Chest_NormalChest		1		1		Chest_Interact	Default_Item		
70210007	5001	26	SceneObj_Chest_Test_FM02	1	1		1		Chest_Interact	Default_Item		
70210008	5001	26	SceneObj_Chest_Drop_Chest		1		1	1	Chest_Drop_Interact	Default_Item		
70210011	5001	26	SceneObj_Chest_Default_Lv1		1		1	2			0.2	
70210012	5001	26	SceneObj_Chest_Locked_Lv1		1		1	2			0.2	
70210013	5001	26	SceneObj_Chest_Bramble_Lv1		1		1	2	Chest_Interact		0.2	
70210014	5001	26	SceneObj_Chest_Frozen_Lv1		1		1	2	Chest_Interact		0.2	
70210021	5001	26	SceneObj_Chest_Default_Lv2		1		1	2			0.2	
70210022	5001	26	SceneObj_Chest_Locked_Lv2		1		1	2			0.2	
70210023	5001	26	SceneObj_Chest_Bramble_Lv2		1		1	2	Chest_Interact		0.2	
70210024	5001	26	SceneObj_Chest_Frozen_Lv2		1		1	2	Chest_Interact		0.2	
70210031	5001	26	SceneObj_Chest_Default_Lv3		1		1	2			0.2	
70210032	5001	26	SceneObj_Chest_Locked_Lv3		1		1	2			0.2	
70210033	5001	26	SceneObj_Chest_Bramble_Lv3		1		1	2	Chest_Interact		0.2	
