ID	默认阵营	类型	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	$#VersionBegin	$#VersionEnd
42001001	4001	19	Slime_IceCone_AimPoint							Default_Item		
42001002	4001	3	Slime_RockThrow	1						Default_Item		
42001003	4001	3	Slime_Bubble	1						Default_Item		
42001004	4001	3	Slime_IceCone	1						Default_Item		
42001005	4001	19	Slime_IceFog							Default_Item		
42001006	4001	3	Slime_Current	1						Default_Item		
42001007	4001	3	Slime_AirAtk	1						Default_Item		
42001010	4001	19	Slime_WindZone_02							Default_Item		
42001011	4001	19	Slime_WindZone_03							Default_Item		
42001012	4001	3	Slime_Seed	1						Default_Item		
42001013	4001	3	Slime_SeedAtk	1						Default_Item		
42001014	4001	19	Slime_SeedGrow							Default_Item		
42001015	4001	3	Slime_SeedFloat	1						Default_Item		
42001016	1001	23	Slime_Airflow							Default_Item		
42001017	4001	19	Slime_FireTrail							Default_Item		
42001018	4001	19	Slime_SelfExplosion_01							Default_Item		
42001019	4001	19	Slime_SelfExplosion_02							Default_Item		
42001020	4001	19	Slime_SelfExplosion_03							Default_Item		
42001021	4001	3	Slime_Bubble_Bounce	1						Default_Item		
42001022	4001	3	Slime_Bubble_Float	1						Default_Item		
42001023	4001	3	Slime_FindHome_FireBall	1						Default_Item		
42001024	4001	3	Slime_Bubble_Missile	1						Default_Item		
42001025	4001	19	Slime_FireBall_RigidBody	1						Default_Item		
42002001	4001	19	Elemental_AirflowField							Default_Item		
42002002	4001	19	Elemental_EarthWrath							Default_Item		
42002003	1001	23	Elemental_Airflow							Default_Item		
42002101	4001	19	Elemental_ElectircRebornPart							Default_Item		
42003001	4001	3	Cicin_ElectricBall	1						Default_Item		
42003002	4001	19	Cicin_BlinkPoint							Default_Item		
42003003	4001	3	Cicin_ThunderEnergy	1						Default_Item		
42003004	4001	3	Cicin_WaterBall	1						Default_Item		
42004001	4001	3	Effigy_ElectricBarrage	1						Default_Item		
42004002	4001	3	Effigy_ElectricBullet	1						Default_Item		
42004003	4001	19	Effigy_ElectricBarrageEmitter							Default_Item		
42004004	4001	19	Effigy_ElectricDefenceCentre							Default_Item		
42004005	4001	19	Effigy_ElectricDefencePart							Default_Item		
42004006	4001	19	Effigy_InitialPos							Default_Item		
42004007	4001	19	Effigy_DefencePartCurrent							Default_Item		
42004008	4001	19	Effigy_ThunderDrop							Default_Item		
42004009	4001	19	Effigy_AreaAtkLaser							Default_Item		
42004010	4001	19	Effigy_RebornPart							Default_Item		
42004011	4001	3	Effigy_CreateRebornPart	1						Default_Item		
42004012	4001	19	Effigy_RushPos							Default_Item		
42004101	4001	3	Effigy_WindFall	1						Default_Item		
42004102	4001	19	Effigy_WindFallPosition							Default_Item		
42004103	1001	23	Effigy_AirFlow							Default_Item		
42004104	4001	19	Effigy_TornadoEmitter							Default_Item		
42004105	4001	3	Effigy_StaticElementBall_Wind							Default_Item		
42004106	4001	3	Effigy_StaticElementBall_Fire							Default_Item		
