ID	默认阵营	类型	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	$#VersionBegin	$#VersionEnd
70300003	1001	19	FlyRaceCoin							Default_Item		
70300004	1001	19	FlyRaceCoin							Default_Item		
70300005	1001	19	FlyRaceCoin							Default_Item		
70300006	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item		0.1
70300007	1001	22	SceneObj_Gather_Default_Gather							Default_Item		
70300008	1001	22	SceneObj_Gather_Default_Gather							Default_Item		
70300009	1001	22	SceneObj_Gather_Default_Gather							Default_Item		
70300010	1001	22	SceneObj_Gather_Default_Gather							Default_Item		
70300011	1001	22	SceneObj_Gather_Default_Gather							Default_Item		
70300012	1001	22	SceneObj_Gather_Default_Gather							Default_Item		
70300013	5001	19	DragonFeather		1			2		Default_Item		
70300014	5001	19	DragonFeather_HP		1			1		DragonFeather_HP		0.1
70300015	5001	19	DragonFeather_HP		1			1		DragonFeather_HP		0.1
70300016	5001	19	DragonFeather_HP		1			1		DragonFeather_HP		0.1
70300017	1001	18	Dummy_Safe	1	1					Default_Item		0.1
70300018	5001	19	DragonFeather							Default_Item		0.1
70300020	1001	22								Default_Item		
70300021	1001	19								Default_Item		
70300022	1001	19								Default_Item		
70300023	1001	19								Default_Item		
70300024	1001	19								Default_Item		
70300031	1001	19						2		Default_Item		
70300032	1001	19								Default_Item		
70300036	1001	3	Sneak_Crouch_Throw	1	1					Default_Item		
70300037	1001	19	ElementTrack							Default_Item		
70300038	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item		
70300039	5001	19	DragonFeather					2		Default_Item		
70300040	1001	19								Default_Item		
70300041	1001	19								Default_Item		
70300042	1001	19								Default_Item		
70300043	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item		
70300044	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item		
70300045	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item		
70300046	5001	19	DragonFeather					1		Default_Item		0.1
70300047	5001	19	TransparentHitSphere					1		TransparentHitSphere		0.1
70300048	1001	19										
70300049	1001	19								Default_Item		
70300050	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item		
70300051	5001	19						3		Default_NoDrop_Item		0.1
70300052	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
70300053	5001	19	SceneObj_Gear_Platform_NormalPlatform								0.2	
70300054	5001	19	DragonFeather_HP		1			1		DragonFeather_HP		
70300055	1001	19	SceneObj_Environment_Quest_GrapeStick							Default_Item		
70300056	5001	32	DragonFeather_Move	1				1		DragonFeather_Move		
70300057	5001	19	Guide_Point_Move	1				3		Guide_Point_Move		
70300058	1001	23	AirflowFieldBlue					3		Default_Item		
70300059	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item		
70300060	1001	19								Default_Item		
70300061	1001	19								Default_Item		
70300062	1001	19								Default_Item		
70300063	1001	19								Default_Item		
70300064	1001	19	FlyRaceCoin							Default_Item		0.1
70300065	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item		0.1
70300066	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item		
70300067	1001	23	AirflowFieldBlue					3		Default_Item		
70300068	1001	23	AirflowFieldBlue					3		Default_Item		
70300069	1001	19						2		Default_Item		
70300070	1001	19	AmborTaskTrack							Default_Item		
70300071	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
70300072	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
70300073	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
70300074	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item		
70700003	9001	19						2		Default_Item		0.1
70700004	9001	19	Env_Mengde_WindDragon_01					3		Env_Mengde_WindDragon_01		0.1
70700005	1001	38	LisaBookGather				1			Default_NoDrop_Item	0.2	
70700006	1001	19	LisaCompass							Default_Item		0.1
70700007	1001	38	SceneObj_Gather_Default_Gather							Default_NoDrop_Item	0.2	
70700008	1001	38	SceneObj_Gather_Default_Gather							Default_NoDrop_Item	0.2	
70700009	1001	38	SceneObj_Gather_Default_Gather							Default_NoDrop_Item	0.2	
70700010	1001	19								Default_Item		0.1
70700011	1001	19								Default_Item		0.1
70700012	1001	19	SceneObj_DvalinEntry_Shake									0.1
70700013	1001	19										0.1
70700014	1001	19										0.1
70700015	1001	38	SceneObj_Gather_Default_Gather							Default_NoDrop_Item	0.2	
70700016	1001	38	SceneObj_Gather_Default_Gather							Default_NoDrop_Item	0.2	
70700017	1001	19										0.1
70710004	1001	23	AirflowFieldBlue					2		Default_Item		0.1
70710005	1001	23	AirflowFieldBlue					2		Default_Item		0.1
70710008	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
70710009	1001	38	SceneObj_Gather_Default_Gather				1	2		Default_NoDrop_Item	0.2	
70710011	1001	38	SceneObj_Gather_Default_Gather							Default_Item		
70710012	1001	38	SceneObj_Gather_Default_Gather							Default_Item		
70710013	1001	38	SceneObj_Gather_Default_Gather							Default_Item		
70710014	1001	19	ElementTrackCat							Default_Item		
70710015	1001	38	SceneObj_Gather_Default_Gather							Default_Item_WithQuest		
70710016	1001	19										
70710017	1001	19										
70710018	1001	19										
70710019	1001	19										
70710020	1001	22	SceneObj_Gather_Default_Gather							Default_Item		
70710021	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
70710022	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
70710023	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
70710024	1001	30	SceneObj_Quest_FindCat	1			1					
70710025	1001	19	SceneObj_Quest_Fish	1						Default_Item		
70710026	1001	19	SceneObj_Quest_Fish	1						Default_Item		
70710027	1001	19										
70710028	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
70710029	1001	38									0.2	
70710030	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item		
70710031	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item		
70710032	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item		
70710033	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item		
70710034	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
70710035	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
70710036	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
70710037	1001	19								Default_Item		0.1
70710038	1001	19								Default_Item		0.1
70710039	1001	19								Default_Item		0.1
70710040	1001	38	SceneObj_Gather_Default_Gather				1			Default_NoDrop_Item	0.2	
