ID	血量	血量成长曲线	攻击	攻击成长曲线	防御	防御成长曲线
70220001	1358.4	1	25.1	2	45	12
70220002	1358.4	1	25.1	2	45	12
70220003	1358.4	1	5	2	45	12
70220004	1358.4	1	17	1	45	12
70220005	1358.4	1	17	1	45	12
70220007	1358.4	1	5	2	45	12
70220023	1358.4	1	25.1	2	45	12
70220035	1358.4	1	17	1	45	12
70310001	1358.4	1	25.1	2	45	12
70310002	1358.4	1	25.1	2	45	12
70310003	1358.4	1	25.1	2	45	12
70310004	1358.4	1	25.1	2	45	12
70320001	1358.4	1	100.5	2	45	12
70320002	1358.4	1	100.5	2	45	12
70380004	600	1	49.3	2	45	12
70900006	1358.4	1	0	2	45	12
70900007	1358.4	1	0	2	45	12
70900008	1358.4	1	0	2	45	12
70900009	1358.4	1	0	2	45	12
70900010	1358.4	1	0	2	45	12
70900011	1358.4	1	0	2	45	12
70900012	1358.4	1	100.5	2	45	12
70900013	1358.4	1	100.5	2	45	12
70900020	1358.4	1	0	2	45	12
70900021	1358.4	1	0	2	45	12
70510001	1358.4	1	10	2	45	12
70510002	1358.4	1	10	2	45	12
70510003	1358.4	1	10	2	45	12
70510004	1358.4	1	10	2	45	12
70510005	1358.4	1	10	2	45	12
70510006	1358.4	1	10	2	45	12
70510007	1358.4	1	10	2	45	12
70300055	200	1	0	2	45	12
70900238	1358.4	1	10	2	45	12
70900239	1358.4	1	10	2	45	12
70900244	1358.4	1	10	2	45	12
70900245	1358.4	1	10	2	45	12
70220020	1358.4	1	25.1	2	45	12
70220028	1358.4	1	10	2	45	12
70380006	1358.4	1	75.4	2	45	12
70900037	1358.4	1	100.5	2	45	12
70900207	1358.4	1	25.1	2	45	12
70900208	1358.4	1	12.6	2	45	12
70900230	1358.4	1	12.6	2	45	12
70900248	13.584	1	25.1	2	45	12
70900249	1358.4	1	12.6	2	45	12
70900281	1358.4	1	5	2	45	12
70900301	1358.4	1	25.1	2	45	12
70300075	35.86176	1	0	2	45	12
70300076	35.86176	1	0	2	45	12
70300077	6.792	1	0	2	45	12
70300078	6.792	1	0	2	45	12
70300079	400	1	49.3	2	10	12
70300091	120	1	0	2	45	12
70300083	20	1	0	2	45	12
70300087	20	1	0	2	0	12
70300111	11	1	0	2	0	12
70300113	11	1	0	2	0	12
70220034	1358.4	1	25.1	1	45	12
70360016	1358.4	1	2.5	2	45	12
70360017	1358.4	1	2.5	2	45	12
70360018	1358.4	1	2.5	2	45	12
70360020	6.792	1	2.5	2	45	12
70360021	1358.4	1	50.2	2	45	12
70360022	1358.4	1	50.2	2	45	12
70350021	1358.4	1	25.1	2	45	12
70350027	1358.4	1	25.1	2	45	12
70900275	1358.4	1	75.4	2	45	12
70900269	1358.4	1	5	2	45	12
70350023	500	16	0	2	45	12
70350019	1358.4	1	25.1	2	45	12
70350035	500	16	0	2	45	12
70350036	361.728	17	0	2	45	12
