ID	基本物件ID	[挂节点]1ID	[挂节点]1类型	[挂节点]1偏移X	[挂节点]1偏移Y	[挂节点]1偏移Z	[挂节点]1旋转X	[挂节点]1旋转Y	[挂节点]1旋转Z	[挂节点]2ID	[挂节点]2类型	[挂节点]2偏移X	[挂节点]2偏移Y	[挂节点]2偏移Z	[挂节点]2旋转X	[挂节点]2旋转Y	[挂节点]2旋转Z	[挂节点]3ID	[挂节点]3类型	[挂节点]3偏移X	[挂节点]3偏移Y	[挂节点]3偏移Z	[挂节点]3旋转X	[挂节点]3旋转Y	[挂节点]3旋转Z	[挂节点]4ID	[挂节点]4类型	[挂节点]4偏移X	[挂节点]4偏移Y	[挂节点]4偏移Z	[挂节点]4旋转X	[挂节点]4旋转Y	[挂节点]4旋转Z
1	70290002	70500000	3001	-1.071	1.618	0.714		265		70500000	3001	0.87	2.628	-1.011		314		70500000	3001	0.043	2.908	1.381											
2	70290001	70500000	3002	0.017	0.569	0.401				70500000	3002	-0.065	0.855	-0.396				70500000	3002	0.268	1.267	-0.103											
3	70290003	70500000	3003	0	0.103	-0.091				70500000	3003	0	0.103	0.101																			
4	70290004	70500000	3003	-1.179	7.043	0.494				70500000	3003	-1.179	7.043	0.754																			
5	70290008	70500000	3008	0	0	0																											
6	70290009	70500000	3005	0	0	0																											
7	70290010	70500000	3006	0	0	0																											
8	70290011	70500000	3009	0	0	0																											
9	70900233	70500000	6667	0	1	0				70500000	6668	0	1	0																			
10	70290012	70500000	3101	-11.8	6.5	-2.03																											
11	70290013	70500000	2016	0	0	0				70500000	2016	0.7637	0.5487	-0.0038	80.732	-162.231	-76.523	70500000	2016	-0.2815	-0.1273	-0.0214	-16.358	-29.3	-18.428								
12	70290014	70500000	2015	-0.27	0	-0.481																											
13	70290016	70500000	3010	0	0	0																											
14	70290002	70500000	3011	-1.071	1.618	0.714		265		70500000	3011	0.87	2.628	-1.011		314		70500000	3011	0.043	2.908	1.381											
15	70540011	70500000	2011	0	0	0				70500000	2011	-0.214	-0.258	0.059	-11.273	-18.244	-19.24	70500000	2011	0.0995	-0.2709	0.2137	-11.485	87.775	-19.98	70500000	2011	0.0114	-0.2727	-0.147	-15.514	149.827	4.688
16	70290015	70500000	2023	0	0	0				70500000	2023	0.03565	-0.010743	-0.073162	16.17	-16.429	19.39																
