挂节点类型	ID	采集物ID	获得物品ID	额外获得物品ID	挂接位置	刷新CD	刷新优先级	刷新ID	[区块]1ID	[区块]1数量	初始不可交互	禁止客机交互
1001	3003001	70520001	101001		0	10	10	999930	3003	35		
1002	3003003	70520002	101002		0	10	20	999931	3003	5		
1003	3003004	70520003	101003		0	10	30	999932	3003	4		
1004	3003005	70520018	100028		0	10	30	999933	3003	4		
2001	3003009	70520009	100016		0	10	10	999900	3003	60		
2002	3003010	70520004	100011		0	10	5	999900	3003	40		
2003	3003015	70520006	100013		0	10	5	999900	3003	5		
2019	3003016	70520007	100014		0	10	5	999900	3003	5		
2004	3003017	70520005	100012		0	10	10	999900	3003	60		
2005	3003019	70520008	100015		0	10	10	999900	3003	40		
2006	3003021	70540003	100001		0	5	20	999900	3003	30		
2007	3003022	70540005	100020		0	10	10	999900	3003	50		
2008	3003034	70590013	100056		0	10	10	999921	3003	20		
2009	3003036	70520013	100063		0	10	10	999900	3003	20		
3001	3003023	70540003	100001		1	5	20	999900	3003	80		
3002	3003024	70540001	100051		1	10	10	999900	3003	70		
3003	3003025	70540004	100062		1	10	10	999900	3003	20		
3005	3003031	70510006	100053		0	10	10	999920	3003	20	1	
3006	3003032	70510005	100054		0	10	10	999920	3003	20		
3007	3003033	70510004	100055		0	10	10	999921	3003	80		
3008	3003035	70510007	100052		0	10	10	999920	3003	20	1	
3009	3003037	70510009	100057		0	10	10	999920	3003	20	1	
3010	3003038	70510012	100058		0	10	10	999920	3003	20	1	
3011	3003039	70540021	100002		1	10	10	999900	3003	20		
2010	3003100	70540013	100021		1	10	10	999900	3003	20		
2011	3003101	70540022	100022		0	10	10	999921	3003	20		
2012	3003102	70540018	100023		0	10	10	999921	3003	20		
2013	3003103	70540019	100024		0	10	10	999921	3003	20		
2014	3003104	70540020	100025		0	10	10	999921	3003	20		
2015	3003105	70540014	100026		0	10	10	999900	3003	20		
2016	3003106	70540008	100027		0	10	10	999921	3003	20		
2023	3003112	70540015	100029		0	10	10	999921	3003	20		
2025	3003114	70540012	100030		0	10	10	999921	3003	20		
2026	3003115	70540026	100034		1	10	10	999921	3003	20		
2027	3003116	70540027	100032		0	10	10	999900	3003	20		
2028	3003117	70540029	100031		0	10	10	999921	3003	20		
2029	3003118	70540028	100033		0	10	10	999900	3003	20		
4001001	3003026	70590004	107001		0	1	10	0	3003	100		1
4002	3003026	70590021	107003		0	1	10	0	3003	100		1
4001003	3003028	70600064	100151		1	10	10	0	3003	1		
9001	1004001	71700002	100178		1	1	10	0	1004	1		1
9002	1004002	71700003	100179		1	1	10	0	1004	1		1
9003	1004003	71700004	100180		1	1	10	0	1004	1		1
9004	1004004	71700005	100181		1	1	10	0	1004	1		1
9005	1004005	71700006	100182		1	1	10	0	1004	1		1
9006	1004006	71700007	100183		1	1	10	0	1004	1		1
9007	1004007	71700009	100188		1	1	10	0	1004	1		1
9008	1004008	71700010	100189		1	1	10	0	1004	1		1
9009	1004009	71700011	100190		1	1	10	0	1004	1		1
9010	1004010	71700012	100191		1	1	10	0	1004	1		1
9011	1004011	71700013	100192		1	1	10	0	1004	1		1
9012	1004012	71700014	100193		1	1	10	0	1004	1		1
9013	1004013	71700015	100194		1	1	10	0	1004	1		1
9014	1004014	71700016	100195		1	1	10	0	1004	1		1
9015	1004015	71700017	100196		1	1	10	0	1004	1		1
9016	1004016	71700018	100197		1	1	10	0	1004	1		1
9017	1004017	71700019	100198		1	1	10	0	1004	1		1
9018	1004018	71700020	100199		1	1	10	0	1004	1		1
9019	1004019	71700021	100200		1	1	10	0	1004	1		1
9020	1004020	71700023	100202		1	1	10	0	1004	1		1
9021	1004021	71700024	100203		1	1	10	0	1004	1		1
9022	1004022	71700025	100204		1	1	10	0	1004	1		1
9023	1004023	71700026	100205		1	1	10	0	1004	1		1
9024	1004024	71700027	100206		1	1	10	0	1004	1		1
9025	1004025	71700028	100207		1	1	10	0	1004	1		1
9026	1004026	71700029	100208		1	1	10	0	1004	1		1
9027	1004027	71700022	100201		1	1	10	0	1004	1		1
9028	1004028	71700039	100223		1	1	10	0	1004	1		1
9029	1004029	71700042	100226		1	1	10	0	1004	1		1
9030	1004030	71700043	100227		1	1	10	0	1004	1		1
9031	1004031	71700044	100228		1	1	10	0	1004	1		1
9032	1004032	71700048	100229		1	1	10	0	1004	1		1
9033	1004033	71700049	100230		1	1	10	0	1004	1		1
9034	1004034	71700050	100239		1	1	10	0	1004	1		1
9035	1004035	71700051	100240		1	1	10	0	1004	1		1
9036	1004036	71700052	100241		1	1	10	0	1004	1		1
9037	1004037	71700054	100388		1	1	10	0	1004	1		1
9038	1004038	71700055	100389		1	1	10	0	1004	1		1
9039	1004039	71700056	100390		1	1	10	0	1004	1		1
9040	1004040	71700057	100391		1	1	10	0	1004	1		1
9041	1004041	71700058	100399		1	1	10		1004	1		1
9042	1004042	71700059	100400		1	1	10		1004	1		1
9043	1004043	71700060	100401		1	1	10		1004	1		1
9044	1004044	71700061	100402		1	1	10		1004	1		1
9045	1004045	71700062	100403		1	1	10		1004	1		1
9046	1004046	71700063	100404		1	1	10		1004	1		1
9047	1004047	71700064	100405		1	1	10		1004	1		1
9048	1004048	71700065	100406		1	1	10		1004	1		1
9049	1004049	71700066	100407		1	1	10	0	1004	1		1
9050	1004050	71700067	100408		1	1	10	0	1004	1		1
9051	1004051	71700068	100409		1	1	10	0	1004	1		1
9052	1004052	71700069	100410		1	1	10	0	1004	1		1
9053	1004053	71700070	100411		1	1	10	0	1004	1		1
9054	1004054	71700071	100412		1	1	10	0	1004	1		1
9055	1004055	71700072	100413		1	1	10	0	1004	1		1
9056	1004056	71700074	100426		1	1	10	0	1004	1		1
9057	1004057	71700078	100432		1	1	10	0	1004	1		1
9058	1004058	71700079	100433		1	1	10	0	1004	1		1
9059	1004059	71700080	100434		1	1	10	0	1004	1		1
9060	1004060	71700081	100435		1	1	10	0	1004	1		1
9061	1004061	71700082	100436		1	1	10	0	1004	1		1
9062	1004062	71700084	100437		1	1	10	0	1004	1		1
9063	1004063	71700085	100438		1	1	10	0	1004	1		1
9064	1004064	71700086	100439		1	1	10	0	1004	1		1
9065	1004065	71700087	100440		1	1	10	0	1004	1		1
9066	1004066	71700088	100441		1	1	10	0	1004	1		1
9067	1004067	71700089	100442		1	1	10	0	1004	1		1
9068	1004068	71700090	100443		1	1	10	0	1004	1		1
9069	1004069	71700091	100444		1	1	10	0	1004	1		1
9070	1004070	71700092	100445		1	1	10	0	1004	1		1
1000001	20000001	70590005	107002		0	20	20	0	20000	7		
9101	3003029	70710008	100306		1	10	10	0	3003	10		
9102	3003030	70710008	100307		1	10	10	0	3003	10		
9103	3003031	70710008	100308		1	10	10	0	3003	10		
9104	3003040	70520017	100064		0	10	10	0	3003	20		
9105	3003041	70710008	100352		0	10	10	0	3003	20		
9106	20007009	70710020	100349		0	5	20	0	20007	6		
