ID	对话ID	错误提示	是否重复	交付方式	[精确]道具1ID	[精确]道具1数量	[精确]道具2ID	[精确]道具2数量	[精确]道具3ID	[精确]道具3数量	精准交付完台词	组交付ID	组交付数量	是否删除道具
1	614230406	614230409	0	1	100001	5					614230401			1
2	614230407	614230409	1	2								1	5	1
3	614230408	614230409	1	3								1,2	3	1
4	4890001	4890004	0	1	100012	3	100064	3			4890201			0
5	4890001	4890004	0	3								3,4	1	1
6	4890001	4890004	0	3								5,6	1	1
7	210092009	210092010	0	2								7	1	1
8	110051301	110051307	1	2								8	1	1
2005124	200511803	200511807	1	3								200512401,200512402,200512403,200512404,200512405,200512406,200512407	1	1
2101105			0	1	100349	1					210110302			1
2101106			0	1	100349	1					210110303			1
2101107			0	1	100349	1					210110304			1
2101108			0	1	100349	1					210110305			1
2101109			0	1	100349	1					210110306			1
2101110			0	1	100349	1					210110307			1
2006006			1	1	100012	3					200600505			1
2006008	200600704	200600705	1	1	100012	3					200600706			1
10	614230406	614230409	1	2								10	10	1
11	614230406	614230409	1	2								11	10	1
12	614230406	614230409	1	2								12	10	1
13	614230406	614230409	1	2								13	10	1
2005920	2005904002	2005904010	1	3								200592001,200592002,200592003	1	1
2230002	223000201	223000204	1	3								223000201,223000202,223000203,223000204	1	1
2230103	223010203	223010205	1	3								223010301,223010302,223010303,223010304,223010305,223010306	1	1
2200302	220030205		1	1	100026	1	100027	1						1
2230302	223030202	223030203	1	1	100057	1								1
