ID	道具ID	交付完台词	错误交付吐槽
1	100001,100011,100012,100013,100014,100015	614230402	614230404
2	100016,100017,100018,100019,100020	614230403	614230405
3	108032	4890003	4890004
4	108033	4890005	4890004
5	108063	4890003	4890004
6	108064	4890005	4890004
7	108031,108032,108033	210092006	210092008
8	100072,100083,112002,100081	110051309	110051307
200512401	100001	200511804	200511807
200512402	100057	200511804	200511807
200512403	100051	200511804	200511807
200512404	100012	200511804	200511807
200512405	100023	200511806	200511807
200512406	100011,100013,100056,100018	200511805	200511807
200512407	100064,100083,112002,100061,100081,100086,100087	200511806	200511807
10	200001,200002,200003	614230402	614230404
11	200001,200002,200003	614230402	614230404
12	200001,200002,200003	614230402	614230404
13	200001,200002,200003	614230402	614230404
200592001	112005	2005904020	2005904010
200592002	112011	2005904020	2005904010
200592003	112014	2005904020	2005904010
223000201	101001,100058,101003,100028,100054,101002	223000203	223000204
223000202	100053,100015,100026,100034,100016,100011,100012,100020,100063,100027,100031,100051,100062,100052,100002,100032,100013,100001,100014,100029	223000203	223000204
223000203	100030	223000203	223000204
223000204	108068,108069,108070,108071,108072,108073,108074,108075,108076,108077,108078,108079,108080,108081,108082,108083,108084,108085,108086,108087,108088,108089,108090,108091,108092,108093,108094,108098,108099,108100	223000203	223000204
223010301	100370	223010204	223010205
223010302	100371	223010204	223010205
223010303	100372	223010204	223010205
223010304	100373	223010204	223010205
223010305	100374	223010204	223010205
223010306	100375	223010204	223010205
