ID	所属城市ID	怪物ID	所属GroupID列表	指示存活Group变量	解锁父任务	特殊掉落道具ID
1	1	23030101	133001229,133002243,133003412,133004217			112026,112027,112028
2	1	22010201	133003095			112020,112021,112022
3	1	24010101	133003151,133003317,133004131,133007059,133007041	boss_exist		112023,112024,112025
4	1	21020101	133001100,133001090,133001108,133003315,133003097,133004018,133007145,133007201			112014,112015,112016
5	1	20040101	133001313			113002;104121;104122;104123;104124;104141;104142;104143;104144
6	1	29020102	133002259	boss_exist	454	113006,113007,113008,104111,104112,104113,104114,104161,104162,104163,104164,104171,104172,104173,104174
7	1	20040201	133003482			113001,104151,104152,104153,104154,104111,104112,104113,104114
8	1	20040301	133002271			113009,104171,104172,104173,104174,104161,104162,104163,104164
9	2	20040101	133104394			113002;104121;104122;104123;104124;104141;104142;104143;104144
10	2	20040201	133102006			113001,104151,104152,104153,104154,104111,104112,104113,104114
11	2	20040301	133108020			113009,104171,104172,104173,104174,104161,104162,104163,104164
12	2	21020301	133103169,133102498,133102485,133103328,133104482,133104266,133104363,133104393,133104351,133104294,133104304			112014,112015,112016
13	2	23020101	133104438,133102523,133104268,133105259			112029,112030,112031
14	2	24010201	133108019,133103201,133103325,133103200,133103076,133104439,133105219,133106087,133108019			112023,112024,112025
