目标子任务ID	所属调查ID	奖励ID
6000001	10001	451011
6000101	10001	451012
6000201	10001	451013
6000301	10001	451014
6010101	10002	451021
6010201	10002	451022
6010301	10002	451023
6010401	10002	451024
6010501	10002	451025
6010601	10002	451026
6020101	10003	451031
6020201	10003	451032
6020301	10003	451033
6020401	10003	451034
6020501	10003	451035
6020601	10003	451036
6020801	10003	451037
6020901	10003	451038
6100001	11001	451111
6100101	11001	451112
6100201	11001	451113
6100301	11001	451114
6110101	11002	451121
6110201	11002	451122
6110301	11002	451123
6110401	11002	451124
6110501	11002	451125
6110601	11002	451126
6120101	11003	451131
6120201	11003	451132
6120301	11003	451133
6120401	11003	451134
6120501	11003	451135
6120601	11003	451136
6120701	11003	451137
6120801	11003	451138
