父任务ID	任务类型	启用模式	Lua脚本路径	推荐等级	可重复	任务奖励RewardID	章节ID	事件ID	$#VersionBegin	$#VersionEnd
347	7	1								0.1
348	7	1			1					0.1
349	7	1			1					0.1
350	7	1	Actor/Quest/AQ350							0.1
351	0	1	Actor/Quest/AQ351			100351				
362	7	1	Actor/Quest/MQ362							0.1
352	0	1	Actor/Quest/AQ352			100352	1001			
353	0	1	Actor/Quest/AQ353			100353	1001			
361	7	1	Actor/Quest/AQ361							0.1
355	0	1	Actor/Quest/AQ355			100355	1001			
354	0	1	Actor/Quest/AQ354			100354	1001			
360	0	1	Actor/Quest/AQ360			100360	1001			
356	0	1	Actor/Quest/AQ356			100356	1001			
357	0	1	Actor/Quest/AQ357			100357	1001			
358	0	1	Actor/Quest/AQ358			100358	1001			
359	0	1	Actor/Quest/AQ359							0.1
306	0	1	Actor/Quest/AQ306			100306	1001			
307	0	1	Actor/Quest/AQ307			100307	1001			
308	0	1	Actor/Quest/AQ308			100308	1001			
309	0	1	Actor/Quest/AQ309				1001			0.1
310	7	1								0.1
311	0	1	Actor/Quest/AQ311							0.1
312	0	1				100312				0.1
363	0	1					1001			0.1
370	0	1	Actor/Quest/MQ370			100370	1002			
371	0	1	Actor/Quest/MQ371			100371	1002			
372	0	1	Actor/Quest/MQ372			100372	1002			
373	0	1	Actor/Quest/MQ373			100373	1002			
374	0	1	Actor/Quest/MQ374			100374	1002			
375	0	1	Actor/Quest/MQ375			100375	1002			
376	0	1	Actor/Quest/MQ376			100376	1002			
377	0	1	Actor/Quest/MQ377			100377	1002			
378	0	1	Actor/Quest/MQ378				1002			
395	0	1	Actor/Quest/MQ395				1002			
20101	0	1	Actor/Quest/IQ20101			120101	1002			
379	0	1	Actor/Quest/MQ379			100379	1002			
385	0	1	Actor/Quest/MQ385							0.1
386	0	1				100386				
387	0	1				100387				
380	0	1	Actor/Quest/MQ380			100380	1002			
381	0	1	Actor/Quest/MQ381			100381	1002			
382	0	1	Actor/Quest/MQ382			100382	1002			
383	0	1	Actor/Quest/MQ383			100383	1002			
384	0	1	Actor/Quest/MQ384			100384	1002			
397	0	1	Actor/Quest/MQ397			100397	1003			0.1
388	0	1	Actor/Quest/MQ388			100388	1003			
389	0	1	Actor/Quest/MQ389			100389	1003			
390	0	1	Actor/Quest/MQ390			100390	1003			
391	0	1	Actor/Quest/MQ391				1003			
392	0	1	Actor/Quest/MQ392				1003			
393	0	1	Actor/Quest/MQ393			100393	1003			
394	0	1	Actor/Quest/MQ394			100394	1003			
396	0	1	Actor/Quest/MQ396			100396	1003			
303	7	1								0.1
318	7	1	Actor/Quest/IQ318							
407	7	1	Actor/Quest/SQ407			100407				
408	7	1	Actor/Quest/SQ408			100408				
409	7	1	Actor/Quest/SQ409			100409				
410	7	1	Actor/Quest/SQ410			100400				0.1
416	7	1	Actor/Quest/SQ416							
418	7									
419	7	1	Actor/Quest/MQ419							
420	7	1	Actor/Quest/MQ420							
421	7	1	Actor/Quest/MQ421							0.1
422	7	1	Actor/Quest/MQ422							
423	2	1								
424	7	1	Actor/Quest/SQ424							0.1
425	7	1	Actor/Quest/SQ425							
426	7	1	Actor/Quest/SQ426							
428	7	1	Actor/Quest/SQ428							
429	7	1	Actor/Quest/SQ429							
451	2	1	Actor/Quest/LQ451			100451	2005		0.2	
452	2	1	Actor/Quest/LQ452			100452	2005		0.2	
453	2	1	Actor/Quest/LQ453			100453	2005		0.2	
454	2	1	Actor/Quest/LQ454			100454	2005		0.2	
461	2	1	Actor/Quest/LQ461			100461	2001			
462	2	1	Actor/Quest/LQ462			100462	2001			
463	2	1	Actor/Quest/LQ463			100463	2001			
464	2	1	Actor/Quest/LQ464			100464	2002		0.2	
465	2	1	Actor/Quest/LQ465			100465	2002		0.2	
466	2	1	Actor/Quest/LQ466			100466	2002		0.2	
491	7	1	Actor/Quest/IQ491				2002			0.1
467	7	1	Actor/Quest/IQ467			100467				0.1
468	7	1								
469	7	1	Actor/Quest/IQ469			100469				
470	5	1	Actor/Quest/IQ470			100470				0.1
471	7	1	Actor/Quest/IQ471							0.1
481	2	1	Actor/Quest/LQ481			100481	2003			
480	2	1	Actor/Quest/LQ480			100480	2003			
