ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	材料类型	冷却时间	冷却组	堆叠上限	最大使用数量	获得即使用	禁止提示第一次获得	目标	[使用]1操作	[使用]1参数1	[使用]1参数2	[使用]1参数3	[使用]2操作	[使用]2参数1	[使用]2参数2	阶数	自动进包	是否分开掉落	$#VersionBegin	$#VersionEnd
101	1		12					角色经验							1									3				
102	1		13					冒险阅历							1									3				
103	2		10												1									3				
104	2		20												1									4				
105	1		11					好感经验							1									3				
106	1		10					体力							1									3				
107	1		10					体力							1									3				
201	1		30	70590012				原石	8						1									5	1			
202	1		10	70590011				摩拉	8						1									3				
210	2		10						5			8												2				
211	2		10						5			3												3				
221	2		401	70900001				扭蛋兑换券	5			1000000												5				
222	2		402	70900001				扭蛋兑换券	5			1000000												4				
223	2		403	70900001				扭蛋券	5			1000000												5				
224	2		404	70900001				扭蛋券	5			1000000												5				
301	2		405	70590016				七国徽印	5			2000												3	1			
302	2		405	70590017				七国徽印	5			2000												3	1			
303	2		405	70590019				七国徽印	5			2000												3	1			
304	2		405	70590020				七国徽印	5			2000												3	1			
305	2		405	70590014				七国徽印	5			2000												3	1			
306	2		405	70590018				七国徽印	5			2000												3	1			
307	2		405	70590015				七国徽印	5			2000												3	1			
911	2		10					命之座				1000												5				
912	2		10					命之座				1000												5				
913	2		10					命之座				1000												5				
914	2		10					命之座				1000												5				
915	2		10					命之座				1000												5				
916	2		10					命之座				1000												5				
917	2		10					命之座				1000												5				
1002	2							角色	7			1000	99	1			3	10000002						5				
1003	2							角色	7			1000	99	1			3	10000003						5				
1005	2							角色	7			1000	99	1			3	10000005						5				
1006	2							角色	7			1000	99	1			3	10000006						4				
1007	2							角色	7			1000	99	1			3	10000007						5				
1014	2							角色	7			1000	99	1			3	10000014						4				
1015	2							角色	7			1000	99	1			3	10000015						4				
1016	2							角色	7			1000	99	1			3	10000016						5				
1020	2							角色	7			1000	99	1			3	10000020						4				
1021	2							角色	7			1000	99	1			3	10000021						4				
1022	2							角色	7			1000	99	1			3	10000022						5				
1023	2							角色	7			1000	99	1			3	10000023						4				
1024	2							角色	7			1000	99	1			3	10000024						4				
1025	2							角色	7			1000	99	1			3	10000025						4				
1026	2							角色	7			1000	99	1			3	10000026						5				
1027	2							角色	7			1000	99	1			3	10000027						4				
1029	2							角色	7			1000	99	1			3	10000029						5				
1030	2							角色	7			1000	99	1			3	10000030						5				
1031	2							角色	7			1000	99	1			3	10000031						4				
1032	2							角色	7			1000	99	1			3	10000032						4				
1033	2							角色	7			1000	99	1			3	10000033						5				
1034	2							角色	7			1000	99	1			3	10000034						4				
1102	2		30					命之座				1000												5				
1103	2		30					命之座				1000												5				
1105	2		20					命之座				1000												5				
1106	2		20					命之座				1000												4				
1107	2		20					命之座				1000												5				
1114	2		20					命之座				1000												4				
1115	2		20					命之座				1000												4				
1116	2		30					命之座				1000												5				
1120	2		20					命之座				1000												4				
1121	2		20					命之座				1000												4				
1122	2		30					命之座				1000												5				
1123	2		20					命之座				1000												4				
1124	2		20					命之座				1000												4				
1125	2		20					命之座				1000												4				
1126	2		30					命之座				1000												5				
1127	2		20					命之座				1000												4				
1129	2		20					命之座				1000												5				
1130	2		30					命之座				1000												5				
1131	2		20					命之座				1000												4				
1132	2		20					命之座				1000												4				
1133	2		20					命之座				1000												5				
1134	2		20					命之座				1000												4				
2001	2			70610009				能量球	8			1000	99	1		2	11	1	9	3								
2002	2			70610010				能量球	8			1000	99	1		2	11	2	9	3								
2003	2			70610011				能量球	8			1000	99	1		2	11	3	9	3								
2004	2			70610012				能量球	8			1000	99	1		2	11	4	9	3								
2005	2			70610013				能量球	8			1000	99	1		2	11	7	9	3								
2006	2			70610014				能量球	8			1000	99	1		2	11	5	9	3								
2007	2			70610015				能量球	8			1000	99	1		2	11	8	9	3								
2008	2			70610016				能量球	8			1000	99	1		2	12	6										
2017	2			70610001				能量球	8			1000	99	1		2	11	1	3	1								
2018	2			70610002				能量球	8			1000	99	1		2	11	2	3	1								
2019	2			70610003				能量球	8			1000	99	1		2	11	3	3	1								
2020	2			70610004				能量球	8			1000	99	1		2	11	4	3	1								
