属性名	下限	上限
Actor_MaxHPRatio	-0.9	3
Actor_DefenceRatio	-0.9	3
Actor_AttackRatio	-0.9	3
Actor_CriticalDelta	-0.9	1
Actor_AntiCriticalDelta	-0.9	1
Actor_CriticalHurtDelta	-0.5	3
Actor_ChargeEfficiencyDelta	-0.9	1
Actor_AddHurtDelta	-0.9	3
Actor_SubHurtDelta	-1	1
Actor_HealAddDelta	-0.9	2
Actor_HealedAddDelta	-0.9	2
Actor_FireAddHurtDelta	-0.9	2
Actor_ElecAddHurtDelta	-0.9	2
Actor_WaterAddHurtDelta	-0.9	2
Actor_GrassAddHurtDelta	-0.9	2
Actor_WindAddHurtDelta	-0.9	2
Actor_IceAddHurtDelta	-0.9	2
Actor_RockAddHurtDelta	-0.9	2
Actor_PhysicalAddHurtDelta	-0.9	2
Actor_FireSubHurtDelta	-1	1
Actor_ElecSubHurtDelta	-1	1
Actor_WaterSubHurtDelta	-1	1
Actor_GrassSubHurtDelta	-1	1
Actor_WindSubHurtDelta	-1	1
Actor_IceSubHurtDelta	-1	1
Actor_RockSubHurtDelta	-1	1
Actor_PhysicalSubHurtDelta	-1	1
Actor_AddGravityScale	-2	99
Actor_SkillCDMinusRatio	-2	0.67
Actor_ShieldCostMinusRatio	-2	0.67
