ID	说明	AbilityName	是否通用	最先加载	图标	$#VersionBegin	$#VersionEnd
1001	提升单体50%攻击力	MonsterAffix_Bash	1		Skill_E_PlayerWind_01		
1002	提升单体50%防御力	MonsterAffix_IronDefense	1		Skill_S_Qin_01		
1003	7秒内没有受到攻击，则每秒回复5%生命值	MonsterAffix_Indomitable	1		Skill_E_Ambor		
1004	提升全元素20%抗性	MonsterAffix_Rainbow_01	1		Skill_E_Ayaka		
1005	遭受电击后会降低防御	MonsterAffix_ElementHit_BreakDefence	1		Skill_E_Ayaka		
1006	提升单体血量20%	MonsterAffix_Property_HpImprove_01	1	1	Skill_E_Ayaka		
1007	提升单体血量50%	MonsterAffix_Property_HpImprove_02	1	1	Skill_E_Ayaka		
1008	提升单体血量100%	MonsterAffix_Property_HpImprove_03	1	1	Skill_E_Ayaka		
1009	提升单体攻击20%	MonsterAffix_Property_AtkImprove_01	1	1	Skill_E_Ayaka		
1010	提升单体攻击50%	MonsterAffix_Property_AtkImprove_02	1	1	Skill_E_Ayaka		
1011	提升单体攻击100%	MonsterAffix_Property_AtkImprove_03	1	1	Skill_E_Ayaka		
1012	提升单体元素盾含量20%	MonsterAffix_ElementShield_DurabilityImprove_01	1	1	Skill_E_Ayaka		
1013	提升单体元素盾含量50%	MonsterAffix_ElementShield_DurabilityImprove_02	1	1	Skill_E_Ayaka		
1014	提升单体元素盾含量100%	MonsterAffix_ElementShield_DurabilityImprove_03	1	1	Skill_E_Ayaka		
1015	提升单体元素盾恢复速率20%	MonsterAffix_ElementShield_GapReduce_01	1	1	Skill_E_Ayaka		
1016	提升单体元素盾恢复速率50%	MonsterAffix_ElementShield_GapReduce_02	1	1	Skill_E_Ayaka		
1017	提升单体元素盾恢复速率100%	MonsterAffix_ElementShield_GapReduce_03	1	1	Skill_E_Ayaka		
1018	单个怪物AI出手频率提升1.5	MonsterAffix_AISkillCD_Revise01	1	1	Skill_E_Ayaka		
1019	单个怪物AI出手频率提升2	MonsterAffix_AISkillCD_Revise02	1	1	Skill_E_Ayaka		
