等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值
1	1	2	4.5173	2	2	4.892914	12	2	1	4	1	0	9	1	0	10	1	0	11	2	1	14	2	1
2	1	2	5.661072	2	2	4.839482	12	2	1.333333	4	1	0	9	1	0	10	1	0	11	2	1.011236	14	2	1.8
3	1	2	6.913428	2	2	4.968197	12	2	1.666667	4	1	0	9	1	0	10	1	0	11	2	1.022472	14	2	2.8
4	1	2	8.273925	2	2	5.198691	12	2	2	4	1	0	9	1	0	10	1	0	11	2	1.033708	14	2	4.01
5	1	2	9.741387	2	2	5.496727	12	2	2.333333	4	1	0	9	1	0	10	1	0	11	2	1.044944	14	2	4.5173
6	1	2	11.317211	2	2	5.842047	12	2	2.666667	4	1	0	9	1	0	10	1	0	11	2	1.05618	14	2	4.5173
7	1	2	13.002577	2	2	6.227795	12	2	3	4	1	0	9	1	0	10	1	0	11	2	1.067416	14	2	4.5173
8	1	2	13.84629	2	2	6.559669	12	2	3.333333	4	1	0	9	1	0	10	1	0	11	2	1.078652	14	2	4.5173
9	1	2	15.16144	2	2	6.918126	12	2	3.666667	4	1	0	9	1	0	10	1	0	11	2	1.089888	14	2	4.5173
10	1	2	17.921525	2	2	7.391676	12	2	4	4	1	0	9	1	0	10	1	0	11	2	1.101124	14	2	4.5173
11	1	2	20.002797	2	2	7.968684	12	2	4.333333	4	1	0	9	1	0	10	1	0	11	2	1.11236	14	2	4.5173
12	1	2	22.190592	2	2	8.574841	12	2	4.666667	4	1	0	9	1	0	10	1	0	11	2	1.123596	14	2	4.5173
13	1	2	24.489252	2	2	9.21028	12	2	5	4	1	0	9	1	0	10	1	0	11	2	1.134831	14	2	4.5173
14	1	2	27.010969	2	2	9.908616	12	2	5.333333	4	1	0	9	1	0	10	1	0	11	2	1.146067	14	2	4.5173
15	1	2	29.648115	2	2	10.638048	12	2	5.666667	4	1	0	9	1	0	10	1	0	11	2	1.157303	14	2	4.5173
16	1	2	35.063604	2	2	11.399107	12	2	6	4	1	0	9	1	0	10	1	0	11	2	1.168539	14	2	4.5173
17	1	2	39.16571	2	2	12.605272	12	2	6.333333	4	1	0	9	1	0	10	1	0	11	2	1.179775	14	2	4.5173
18	1	2	42.82715	2	2	13.840985	12	2	6.666667	4	1	0	9	1	0	10	1	0	11	2	1.191011	14	2	4.5173
19	1	2	46.604314	2	2	15.106246	12	2	7	4	1	0	9	1	0	10	1	0	11	2	1.202247	14	2	4.5173
20	1	2	51.465695	2	2	16.210014	12	2	7.333333	4	1	0	9	1	0	10	1	0	11	2	1.213483	14	2	4.5173
21	1	2	55.468271	2	2	17.509023	12	2	7.666667	4	1	0	9	1	0	10	1	0	11	2	1.224719	14	2	4.5173
22	1	2	59.567432	2	2	18.833908	12	2	8	4	1	0	9	1	0	10	1	0	11	2	1.235955	14	2	4.5173
23	1	2	63.538501	2	2	20.147072	12	2	8.333333	4	1	0	9	1	0	10	1	0	11	2	1.247191	14	2	4.5173
24	1	2	68.562647	2	2	21.485182	12	2	8.666667	4	1	0	9	1	0	10	1	0	11	2	1.258427	14	2	4.5173
25	1	2	72.838928	2	2	22.848328	12	2	9	4	1	0	9	1	0	10	1	0	11	2	1.269663	14	2	4.5173
26	1	2	82.088855	2	2	23.632033	12	2	9.333333	4	1	0	9	1	0	10	1	0	11	2	1.280899	14	2	4.5173
27	1	2	86.615798	2	2	24.409103	12	2	9.666667	4	1	0	9	1	0	10	1	0	11	2	1.292135	14	2	4.5173
28	1	2	91.265239	2	2	25.202185	12	2	10	4	1	0	9	1	0	10	1	0	11	2	1.303371	14	2	4.5173
29	1	2	96.039605	2	2	26.011323	12	2	10.333333	4	1	0	9	1	0	10	1	0	11	2	1.314607	14	2	4.5173
30	1	2	104.20318	2	2	26.651982	12	2	10.666667	4	1	0	9	1	0	10	1	0	11	2	1.325843	14	2	4.5173
31	1	2	114.50957	2	2	27.471691	12	2	11	4	1	0	9	1	0	10	1	0	11	2	1.337079	14	2	4.5173
32	1	2	120.095406	2	2	28.301663	12	2	11.333333	4	1	0	9	1	0	10	1	0	11	2	1.348315	14	2	4.5173
33	1	2	124.609688	2	2	29.14172	12	2	11.666667	4	1	0	9	1	0	10	1	0	11	2	1.359551	14	2	4.5173
34	1	2	129.515091	2	2	30.067144	12	2	12	4	1	0	9	1	0	10	1	0	11	2	1.370787	14	2	4.5173
35	1	2	134.145612	2	2	30.930423	12	2	12.333333	4	1	0	9	1	0	10	1	0	11	2	1.382022	14	2	4.5173
36	1	2	142.337529	2	2	32.175027	12	2	12.666667	4	1	0	9	1	0	10	1	0	11	2	1.393258	14	2	4.5173
37	1	2	151.581125	2	2	34.309669	12	2	13	4	1	0	9	1	0	10	1	0	11	2	1.404494	14	2	4.5173
38	1	2	161.494037	2	2	36.600009	12	2	13.333333	4	1	0	9	1	0	10	1	0	11	2	1.41573	14	2	4.5173
39	1	2	171.610571	2	2	38.932192	12	2	13.666667	4	1	0	9	1	0	10	1	0	11	2	1.426966	14	2	4.5173
40	1	2	188.243448	2	2	41.247921	12	2	14	4	1	0	9	1	0	10	1	0	11	2	1.438202	14	2	4.5173
41	1	2	198.950162	2	2	43.607926	12	2	14.333333	4	1	0	9	1	0	10	1	0	11	2	1.449438	14	2	4.5173
42	1	2	209.887073	2	2	46.012297	12	2	14.666667	4	1	0	9	1	0	10	1	0	11	2	1.460674	14	2	4.5173
43	1	2	220.696628	2	2	48.377521	12	2	15	4	1	0	9	1	0	10	1	0	11	2	1.47191	14	2	4.5173
44	1	2	244.534968	2	2	50.835058	12	2	15.333333	4	1	0	9	1	0	10	1	0	11	2	1.483146	14	2	4.5173
45	1	2	252.158127	2	2	52.86664	12	2	15.666667	4	1	0	9	1	0	10	1	0	11	2	1.494382	14	2	4.5173
46	1	2	271.184261	2	2	54.316791	12	2	16	4	1	0	9	1	0	10	1	0	11	2	1.505618	14	2	4.5173
47	1	2	283.795274	2	2	55.662818	12	2	16.333333	4	1	0	9	1	0	10	1	0	11	2	1.516854	14	2	4.5173
48	1	2	297.06066	2	2	57.168038	12	2	16.666667	4	1	0	9	1	0	10	1	0	11	2	1.52809	14	2	4.5173
49	1	2	310.715106	2	2	58.704662	12	2	17	4	1	0	9	1	0	10	1	0	11	2	1.539326	14	2	4.5173
50	1	2	337.917992	2	2	60.949354	12	2	17.333333	4	1	0	9	1	0	10	1	0	11	2	1.550562	14	2	4.5173
51	1	2	353.666004	2	2	62.927282	12	2	17.666667	4	1	0	9	1	0	10	1	0	11	2	1.561798	14	2	4.5173
52	1	2	393.344302	2	2	65.024018	12	2	18	4	1	0	9	1	0	10	1	0	11	2	1.573034	14	2	4.5173
53	1	2	411.05212	2	2	67.224168	12	2	18.333333	4	1	0	9	1	0	10	1	0	11	2	1.58427	14	2	4.5173
54	1	2	428.9827	2	2	69.449797	12	2	18.666667	4	1	0	9	1	0	10	1	0	11	2	1.595506	14	2	4.5173
55	1	2	449.14311	2	2	71.291269	12	2	19	4	1	0	9	1	0	10	1	0	11	2	1.606742	14	2	4.5173
56	1	2	464.540931	2	2	73.151318	12	2	19.333333	4	1	0	9	1	0	10	1	0	11	2	1.617978	14	2	4.5173
57	1	2	484.978357	2	2	77.078424	12	2	19.666667	4	1	0	9	1	0	10	1	0	11	2	1.629213	14	2	4.5173
58	1	2	504.78725	2	2	80.922948	12	2	20	4	1	0	9	1	0	10	1	0	11	2	1.640449	14	2	4.5173
59	1	2	522.163796	2	2	84.296975	12	2	20.333333	4	1	0	9	1	0	10	1	0	11	2	1.651685	14	2	4.5173
60	1	2	579.73351	2	2	87.797461	12	2	20.666667	4	1	0	9	1	0	10	1	0	11	2	1.662921	14	2	4.5173
61	1	2	619.573837	2	2	91.25491	12	2	21	4	1	0	9	1	0	10	1	0	11	2	1.674157	14	2	4.5173
62	1	2	638.957082	2	2	94.567277	12	2	21.333333	4	1	0	9	1	0	10	1	0	11	2	1.685393	14	2	4.5173
63	1	2	659.765165	2	2	98.121815	12	2	21.666667	4	1	0	9	1	0	10	1	0	11	2	1.696629	14	2	4.5173
64	1	2	677.33326	2	2	101.925557	12	2	22	4	1	0	9	1	0	10	1	0	11	2	1.707865	14	2	4.5173
65	1	2	699.286514	2	2	106.566923	12	2	22.333333	4	1	0	9	1	0	10	1	0	11	2	1.719101	14	2	4.5173
66	1	2	715.574499	2	2	108.856644	12	2	22.666667	4	1	0	9	1	0	10	1	0	11	2	1.730337	14	2	4.5173
67	1	2	733.367859	2	2	111.386987	12	2	23	4	1	0	9	1	0	10	1	0	11	2	1.741573	14	2	4.5173
68	1	2	781.055506	2	2	113.849036	12	2	23.333333	4	1	0	9	1	0	10	1	0	11	2	1.752809	14	2	4.5173
69	1	2	800.172777	2	2	116.446346	12	2	23.666667	4	1	0	9	1	0	10	1	0	11	2	1.764045	14	2	4.5173
70	1	2	839.493006	2	2	119.07201	12	2	24	4	1	0	9	1	0	10	1	0	11	2	1.775281	14	2	4.5173
71	1	2	865.244994	2	2	121.726292	12	2	24.333333	4	1	0	9	1	0	10	1	0	11	2	1.786517	14	2	4.5173
72	1	2	891.419022	2	2	124.419807	12	2	24.666667	4	1	0	9	1	0	10	1	0	11	2	1.797753	14	2	4.5173
73	1	2	916.539605	2	2	126.927282	12	2	25	4	1	0	9	1	0	10	1	0	11	2	1.808989	14	2	4.5173
74	1	2	936.522821	2	2	128.647735	12	2	25.333333	4	1	0	9	1	0	10	1	0	11	2	1.820225	14	2	4.5173
75	1	2	955.915857	2	2	130.386279	12	2	25.666667	4	1	0	9	1	0	10	1	0	11	2	1.831461	14	2	4.5173
76	1	2	1077.065077	2	2	135.070948	12	2	26	4	1	0	9	1	0	10	1	0	11	2	1.842697	14	2	4.5173
77	1	2	1123.900839	2	2	142.557944	12	2	26.333333	4	1	0	9	1	0	10	1	0	11	2	1.853933	14	2	4.5173
78	1	2	1170.032391	2	2	149.96028	12	2	26.666667	4	1	0	9	1	0	10	1	0	11	2	1.865169	14	2	4.5173
