ID	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	元素精通	物理抗性	物理伤害加成	类型	服务器脚本	战斗Config	精英词缀	AI	装备1	装备2	会游泳	击杀经验	击杀经验成长曲线	[掉落]1ID	[掉落]1血量百分比	[掉落]2ID	[掉落]2血量百分比	[掉落]3ID	[掉落]3血量百分比	击杀掉落ID	全地图奖励	视距等级	不在指定天气下出生	特性组ID	联机动态属性ID	外观	$#VersionBegin	$#VersionEnd
21010101	4001	13.584	22.608	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_None_01		sentry02				0	11	22010010	60	0	0	0	0	22010010				21010101	1			
21010152	4001	13.584	22.608	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0.2	0	1		ConfigMonster_Hili_None_01_NoneResist		sentry02				0	11	22010010	60	0	0	0	0	22010010				21010152	3			
21010153	4001	13.584	22.608	45	0	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_None_01_ElementResist		sentry02				0	11	22010010	60	0	0	0	0	22010010				21010152	3			
21020101	4001	48.904	30.144	32.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Brute_None_Shield		scout01		50004012		0	11	22010010	75	22010010	50	22010010	25	22010030				21020101	1			
21020201	4001	48.904	30.144	32.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Brute_None_Axe	2001	scout01	50004013			0	11	22010010	75	22010010	50	22010010	25	22010030				21020201	1			
21020301	4001	48.904	30.144	32.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Brute_None_Shield		scout01		50004022		0	11	22010010	75	22010010	50	22010010	25	22010030				21020101	1			
20010101	4001	10.868	7.536	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Grass_02		assist01				0	11	22010013	60	0	0	0	0	22010013				20010101	1			
20010201	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Grass_03		assist01				0	11	22010013	66	22010013	33	0	0	22010033				20010201	1			
20010302	4001	10.868	7.536	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Wind_01		assist01				0	11	22010015	60	0	0	0	0	22010015				20010302	1			
20010301	4001	10.868	7.536	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Wind_02		assist01				0	11	22010015	60	0	0	0	0	22010015				20010301	1			
20010401	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Wind_03		assist01				0	11	22010015	66	22010015	33	0	0	22010035				20010401	1			
20010402	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Wind_03_Swirl		assist01				0	11	22010015	66	22010015	33	0	0	22010035				20010401	1			
29010101	4001	150	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	2		ConfigMonster_Dvalin_S01		dragon01				0	11	0	0	0	0	0	0	0	1	3		29010101	1			
29010102	4001	67.922	56.52	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2		ConfigMonster_Dvalin_S04	9006	dragon01				0	11	0	0	0	0	0	0	0	1	3		29010102	1			
29010103	4001	128	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	2		ConfigMonster_Dvalin_S00		dragon01				0	11	0	0	0	0	0	0	0	1	3		29010103	1			
29010104	4001	122.26	75.361	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2		ConfigMonster_Dvalin_S04		dragon01				0	11	0	0	0	0	0	0	0	1	3		29010102	1			
29020101	4001	244.521	75.361	45	0	0	0	0	0	0	0	0.3	0.5	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2		ConfigMonster_Wolf_LupiBoreas	9001	dragon01				0	11	0	0	0	0	0	0	0	1	1		29020101	1			
29020102	4001	244.521	75.361	45	0	0	0	0	0	0	0	0.3	0.5	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2		ConfigMonster_Wolf_LupiBoreas		dragon01				0	11	0	0	0	0	0	0	0	1	1		29020102	1			
20020101	4001	54.338	62.8	63.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Elemental_Wind_01	3015	scout01				0	11	22010035	75	22010035	50	22010035	25	22010035				20020101	1			
20020201	4001	54.338	62.8	63.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Elemental_Electric_01		scout01				0	11	22010034	75	22010034	50	22010034	25	22010034				20020201	1			
20040101	4001	81.507	62.8	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2		ConfigMonster_Effigy_Electric_01	3012,2002	scout01				0	11	22010034	75	22010034	50	22010034	25	22010034				20040101	1			
20040201	4001	81.507	62.8	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2		ConfigMonster_Effigy_Wind_01	3015	scout01				0	11	22010035	75	22010035	50	22010035	25	22010035				20020101	1			
20040301	4001	81.507	62.8	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	2		ConfigMonster_Effigy_Rock_01	3021	scout01				0	11	22010037	75	22010037	50	22010037	25	22010037				20040101	1			
20010501	4001	10.868	7.536	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Electric_02	2002	assist01				0	11	22010014	60	0	0	0	0	22010014				20010501	1			
20010601	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Electric_03	2002	assist01				0	11	22010014	66	22010014	33	0	0	22010034				20010601	1			
20010602	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Electric_03_Immune1	2002	assist01				0	11	22010014	66	22010014	33	0	0	22010034				20010601	1			
20010603	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Electric_03_Immune2	2002	assist01				0	11	22010014	66	22010014	33	0	0	22010034				20010601	1			
