最小等级	总索引	掉落ID	掉落次数
1	史莱姆	301000000	1
5	史莱姆	301000100	1
10	史莱姆	301000200	1
15	史莱姆	301000300	1
20	史莱姆	301000400	1
25	史莱姆	301000500	1
30	史莱姆	301000600	1
35	史莱姆	301000700	1
40	史莱姆	301000800	1
45	史莱姆	301000900	1
50	史莱姆	301001000	1
55	史莱姆	301001100	1
60	史莱姆	301001200	1
65	史莱姆	301001300	1
70	史莱姆	301001400	1
75	史莱姆	301001500	1
80	史莱姆	301001600	1
85	史莱姆	301001700	1
90	史莱姆	301001800	1
95	史莱姆	301001900	1
100	史莱姆	301002000	1
105	史莱姆	301002100	1
110	史莱姆	301002200	1
115	史莱姆	301002300	1
120	史莱姆	301002400	1
1	雷萤	302000000	1
5	雷萤	302000100	1
10	雷萤	302000200	1
15	雷萤	302000300	1
20	雷萤	302000400	1
25	雷萤	302000500	1
30	雷萤	302000600	1
35	雷萤	302000700	1
40	雷萤	302000800	1
45	雷萤	302000900	1
50	雷萤	302001000	1
55	雷萤	302001100	1
60	雷萤	302001200	1
65	雷萤	302001300	1
70	雷萤	302001400	1
75	雷萤	302001500	1
80	雷萤	302001600	1
85	雷萤	302001700	1
90	雷萤	302001800	1
95	雷萤	302001900	1
100	雷萤	302002000	1
105	雷萤	302002100	1
110	雷萤	302002200	1
115	雷萤	302002300	1
120	雷萤	302002400	1
1	盗宝团	303000000	1
5	盗宝团	303000100	1
10	盗宝团	303000200	1
15	盗宝团	303000300	1
20	盗宝团	303000400	1
25	盗宝团	303000500	1
30	盗宝团	303000600	1
35	盗宝团	303000700	1
40	盗宝团	303000800	1
45	盗宝团	303000900	1
50	盗宝团	303001000	1
55	盗宝团	303001100	1
60	盗宝团	303001200	1
65	盗宝团	303001300	1
70	盗宝团	303001400	1
75	盗宝团	303001500	1
80	盗宝团	303001600	1
85	盗宝团	303001700	1
90	盗宝团	303001800	1
95	盗宝团	303001900	1
100	盗宝团	303002000	1
105	盗宝团	303002100	1
110	盗宝团	303002200	1
115	盗宝团	303002300	1
120	盗宝团	303002400	1
1	丘丘人	304000000	1
5	丘丘人	304000100	1
10	丘丘人	304000200	1
15	丘丘人	304000300	1
20	丘丘人	304000400	1
25	丘丘人	304000500	1
30	丘丘人	304000600	1
35	丘丘人	304000700	1
40	丘丘人	304000800	1
45	丘丘人	304000900	1
50	丘丘人	304001000	1
55	丘丘人	304001100	1
60	丘丘人	304001200	1
65	丘丘人	304001300	1
70	丘丘人	304001400	1
75	丘丘人	304001500	1
80	丘丘人	304001600	1
85	丘丘人	304001700	1
90	丘丘人	304001800	1
95	丘丘人	304001900	1
100	丘丘人	304002000	1
105	丘丘人	304002100	1
110	丘丘人	304002200	1
115	丘丘人	304002300	1
120	丘丘人	304002400	1
1	远程丘丘人	305000000	1
5	远程丘丘人	305000100	1
10	远程丘丘人	305000200	1
15	远程丘丘人	305000300	1
20	远程丘丘人	305000400	1
25	远程丘丘人	305000500	1
30	远程丘丘人	305000600	1
35	远程丘丘人	305000700	1
40	远程丘丘人	305000800	1
45	远程丘丘人	305000900	1
50	远程丘丘人	305001000	1
55	远程丘丘人	305001100	1
60	远程丘丘人	305001200	1
65	远程丘丘人	305001300	1
70	远程丘丘人	305001400	1
75	远程丘丘人	305001500	1
80	远程丘丘人	305001600	1
85	远程丘丘人	305001700	1
90	远程丘丘人	305001800	1
95	远程丘丘人	305001900	1
100	远程丘丘人	305002000	1
105	远程丘丘人	305002100	1
110	远程丘丘人	305002200	1
115	远程丘丘人	305002300	1
120	远程丘丘人	305002400	1
1	丘丘萨满	306000000	1
5	丘丘萨满	306000100	1
10	丘丘萨满	306000200	1
15	丘丘萨满	306000300	1
20	丘丘萨满	306000400	1
25	丘丘萨满	306000500	1
30	丘丘萨满	306000600	1
35	丘丘萨满	306000700	1
40	丘丘萨满	306000800	1
45	丘丘萨满	306000900	1
50	丘丘萨满	306001000	1
55	丘丘萨满	306001100	1
60	丘丘萨满	306001200	1
65	丘丘萨满	306001300	1
70	丘丘萨满	306001400	1
75	丘丘萨满	306001500	1
80	丘丘萨满	306001600	1
85	丘丘萨满	306001700	1
90	丘丘萨满	306001800	1
95	丘丘萨满	306001900	1
100	丘丘萨满	306002000	1
105	丘丘萨满	306002100	1
110	丘丘萨满	306002200	1
115	丘丘萨满	306002300	1
120	丘丘萨满	306002400	1
1	先遣队	307000000	1
5	先遣队	307000100	1
10	先遣队	307000200	1
15	先遣队	307000300	1
20	先遣队	307000400	1
25	先遣队	307000500	1
30	先遣队	307000600	1
35	先遣队	307000700	1
40	先遣队	307000800	1
45	先遣队	307000900	1
50	先遣队	307001000	1
55	先遣队	307001100	1
60	先遣队	307001200	1
65	先遣队	307001300	1
70	先遣队	307001400	1
75	先遣队	307001500	1
80	先遣队	307001600	1
85	先遣队	307001700	1
90	先遣队	307001800	1
95	先遣队	307001900	1
100	先遣队	307002000	1
105	先遣队	307002100	1
110	先遣队	307002200	1
115	先遣队	307002300	1
120	先遣队	307002400	1
1	丘丘暴徒	331000000	1
5	丘丘暴徒	331000100	1
10	丘丘暴徒	331000200	1
15	丘丘暴徒	331000300	1
20	丘丘暴徒	331000400	1
25	丘丘暴徒	331000500	1
30	丘丘暴徒	331000600	1
35	丘丘暴徒	331000700	1
40	丘丘暴徒	331000800	1
45	丘丘暴徒	331000900	1
50	丘丘暴徒	331001000	1
55	丘丘暴徒	331001100	1
60	丘丘暴徒	331001200	1
65	丘丘暴徒	331001300	1
70	丘丘暴徒	331001400	1
75	丘丘暴徒	331001500	1
80	丘丘暴徒	331001600	1
85	丘丘暴徒	331001700	1
90	丘丘暴徒	331001800	1
95	丘丘暴徒	331001900	1
100	丘丘暴徒	331002000	1
105	丘丘暴徒	331002100	1
110	丘丘暴徒	331002200	1
115	丘丘暴徒	331002300	1
120	丘丘暴徒	331002400	1
1	元素之核	332000000	1
5	元素之核	332000100	1
10	元素之核	332000200	1
15	元素之核	332000300	1
20	元素之核	332000400	1
25	元素之核	332000500	1
30	元素之核	332000600	1
35	元素之核	332000700	1
40	元素之核	332000800	1
45	元素之核	332000900	1
50	元素之核	332001000	1
55	元素之核	332001100	1
60	元素之核	332001200	1
65	元素之核	332001300	1
70	元素之核	332001400	1
75	元素之核	332001500	1
80	元素之核	332001600	1
85	元素之核	332001700	1
90	元素之核	332001800	1
95	元素之核	332001900	1
100	元素之核	332002000	1
105	元素之核	332002100	1
110	元素之核	332002200	1
115	元素之核	332002300	1
120	元素之核	332002400	1
1	深渊法师	333000000	1
5	深渊法师	333000100	1
10	深渊法师	333000200	1
15	深渊法师	333000300	1
20	深渊法师	333000400	1
25	深渊法师	333000500	1
30	深渊法师	333000600	1
35	深渊法师	333000700	1
40	深渊法师	333000800	1
45	深渊法师	333000900	1
50	深渊法师	333001000	1
55	深渊法师	333001100	1
60	深渊法师	333001200	1
65	深渊法师	333001300	1
70	深渊法师	333001400	1
75	深渊法师	333001500	1
80	深渊法师	333001600	1
85	深渊法师	333001700	1
90	深渊法师	333001800	1
95	深渊法师	333001900	1
100	深渊法师	333002000	1
105	深渊法师	333002100	1
110	深渊法师	333002200	1
115	深渊法师	333002300	1
120	深渊法师	333002400	1
1	黑蛇骑士	334000000	1
5	黑蛇骑士	334000100	1
10	黑蛇骑士	334000200	1
15	黑蛇骑士	334000300	1
20	黑蛇骑士	334000400	1
25	黑蛇骑士	334000500	1
30	黑蛇骑士	334000600	1
35	黑蛇骑士	334000700	1
40	黑蛇骑士	334000800	1
45	黑蛇骑士	334000900	1
50	黑蛇骑士	334001000	1
55	黑蛇骑士	334001100	1
60	黑蛇骑士	334001200	1
65	黑蛇骑士	334001300	1
70	黑蛇骑士	334001400	1
75	黑蛇骑士	334001500	1
80	黑蛇骑士	334001600	1
85	黑蛇骑士	334001700	1
90	黑蛇骑士	334001800	1
95	黑蛇骑士	334001900	1
100	黑蛇骑士	334002000	1
105	黑蛇骑士	334002100	1
110	黑蛇骑士	334002200	1
115	黑蛇骑士	334002300	1
120	黑蛇骑士	334002400	1
1	债务处理人	335000000	1
5	债务处理人	335000100	1
10	债务处理人	335000200	1
15	债务处理人	335000300	1
20	债务处理人	335000400	1
25	债务处理人	335000500	1
30	债务处理人	335000600	1
35	债务处理人	335000700	1
40	债务处理人	335000800	1
45	债务处理人	335000900	1
50	债务处理人	335001000	1
55	债务处理人	335001100	1
60	债务处理人	335001200	1
65	债务处理人	335001300	1
70	债务处理人	335001400	1
75	债务处理人	335001500	1
80	债务处理人	335001600	1
85	债务处理人	335001700	1
90	债务处理人	335001800	1
95	债务处理人	335001900	1
100	债务处理人	335002000	1
105	债务处理人	335002100	1
110	债务处理人	335002200	1
115	债务处理人	335002300	1
120	债务处理人	335002400	1
1	召唤师	336000000	1
5	召唤师	336000100	1
10	召唤师	336000200	1
15	召唤师	336000300	1
20	召唤师	336000400	1
25	召唤师	336000500	1
30	召唤师	336000600	1
35	召唤师	336000700	1
40	召唤师	336000800	1
45	召唤师	336000900	1
50	召唤师	336001000	1
55	召唤师	336001100	1
60	召唤师	336001200	1
65	召唤师	336001300	1
70	召唤师	336001400	1
75	召唤师	336001500	1
80	召唤师	336001600	1
85	召唤师	336001700	1
90	召唤师	336001800	1
95	召唤师	336001900	1
100	召唤师	336002000	1
105	召唤师	336002100	1
110	召唤师	336002200	1
115	召唤师	336002300	1
120	召唤师	336002400	1
1	遗迹守卫	337000000	1
5	遗迹守卫	337000100	1
10	遗迹守卫	337000200	1
15	遗迹守卫	337000300	1
20	遗迹守卫	337000400	1
25	遗迹守卫	337000500	1
30	遗迹守卫	337000600	1
35	遗迹守卫	337000700	1
40	遗迹守卫	337000800	1
45	遗迹守卫	337000900	1
50	遗迹守卫	337001000	1
55	遗迹守卫	337001100	1
60	遗迹守卫	337001200	1
65	遗迹守卫	337001300	1
70	遗迹守卫	337001400	1
75	遗迹守卫	337001500	1
80	遗迹守卫	337001600	1
85	遗迹守卫	337001700	1
