编号	掉落模型	稀有度
00101	史莱姆	1
00102	史莱姆	1
00103	史莱姆	1
00104	史莱姆	1
00105	史莱姆	1
00106	史莱姆	1
00107	史莱姆	1
00108	史莱姆	1
00109	史莱姆	1
00110	史莱姆	1
00111	史莱姆	1
00112	史莱姆	1
00113	史莱姆	1
00114	史莱姆	1
00115	史莱姆	1
00201	元素之核	2
00202	元素之核	2
00301	雷萤	1
00302	雷萤	1
00400	史莱姆	1
00401	无相之雷	3
00402	无相之风	3
00403	无相之岩	3
10101	丘丘人	1
10102	丘丘人	1
10103	丘丘人	1
10104	远程丘丘人	1
10105	远程丘丘人	1
10106	丘丘人	1
10107	丘丘人	1
10108	丘丘人	1
10109	远程丘丘人	1
10110	远程丘丘人	1
10111	丘丘人	1
10112	丘丘人	1
10201	丘丘暴徒	2
10202	丘丘暴徒	2
10203	丘丘暴徒	2
10301	丘丘萨满	1
10302	丘丘萨满	1
10303	丘丘萨满	1
10304	丘丘萨满	1
20101	深渊法师	2
20102	深渊法师	2
20103	深渊法师	2
30201	债务处理人	2
30301	召唤师	2
40101	遗迹守卫	2
40102	遗迹守卫	2
40201	遗迹守卫	2
50101	盗宝团	1
50102	盗宝团	1
50201	盗宝团	1
50202	盗宝团	1
50301	盗宝团	1
50302	盗宝团	1
50401	盗宝团	1
50402	盗宝团	1
50501	盗宝团	1
50502	盗宝团	1
60101	丘丘人	1
60201	遗迹守卫	2
80101	采集动物	5
80102	采集动物	5
80103	采集动物	5
80201	走兽	5
80202	走兽	5
80203	走兽	5
80204	走兽	5
80205	走兽	5
80206	走兽	5
80301	鸟类	5
80302	鸟类	5
80303	鸟类	5
80304	鸟类	5
80305	鸟类	5
80401	水族	5
80501	魔法生物	5
80502	魔法生物	5
90101	风魔龙	4
90201	北风狼	4
