ID	默认阵营	JSON名称	JSON路径文件名	能否战斗	能否移动	能否发声	是否常驻	$#VersionBegin	$#VersionEnd
9001	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1	1			
9002	2001	ConfigNpc_Paimon	ConfigNpc_Paimon	0	1	1			
9003	2001	CanMove01		0	1	1			
9004	2001	ConfigNpc_Common_AnimatorMove_Male	ConfigNpc_Common_AnimatorMove_Male	0	0				
9005	2001	ConfigNpc_Common_AnimatorMove_Male	ConfigNpc_Common_AnimatorMove_Male	0	0				
9006	2001	ConfigNpc_Common_AnimatorMove_Male	ConfigNpc_Common_AnimatorMove_Male	0	0				
9007	2001	ConfigNpc_Common_AnimatorMove_Male	ConfigNpc_Common_AnimatorMove_Male	0	0				
1	2001	StandOnly		0	0				
2	2001	StandOnly		0	0				
3	2001	StandOnly		0	0				
4	2001	StandOnly		0	0				
5	2001	CanMove01		0	1				
6	2001	StandOnly		0	0				
7	2001	StandOnly		0	0				
8	2001	StandOnly		0	0				
9	2001	StandOnly		0	0				
10	2001	StandOnly		0	0				
11	2001	StandOnly		0	0				
12	2001	StandOnly		0	0				
13	2001	StandOnly		0	0				
14	2001	StandOnly		0	0				
15	2001	StandOnly		0	0				
21	2001	StandOnly		0	0				
22	2001	StandOnly		0	0				
23	2001	StandOnly		0	0				
24	2001	StandOnly		0	0				
25	2001	StandOnly		0	0				
26	2001	StandOnly		0	0				
30	2001	StandOnly		0	0				
31	2001	StandOnly		0	0				
32	2001	StandOnly		0	0				
33	2001	StandOnly		0	0				
101	2001	CanMove01		0	1				
34	2001	StandOnly		0	0				
35	2001	StandOnly		0	0				
36	2001	CanMove01		0	1				
37	2001	CanMove01		0	1				
102	2001	CanMove01		0	1				
103	2001	CanMove01		0	1				
79	2001	CanMove01		0	1	1			
80	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
81	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
82	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
83	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
84	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
85	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
86	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
87	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
88	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
89	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
90	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
91	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
92	2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove	0	1				
93	2001	ConfigNpc_Common_AnimatorMove_Female_noheadcontrol	ConfigNpc_Common_AnimatorMove_Female_noheadcontrol	0	1	1	1		
94	2001	StandOnly		0	0				
95	2001	ConfigNpc_Common_AnimatorMove_Female_noheadcontrol	ConfigNpc_Common_AnimatorMove_Female_noheadcontrol	0	1	1	1		
901	2001	ConfigNpc_Common_AnimatorMove_Male	ConfigNpc_Common_AnimatorMove_Male	0	1	1			
902	2001	ConfigNpc_Common_AnimatorMove_Male	ConfigNpc_Common_AnimatorMove_Male	0	1	1			
903	2001	ConfigNpc_Common_AnimatorMove_Male	ConfigNpc_Common_AnimatorMove_Male	0	1	1			
904	2001	ConfigNpc_Common_AnimatorMove_Male	ConfigNpc_Common_AnimatorMove_Male	0	1	1			
905	2001	ConfigNpc_Common_AnimatorMove_Female	ConfigNpc_Common_AnimatorMove_Female	0	1	1			
906	2001	ConfigNpc_Common_AnimatorMove_Female	ConfigNpc_Common_AnimatorMove_Female	0	1	1			
907	2001	ConfigNpc_Common_AnimatorMove_Male	ConfigNpc_Common_AnimatorMove_Male	0	1	1			
908	2001	ConfigNpc_Common_AnimatorMove_Female	ConfigNpc_Common_AnimatorMove_Female	0	1	1			
909	2001	ConfigNpc_Common_AnimatorMove_Male	ConfigNpc_Common_AnimatorMove_Male	0	1	1			
910	2001	ConfigNpc_Common_AnimatorMove_Female	ConfigNpc_Common_AnimatorMove_Female	0	1	1			
