ID	默认是否开启	客户端能否发起功能开启	条件1类型	条件1参数	条件2类型	条件2参数	系统开放界面ID
1	0	1					
2	0	1					
3	1	0					
4	1	0					
10	1	0					
5	1	0					
6	1	0					
7	1	1					
8	0	1					
9	1	1					
11	1	0					
12	1	0					
31	0	0	2	2010001			1
30	0	0	1	2			
37	0	0	1	2			
39	0	0	1	14			
45	0	0	2	2050103			
46	0	0					
13	0	1					
14	0	1					
15	0	1					
16	0	1					
17	0	1					
18	0	1					
19	0	1					
20	0	1					
21	0	1					
22	0	1					
23	0	1					
24	0	1					
25	0	1					
26	0	1					
27	1	0					
28	0	1					
29	1	0					
32	0	1					
33	0	1					
34	0	1					
35	0	1					
36	0	1					
38	0	1					
40	0	1					
41	0	1					
50	0	1					
51	0	1					
52	0	1					
43	0	1					
1001	1	0					
1002	0	0	1	1	2	31101	
1003	1	0					
1004	0	0	1	5			
1005	0	0	1	5			
1006	0	0	1	13			
1007	1	0					
1008	0	0	1	5			
1009	0	0	1	1	2	31101	
1010	0	0	1	5			
1100	0	0			2	2003003	
1103	0	0	1	12			
1101	1	1					
1102	0	0	2	2211102			
44	1	1					
47	0	0	2	35001			
48	0	0	2	99902			
49	0	0	1	16	2	35001	9
1200	0	0	2	4000100			2
1201	0	0	2	4000110			
1202	0	0	2	4000104			
