ID	$#VersionBegin	$#VersionEnd
1		
2		
3		
4		
5		
6		
7		
100		0.1
101		0.1
102		0.1
103		0.1
104		0.1
105		0.1
110		0.1
120		0.1
121		0.1
130		0.1
131		0.1
132		0.1
133		0.1
134		0.1
135		0.1
136		0.1
137		0.1
138		0.1
139		0.1
140		0.1
141		0.1
142		0.1
143		0.1
144		0.1
145		0.1
146		0.1
147		0.1
148		0.1
149		0.1
150		0.1
151		0.1
152		0.1
153		0.1
154		0.1
155		0.1
156		0.1
157		0.1
158		0.1
159		0.1
160		0.1
161		0.1
162		0.1
163		0.1
164		0.1
165		0.1
1001		0.1
8		
9		
10		
11		
12		
13		
14		
20		0.1
21		0.1
22		0.1
23		0.1
24		
25		0.1
30		
31		
32		0.1
166		0.1
167		0.1
168		0.1
169		
170		
171		
172		0.1
173		
174		
175		
176		
177		
178		
179		
180		
1002		
1003		
2902		
2903		
