模块名称	类别	是否不限定产出来源	是否一次性	每日产出次数上限	历史产出次数上限	允许产出道具数值用类型	允许产出道具ID列表
11001	1		1				
20001	1						
11003	1		1				
11004	1		1				
20002	1						
11005	1		1				
20003	1			100			
11006	1		1				
20004	1						
11007	1		1				
11008	1						
20005	1						
20006	1						
20007	1						
20008	1						
20009	1						
20010	1						
100007	1						
20016	1						
20011	1			1000			
20012	1			200			
20015	1			300			
20013	1						
20014	1						
10001	2		1				
10007	2		1				
10005	2		1				
10006	2		1				
10002	2		1				
10003	2		1				
10004	2		1				
21001	2						
30001	2						
10010	2		1				
21002	2						
10011	2		1				
10008	2		1				
10009	2		1				
22001	3					采集物	
22002	3					采集物;任务道具;元素神瞳	
22004	3						
22003	3						
100001	3					角色;武器	
100002	3						
100003	3					食物	
100004	3					食材加工物	
100005	3						
100006	3						
100008	3					体力	
