等级	升到下一级所需经验	升级奖励RewardID	挂机探索上限增加	LevelLockID
1	380			
2	490	200002		
3	610	200003		
4	730	200004		
5	840	200005		
6	960	200006		
7	1070	200007		
8	1190	200008		
9	1300	200009		
10	1420	200010		
11	1530	200011		
12	1650	200012		
13	1760	200013		
14	1880	200014		
15	1990	200015		
16	2370	200016		
17	2500	200017		
18	2630	200018		
19	2760	200019		
20	2890	200020		2
21	3430	200021		
22	3720	200022		
23	4000	200023		
24	4290	200024		
25	4580	200025		3
26	4870	200026	1	
27	5160	200027		
28	5440	200028		
29	5730	200029		
30	6020	200030		4
31	6310	200031	1	
32	6600	200032		
33	6880	200033		
34	7170	200034		
35	7460	200035		5
36	7750	200036	1	
37	8040	200037		
38	8320	200038		
39	8610	200039		
40	8900	200040		6
41	9360	200041		
42	10080	200042		
43	10800	200043		
44	11520	200044		
45	12240	200045		7
46	12960	200046		
47	13680	200047		
48	14400	200048		
49	15120	200049		
50	15840	200050		8
51	16560	200051		
52	17280	200052		
53	18000	200053		
54	18720	200054		
55	19440	200055		9
56	20160	200056		
57	20880	200057		
58	21600	200058		
59	22320	200059		
60	0	200060		
