技能ID	开启天赋配置	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	参数1	参数2	参数3	参数4	参数5	参数6	参数7	参数8	参数9	参数10	参数11	参数12	参数13	参数14	参数15	参数16	参数17	技能组ID	等级	类型	消耗金币	消耗道具1ID	消耗道具1数量	消耗道具2ID	消耗道具2数量	消耗道具3ID	消耗道具3数量	筛选条件1	筛选条件2	突破等级	生活效果类型	生活效果参数1	生活效果参数2	生活效果参数3	生活效果参数4	效果全队生效	$#VersionBegin	$#VersionEnd
21101		46	0.05	56	0.025	0.05	0.025																211	1	1	0	0	0	0	0	0	0			0								
21102		46	0.054	56	0.027	0.054	0.027																211	2	1	7500	104313	2	112011	1	0	0			0								
21103		46	0.058	56	0.029	0.058	0.029																211	3	1	12500	104313	4	112011	2	0	0			0								
21104		46	0.064	56	0.032	0.064	0.032																211	4	1	17500	104313	8	112011	4	0	0			1								
21105		46	0.068	56	0.034	0.068	0.034																211	5	1	20000	104314	5	112012	2	0	0			1								
21106		46	0.072	56	0.036	0.072	0.036																211	6	1	25000	104314	8	112012	3	0	0			2								
21107		46	0.08	56	0.04	0.08	0.04																211	7	1	30000	104314	10	112012	5	0	0			2								
21108		46	0.085	56	0.0425	0.085	0.0425																211	8	1	32500	104315	5	112013	5	0	1			3								
21109		46	0.09	56	0.045	0.09	0.045																211	9	1	37500	104315	8	112013	7	0	1			3								
21110		46	0.1	56	0.05	0.1	0.05																211	10	1	42500	104315	10	112013	8	0	2			4								
22101	Ayaka_PermanentSkill_1																						221	1	2	0	0	0	0	0	0	0			1								
22201	Ayaka_PermanentSkill_2																						222	1	2	0	0	0	0	0	0	0			3								
22301						1																	223	1	2	0	0	0	0	0	0	0			0	101	1	1,2,3,4	1	1			
22401																							224	1	2	0	0	0	0	0	0	0			0	103	5.7	1,2,3,4	1,2,4	2			
22501																							225	1	2	0	0	0	0	0	0	0			0	203	1	0.2					
23101	Ayaka_SkillUpgrade_1					0.3655	0.37926	0.47558	0.16942	0.16942	0.16942	0.63812	0.396718	20									231	1	3	0	0	0	0	0	0	0			0								
23102	Ayaka_SkillUpgrade_1					0.39525	0.41013	0.51429	0.18321	0.18321	0.18321	0.69006	0.429009	20									231	2	3	7500	104313	2	112011	1	0	0			0								
23103	Ayaka_SkillUpgrade_1					0.425	0.441	0.553	0.197	0.197	0.197	0.742	0.4613	20									231	3	3	12500	104313	4	112011	2	0	0			0								
23104	Ayaka_SkillUpgrade_1					0.4675	0.4851	0.6083	0.2167	0.2167	0.2167	0.8162	0.50743	20									231	4	3	17500	104313	8	112011	4	0	0			1								
23105	Ayaka_SkillUpgrade_1					0.49725	0.51597	0.64701	0.23049	0.23049	0.23049	0.86814	0.539721	20									231	5	3	20000	104314	5	112012	2	0	0			1								
23106	Ayaka_SkillUpgrade_1					0.53125	0.55125	0.69125	0.24625	0.24625	0.24625	0.9275	0.576625	20									231	6	3	25000	104314	8	112012	3	0	0			2								
23107	Ayaka_SkillUpgrade_1					0.578	0.59976	0.75208	0.26792	0.26792	0.26792	1.00912	0.627368	20									231	7	3	30000	104314	10	112012	5	0	0			2								
23108	Ayaka_SkillUpgrade_1					0.62475	0.64827	0.81291	0.28959	0.28959	0.28959	1.09074	0.678111	20									231	8	3	32500	104315	5	112013	5	0	1			3								
23109	Ayaka_SkillUpgrade_1					0.6715	0.69678	0.87374	0.31126	0.31126	0.31126	1.17236	0.728854	20									231	9	3	37500	104315	8	112013	7	0	1			3								
23110	Ayaka_SkillUpgrade_1					0.7225	0.7497	0.9401	0.3349	0.3349	0.3349	1.2614	0.78421	20									231	10	3	42500	104315	10	112013	8	0	2			4								
23111	Ayaka_SkillUpgrade_1					0.7735	0.80262	1.00646	0.35854	0.35854	0.35854	1.35044	0.839566	20									231	11	3	0	0	0	0	0	0	0			4								
23112	Ayaka_SkillUpgrade_1					0.8245	0.85554	1.07282	0.38218	0.38218	0.38218	1.43948	0.894922	20									231	12	3	0	0	0	0	0	0	0			4								
23113	Ayaka_SkillUpgrade_1					0.8755	0.90846	1.13918	0.40582	0.40582	0.40582	1.52852	0.950278	20									231	13	3	0	0	0	0	0	0	0			4								
23114	Ayaka_SkillUpgrade_1					0.9265	0.96138	1.20554	0.42946	0.42946	0.42946	1.61756	1.005634	20									231	14	3	0	0	0	0	0	0	0			4								
23115	Ayaka_SkillUpgrade_1					0.9775	1.0143	1.2719	0.4531	0.4531	0.4531	1.7066	1.06099	20									231	15	3	0	0	0	0	0	0	0			4								
23201	Ayaka_SkillUpgrade_2					2.408	8																232	1	3	0	0	0	0	0	0	0			0								
23202	Ayaka_SkillUpgrade_2					2.5886	8																232	2	3	7500	104313	2	112011	1	0	0			0								
23203	Ayaka_SkillUpgrade_2					2.7692	8																232	3	3	12500	104313	4	112011	2	0	0			0								
23204	Ayaka_SkillUpgrade_2					3.01	8																232	4	3	17500	104313	8	112011	4	0	0			1								
23205	Ayaka_SkillUpgrade_2					3.1906	8																232	5	3	20000	104314	5	112012	2	0	0			1								
23206	Ayaka_SkillUpgrade_2					3.3712	8																232	6	3	25000	104314	8	112012	3	0	0			2								
23207	Ayaka_SkillUpgrade_2					3.612	8																232	7	3	30000	104314	10	112012	5	0	0			2								
23208	Ayaka_SkillUpgrade_2					3.8528	8																232	8	3	32500	104315	5	112013	5	0	1			3								
23209	Ayaka_SkillUpgrade_2					4.0936	8																232	9	3	37500	104315	8	112013	7	0	1			3								
23210	Ayaka_SkillUpgrade_2					4.3344	8																232	10	3	42500	104315	10	112013	8	0	2			4								
