ID	观察者WatcherID	消息奖励RewardID	教程ID
1001	1001	300001	300
1002	1002	300001	303
1003	1003	300001	304
1004	1004	300001	305
1005	1005	300001	306
1006	1006	300001	307
1007	1007	300001	308
1008	1008	300001	309
1009	1009	300001	311
1010	1010	300001	313
1011	1011	300001	314
1012	1012	300001	315
1013	1013	300001	316
1014	1014	300001	317
1015	1015	300001	318
1016	1016	300001	319
1018	1018	300001	325
1019	1019	300001	326
1020	1020	300001	327
1021	1021	300001	328
1022	1022	300001	329
1023	1023	300001	330
1025	1025	300001	332
1026	1026	300001	333
1027	1027	300001	320
1028	1028	300001	310
1029	1029	300001	312
1030	1030	300001	335
1031	1031	300001	336
1032	1032	300001	337
2009	2009	300001	117
2015	2015	300001	128
2016	2016	300001	148
2019	2019	300001	139
2027	2027	300001	146
2032	2032	300001	130
2033	2033	300001	131
2034	2034	300001	132
2035	2035	300001	136
2036	2036	300001	236
2039	2039	300001	239
2042	2042	300001	242
2043	2043	300001	243
2044	2044	300001	248
2045	2045	300001	249
2046	2046	300001	250
3001	3001	300001	400
3002	3009	300001	251
3003	3010	300001	255
4001	4001	300001	500
4002	4002	300001	501
